host_time_s,t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1769610269.963459,962,0.050000,0.090000,-0.290000,0.250000,-0.125000,-0.187500,360.000000,-3.062500,2.125000
1769610270.463257,1462,0.030000,0.010000,-0.290000,0.000000,-0.125000,-0.125000,359.937500,-3.062500,2.187500
1769610270.966723,1963,0.050000,0.010000,-0.320000,0.062500,0.187500,-0.125000,359.937500,-3.062500,2.187500
1769610271.466675,2463,0.010000,0.040000,-0.330000,0.125000,-0.062500,-0.062500,359.937500,-3.062500,2.187500
1769610271.970158,2963,0.010000,0.020000,-0.330000,0.250000,-0.125000,0.000000,359.937500,-3.062500,2.187500
1769610272.466062,3463,0.040000,0.010000,-0.330000,0.062500,-0.250000,0.062500,359.937500,-3.062500,2.187500
1769610272.969358,3963,0.010000,-0.030000,-0.280000,-0.062500,-0.187500,-0.062500,359.937500,-3.062500,2.187500
1769610273.469104,4463,0.000000,0.000000,-0.350000,0.312500,-0.562500,-0.062500,359.937500,-3.062500,2.187500
1769610273.969012,4963,0.000000,0.020000,-0.280000,-0.125000,0.000000,0.187500,359.937500,-3.062500,2.187500
1769610274.472492,5463,0.000000,0.000000,-0.280000,0.125000,-0.375000,-0.187500,359.937500,-3.187500,2.250000
1769610274.972334,5963,0.010000,0.030000,-0.320000,0.062500,-0.375000,0.000000,359.937500,-3.187500,2.250000
1769610275.471817,6463,0.000000,0.010000,-0.260000,-0.500000,0.687500,-0.375000,359.937500,-3.125000,2.187500
1769610275.971582,6963,0.100000,0.050000,-0.360000,0.125000,0.125000,0.187500,359.937500,-3.187500,2.187500
1769610276.471578,7463,0.000000,0.010000,-0.200000,-0.125000,0.812500,0.625000,359.937500,-3.375000,2.125000
1769610276.974919,7963,0.010000,0.070000,-0.200000,-0.375000,-1.125000,0.187500,359.187500,-3.500000,2.062500
1769610277.471009,8463,0.000000,0.120000,-1.030000,-70.250000,-107.500000,0.000000,0.187500,12.125000,15.500000
1769610277.970874,8963,0.010000,0.500000,-0.250000,-44.312500,-8.937500,33.750000,345.125000,30.250000,63.687500
1769610278.474080,9463,-0.180000,0.500000,-0.010000,-47.812500,-14.312500,25.875000,337.000000,18.437500,82.500000
1769610278.973963,9963,-0.100000,-0.050000,-0.550000,-0.750000,6.000000,5.500000,330.750000,10.500000,92.875000
1769610279.473730,10463,-0.210000,0.230000,0.150000,-18.187500,3.375000,6.062500,330.750000,9.562500,95.812500
1769610279.973345,10963,0.050000,-0.080000,-0.080000,2.250000,-0.375000,0.312500,331.000000,8.750000,96.687500
1769610280.476864,11463,-0.080000,-0.060000,-0.030000,2.437500,6.187500,6.187500,326.250000,5.062500,96.000000
1769610280.976620,11963,0.020000,-0.090000,-0.100000,-0.187500,1.875000,1.437500,325.250000,3.375000,95.375000
1769610281.476410,12463,0.020000,-0.090000,-0.080000,0.312500,0.812500,0.750000,324.812500,2.812500,95.125000
1769610281.976409,12963,0.050000,-0.140000,-0.080000,1.937500,1.562500,0.750000,323.375000,1.625000,93.312500
1769610282.479898,13463,0.040000,-0.130000,-0.030000,0.312500,3.062500,0.500000,324.125000,1.812500,93.500000
1769610282.979807,13963,0.030000,-0.020000,-0.110000,-0.312500,1.875000,0.750000,324.687500,1.812500,93.187500
1769610283.483023,14464,0.080000,-0.220000,-0.010000,1.312500,-5.375000,1.562500,324.062500,1.937500,92.312500
1769610283.982865,14964,0.100000,-0.130000,0.010000,1.062500,2.562500,5.687500,322.500000,1.375000,91.562500
1769610284.478970,15464,0.070000,-0.370000,0.140000,-4.000000,0.687500,1.062500,322.750000,1.062500,91.687500
1769610284.982211,15964,0.030000,-0.080000,-0.030000,-2.687500,-1.875000,-2.062500,323.500000,0.812500,93.062500
1769610285.482158,16464,0.000000,0.290000,0.040000,1.937500,0.562500,0.875000,324.125000,0.687500,93.500000
1769610285.985579,16964,0.150000,-0.060000,-0.140000,-0.437500,2.250000,3.687500,324.437500,0.125000,94.062500
1769610286.485393,17464,0.020000,-0.080000,0.010000,-6.750000,-5.125000,2.562500,322.937500,-0.750000,93.750000
1769610286.981334,17964,0.010000,-0.140000,0.070000,1.750000,-0.875000,0.125000,321.187500,-1.875000,94.250000
