host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772477933.876023,4024659,0.12,0.12,-0.07,-51.25,-78.37,83.37,21.44,11.56,-17.19,0.02,-0.04,0.12,9.94,-63.81,176.56,-0.56,-9.94,-0.25,7,5
1772477933.876322,4024698,0.16,-0.24,-0.12,-51.38,-79.19,84.81,23.00,9.75,-18.94,0.00,-0.08,0.14,9.88,-63.50,176.50,0.19,-5.81,0.25,7,4
1772477933.876598,4024737,0.22,-0.34,-0.12,-51.13,-79.94,86.19,19.06,6.87,-16.94,-0.01,0.19,0.04,9.81,-63.31,176.56,4.12,-4.37,-2.62,6,4
1772477933.876901,4024778,0.16,-0.38,-0.02,-50.31,-80.56,87.44,16.06,3.37,-15.25,-0.03,0.12,-0.05,9.75,-63.06,176.87,8.31,-3.44,-3.87,6,4
1772477933.877201,4024819,-0.01,-0.29,0.08,-48.88,-81.06,88.44,12.81,1.50,-12.06,0.04,0.06,-0.13,9.63,-62.88,177.25,9.69,-9.25,-4.56,5,3
1772477933.877555,4024859,-0.12,-0.10,0.22,-47.69,-81.44,89.31,12.75,3.06,-9.56,-0.02,-0.03,-0.11,9.38,-62.50,177.69,10.94,-8.88,-3.56,5,3
1772477933.877854,4024898,-0.13,0.16,0.32,-47.63,-81.81,90.19,16.25,7.94,-9.31,0.00,0.03,0.06,9.13,-62.13,178.00,8.81,-9.63,-3.62,5,3
1772477933.878134,4024937,-0.31,0.17,0.30,-48.56,-82.37,91.25,23.44,14.00,-12.00,-0.01,0.01,0.08,8.88,-61.81,178.25,7.50,-6.06,-1.00,4,3
1772477933.878410,4024978,-0.06,-0.01,0.08,-50.44,-83.00,92.31,28.56,21.31,-14.44,0.01,0.06,-0.03,8.56,-61.63,178.37,5.56,-5.00,-0.56,4,3
1772477933.878671,4025019,0.10,-0.16,0.03,-4.75,-84.19,94.25,30.19,19.56,-15.81,0.00,0.15,-0.13,8.31,-61.50,178.50,5.69,-4.94,-1.06,5,3
1772477933.878936,4025059,0.06,-0.30,0.00,-4.12,-85.12,96.00,29.37,17.12,-18.12,-0.03,0.02,0.10,8.13,-61.19,178.69,4.12,-9.44,-2.87,5,3
1772477933.879208,4025098,0.01,-0.48,-0.05,-3.44,-86.06,97.69,25.00,14.63,-17.87,0.00,-0.07,0.18,8.13,-60.75,178.94,5.31,-10.56,-4.62,7,3
1772477933.879659,4025137,-0.08,-0.54,-0.11,-2.75,-86.94,99.19,19.56,16.00,-16.87,0.08,-0.10,0.22,8.19,-60.38,179.19,3.44,-8.81,-4.31,6,3
1772477933.880062,4025179,-0.13,-0.52,-0.21,-2.12,-87.75,100.25,14.63,20.44,-18.12,0.13,-0.13,0.36,8.31,-60.00,179.44,1.81,-6.81,-3.00,6,4
1772477933.880493,4025220,0.03,-0.54,-0.29,-178.94,-88.81,102.00,11.00,24.81,-19.69,0.06,-0.10,0.28,8.44,-59.69,179.56,1.44,-1.62,-2.81,6,4
1772477933.880950,4025260,0.06,-0.49,-0.34,-179.75,-88.37,103.12,6.75,26.00,-18.44,0.01,0.07,0.13,8.50,-59.63,179.62,0.81,-0.88,-1.81,6,5
1772477933.881401,4025299,0.12,-0.33,-0.26,179.37,-87.25,104.06,3.19,24.69,-16.81,-0.04,-0.03,0.11,8.56,-59.63,179.69,-0.50,-1.12,-2.12,6,5
1772477933.881875,4025338,0.07,-0.21,-0.12,178.75,-86.19,104.87,1.25,21.69,-13.63,0.00,-0.06,0.01,8.75,-59.56,179.75,-0.31,-0.69,-2.75,6,6
1772477933.882278,4025380,0.13,-0.15,-0.04,178.37,-85.50,105.25,0.50,18.62,-9.00,0.00,-0.18,0.04,8.94,-59.56,179.87,-0.37,1.44,-1.69,6,6
1772477933.882691,4025420,-0.05,-0.03,0.00,178.00,-84.56,105.69,0.94,16.87,-6.37,0.07,-0.08,0.06,9.13,-59.63,179.94,0.62,2.75,-1.50,5,7
1772477933.883099,4025461,0.12,-0.07,-0.06,177.75,-83.87,106.00,2.94,16.87,-5.19,-0.07,-0.40,0.06,9.25,-59.75,180.00,-0.94,4.87,0.50,5,7
1772477933.883501,4025500,0.11,-0.13,-0.06,177.56,-83.25,106.37,2.81,15.25,-3.06,-0.06,-0.07,-0.06,9.38,-59.94,180.00,-0.75,3.44,-0.44,3,7
1772477933.883910,4025539,0.35,0.03,-0.13,160.25,-82.75,106.50,2.00,12.13,0.37,0.07,0.32,0.00,9.50,-60.06,180.00,-0.62,0.94,0.13,4,7
1772477933.884290,4025581,0.27,0.06,-0.20,161.25,-82.44,106.56,2.50,7.75,2.12,-0.07,-0.02,-0.24,9.63,-60.13,180.06,0.44,1.44,-2.19,4,7
1772477933.884723,4025621,0.24,0.15,-0.12,163.00,-82.25,106.56,2.69,2.69,4.19,-0.08,0.01,-0.06,9.75,-60.13,180.19,2.00,-1.75,-3.31,4,7
1772477933.885192,4025661,0.04,0.15,0.01,164.00,-82.31,106.50,4.31,-3.25,2.94,-0.06,-0.07,0.02,9.88,-60.06,180.31,-0.19,-0.13,-1.12,4,7
1772477933.885802,4025702,-0.06,0.01,0.04,163.94,-82.44,106.69,5.00,-4.12,0.69,-0.07,-0.14,-0.01,9.94,-60.06,180.31,0.19,-0.13,-0.50,4,6
1772477933.886249,4025742,-0.04,-0.03,0.00,163.50,-82.56,106.87,3.37,-2.75,-0.06,-0.12,-0.15,-0.03,9.94,-60.13,180.31,-0.50,-0.44,1.25,4,5
1772477933.886651,4025782,0.11,-0.08,-0.02,163.00,-82.69,106.94,1.00,-2.62,-1.06,-0.01,-0.05,-0.11,9.88,-60.19,180.19,-2.19,0.19,4.62,5,5
1772477933.887047,4025822,-0.15,-0.06,-0.04,162.00,-82.75,107.06,0.06,-2.94,-3.12,0.19,0.06,-0.17,9.56,-60.19,179.81,-7.62,-7.25,9.13,6,5
1772477933.887435,4025862,-0.07,-0.06,-0.12,160.81,-82.75,107.25,2.19,0.94,-3.75,-0.29,-0.25,0.05,9.06,-59.75,179.19,-7.75,-20.75,11.56,6,5
1772477933.887859,4025902,0.24,-0.08,0.00,160.19,-82.69,107.44,0.94,-1.50,0.06,-0.20,-0.11,0.02,8.38,-59.13,178.44,-10.38,-12.56,14.75,5,5
1772477933.888736,4025941,0.22,0.00,0.12,160.75,-82.94,107.19,-2.56,-9.06,5.87,-0.03,0.05,0.13,7.81,-58.88,177.81,-2.62,-4.56,9.25,8,7
1772477933.889248,4025982,-0.02,0.06,0.10,177.87,-83.31,106.87,-4.44,-10.94,6.44,0.10,0.00,-0.10,7.37,-58.94,177.62,4.37,3.50,3.62,9,8
1772477933.889669,4026023,-0.16,-0.09,0.08,178.19,-83.87,106.31,-6.50,-8.25,4.75,0.06,-0.12,0.04,7.06,-59.06,177.69,7.00,5.31,-0.31,8,8
1772477933.890129,4026063,-0.14,-0.11,0.02,178.37,-84.06,105.75,-9.63,-2.69,4.81,-0.07,-0.11,-0.09,6.87,-59.31,177.87,5.75,5.62,-0.19,8,8
1772477933.890674,4026102,-0.06,-0.07,0.05,178.56,-84.19,105.12,-12.81,-0.69,3.19,-0.18,-0.04,-0.06,6.75,-59.50,178.00,4.06,4.37,0.75,8,8
1772477933.891140,4026141,-0.06,0.00,0.10,178.69,-84.25,104.37,-15.06,-3.31,1.87,-0.11,0.01,0.02,6.56,-59.69,178.00,2.44,3.12,1.31,8,9
