host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772645893.676374,1999762,0.41,0.18,0.11,-6.06,-79.19,72.81,-4.00,6.62,29.31,0.48,0.19,-0.22,177.31,-55.63,146.87,8.06,-7.06,0.06,4,4
1772645893.676697,1999802,0.27,0.04,0.13,-10.19,-79.25,71.87,-5.31,6.37,24.37,0.27,-0.62,-0.08,176.69,-55.69,147.87,10.31,-3.25,-2.44,4,4
1772645893.676999,1999844,0.08,-0.35,0.02,-14.75,-79.25,70.87,-15.00,4.69,23.12,0.26,-0.08,-0.17,176.62,-55.88,147.87,-6.81,-8.69,-0.62,4,4
1772645893.677291,1999886,0.02,-0.16,-0.09,-19.37,-79.19,68.94,-28.56,4.75,20.62,0.10,0.02,-0.07,177.00,-56.38,147.06,-10.50,-13.31,1.62,4,4
1772645893.677586,1999928,0.07,0.51,0.05,-22.06,-79.06,67.06,-36.00,4.12,18.44,-0.12,-0.21,0.29,177.44,-56.94,146.44,8.25,-11.63,3.50,5,5
1772645893.677877,1999967,0.21,0.92,-0.04,-24.00,-78.94,65.31,-32.31,3.75,14.81,-0.24,-0.13,0.10,176.94,-57.38,147.50,22.25,-9.31,2.81,4,5
1772645893.678160,2000006,0.12,0.97,-0.23,-25.25,-78.69,63.88,-28.37,-4.06,12.94,-0.28,0.00,0.44,176.75,-57.75,148.19,1.94,-10.44,8.44,5,4
1772645893.678487,2000048,-0.51,1.33,-0.31,-26.25,-78.50,62.56,-23.75,3.56,10.81,-0.21,0.12,0.49,177.37,-58.19,147.25,-6.25,-10.31,4.69,5,4
1772645893.678788,2000089,0.22,1.00,-0.56,-27.87,-78.62,61.56,-17.81,11.81,9.19,-0.41,0.01,0.34,177.87,-58.69,147.00,18.31,-7.94,15.88,5,4
1772645893.679078,2000131,0.69,1.05,-0.43,-29.81,-78.81,60.63,-19.00,7.00,10.13,-0.12,0.26,-0.10,178.06,-59.06,148.12,23.37,-0.81,12.19,6,5
1772645893.679355,2000170,0.72,1.06,-0.25,-31.69,-79.00,59.88,-9.81,9.81,4.56,0.16,-0.26,-0.05,177.94,-59.25,149.44,27.69,-8.88,21.19,5,4
1772645893.679630,2000209,0.53,0.88,-0.14,-31.25,-78.87,59.50,-6.69,-0.19,1.37,0.04,0.28,0.46,178.50,-59.50,150.06,30.50,-2.44,28.81,5,5
1772645893.679945,2000251,-0.08,0.79,0.17,-31.69,-78.75,59.25,-3.81,-2.25,0.00,0.62,-0.13,0.00,178.50,-59.06,152.06,42.13,19.25,15.25,7,6
1772645893.680243,2000293,-0.04,0.84,0.17,-31.44,-78.94,59.44,6.19,5.75,-9.44,0.36,0.04,-0.13,177.75,-58.44,154.50,36.50,11.56,9.44,7,6
1772645893.680533,2000334,-0.03,0.74,-0.13,-31.81,-79.25,60.00,17.94,9.94,-15.31,0.16,0.09,-0.39,177.19,-58.06,155.75,9.63,10.81,-1.94,7,5
