host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772644197.149871,303186,0.06,-0.43,0.16,-4.50,-69.75,88.50,-33.75,-12.88,9.69,0.06,-0.12,0.00,116.50,-50.50,346.69,4.06,3.50,-0.88,3,3
1772644197.150191,303226,-0.18,-0.10,0.36,-3.87,-69.19,87.06,-41.63,-12.75,9.44,0.01,-0.08,-0.03,116.50,-50.38,346.94,3.87,2.19,0.94,2,3
1772644197.150485,303265,-0.29,0.40,0.39,-3.06,-68.69,85.50,-43.50,-11.25,8.81,-0.03,-0.10,0.00,116.44,-50.38,347.12,0.44,0.44,0.75,2,2
1772644197.150800,303305,-0.24,0.52,0.33,-2.44,-68.44,84.50,-35.94,-5.94,6.81,0.01,-0.07,0.06,116.50,-50.44,347.06,-2.62,-0.69,0.50,2,2
1772644197.151084,303346,-0.44,0.28,0.34,-2.06,-68.19,83.31,-27.56,-2.25,6.31,0.05,-0.03,0.12,116.56,-50.44,346.87,-5.69,-2.37,-0.06,2,2
1772644197.151364,303386,-0.55,0.33,0.31,-1.75,-68.19,82.25,-19.37,3.62,5.06,-0.07,0.04,0.02,116.75,-50.44,346.37,-16.37,-5.06,-4.75,2,2
1772644197.151653,303427,-0.13,0.12,0.13,-1.50,-68.62,81.81,-12.94,12.38,1.69,-0.15,0.09,0.00,117.06,-50.38,345.62,-17.56,-6.69,-3.37,2,2
1772644197.151969,303466,0.19,0.14,0.08,-1.25,-69.12,81.37,-13.81,13.38,2.62,-0.19,0.15,-0.13,117.50,-50.44,344.87,-13.06,-1.25,0.06,2,3
1772644197.152236,303505,0.14,0.26,0.02,-0.94,-69.44,81.00,-16.87,6.31,1.50,-0.04,0.27,-0.26,117.94,-50.50,344.44,-2.19,1.56,2.00,3,2
1772644197.152502,303547,0.00,0.47,0.08,-0.44,-69.69,80.50,-13.63,9.25,-1.37,0.11,0.13,-0.18,118.06,-50.50,344.56,6.56,4.06,1.69,3,3
1772644197.152806,303587,-0.29,0.40,0.09,0.00,-70.12,80.19,-7.06,9.94,-1.94,-0.02,-0.07,-0.19,118.06,-50.50,344.94,9.00,4.81,1.87,4,3
1772644197.153076,303627,-0.56,0.22,0.30,-0.19,-70.75,80.00,3.25,21.62,5.81,0.07,-0.13,0.09,117.94,-50.44,345.37,5.31,3.87,0.25,5,3
1772644197.153353,303667,0.28,-0.06,-0.10,-1.31,-71.81,80.06,14.38,28.06,5.25,0.17,-0.07,0.25,118.00,-50.38,345.62,-1.62,3.81,-1.56,5,3
1772644197.153622,303706,0.91,-0.48,-0.66,-2.31,-72.56,80.50,14.38,19.50,5.06,0.22,0.06,0.04,118.19,-50.19,345.75,-2.81,4.25,-1.37,5,3
1772644197.153892,303748,0.48,-0.28,-0.65,-3.50,-73.06,80.56,7.69,3.94,4.31,-0.06,-0.07,-0.26,118.37,-50.19,345.81,-0.19,0.75,1.81,5,3
1772644197.154161,303788,0.12,-0.08,-0.20,-4.19,-73.00,80.62,2.62,-5.75,1.87,-0.29,-0.02,-0.12,118.37,-50.25,345.75,-1.69,0.25,1.12,5,4
1772644197.154434,303828,0.00,-0.10,0.09,-4.12,-72.62,80.56,-0.56,-11.75,-1.31,-0.20,0.04,-0.19,118.50,-50.25,345.69,-0.37,-1.00,0.06,4,3
1772644197.154825,303867,-0.67,-0.01,0.42,-3.37,-72.12,80.62,-4.56,-11.81,-6.37,-0.22,0.08,-0.08,118.37,-50.25,345.81,6.06,-0.44,0.50,4,4
1772644197.155123,303907,-1.22,-0.13,0.80,-2.37,-72.00,80.81,-7.94,7.50,-10.56,-0.12,0.12,0.09,118.19,-50.31,346.00,6.00,0.06,-0.81,4,3
1772644197.155410,303949,-0.75,-0.25,0.59,-0.62,-72.62,80.94,-16.06,25.19,-12.50,0.01,0.00,0.10,117.87,-50.25,346.25,4.94,0.19,-1.56,4,4
1772644197.155702,303989,-0.19,-0.19,0.24,2.31,-74.12,80.94,-18.62,37.75,-12.75,0.07,-0.11,0.10,117.69,-50.25,346.50,-0.94,-0.88,-2.50,3,3
1772644197.155987,304029,-0.01,-0.12,0.03,4.31,-75.25,80.87,-18.75,39.00,-9.69,-0.10,-0.14,-0.05,117.69,-50.13,346.44,-5.69,-0.94,-3.31,3,3
1772644197.156266,304068,0.53,0.09,-0.31,7.62,-77.06,80.56,-17.25,38.06,-7.12,-0.02,-0.05,-0.09,117.81,-50.06,346.31,-3.69,-0.50,-2.00,3,4
1772644197.156547,304109,0.50,0.05,-0.41,9.44,-78.00,80.44,-12.19,26.50,-4.62,0.02,0.02,-0.11,117.87,-50.00,346.25,-1.25,-1.12,-1.00,3,3
1772644197.156997,304150,0.26,0.06,-0.28,11.69,-78.94,80.06,-8.00,17.19,-2.37,-0.06,-0.09,-0.10,117.87,-50.00,346.19,-0.69,-1.06,-0.88,3,3
1772644197.157297,304190,0.24,0.12,-0.13,12.81,-79.50,79.94,-3.69,13.38,-1.19,0.07,0.02,-0.13,117.81,-49.94,346.25,1.06,-0.50,-0.75,3,4
1772644197.157573,304230,0.30,-0.04,-0.09,13.69,-80.00,79.87,0.25,10.88,-0.81,0.03,0.01,-0.11,117.75,-49.94,346.31,1.62,-1.06,-0.69,3,4
1772644197.157871,304269,0.22,-0.31,-0.02,13.88,-80.25,79.87,-0.19,4.50,1.37,0.06,-0.09,-0.10,117.62,-49.94,346.37,1.44,-1.37,-0.13,4,3
1772644197.158160,304308,0.20,-0.22,-0.01,13.69,-80.31,79.87,-1.06,1.37,3.25,0.12,-0.01,-0.25,117.56,-49.94,346.37,2.37,-1.94,0.50,4,3
1772644197.158433,304350,0.30,-0.07,0.00,13.13,-80.37,79.62,-0.56,-0.19,4.25,0.13,-0.01,-0.26,117.37,-50.00,346.50,6.62,-1.69,1.31,5,4
1772644197.158736,304390,0.38,0.22,0.06,11.69,-80.25,79.44,1.69,-6.19,4.69,0.15,0.00,-0.42,117.19,-50.06,346.69,7.62,-1.81,3.00,5,4
1772644197.159013,304431,-0.03,-0.01,0.37,10.13,-79.87,79.37,6.50,-11.69,3.62,0.17,-0.09,-0.16,117.06,-50.13,346.81,8.63,-1.94,4.00,6,5
1772644197.159285,304470,-0.41,-0.03,0.54,8.63,-79.56,79.50,9.56,-5.62,4.25,0.13,-0.04,-0.06,116.75,-50.25,347.00,6.87,-1.94,2.94,6,4
1772644197.159639,304509,-0.06,0.05,0.23,7.56,-79.56,79.75,12.25,2.19,4.62,0.00,-0.04,-0.08,116.44,-50.38,347.12,7.81,-1.87,2.37,6,4
