host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772644874.422361,980474,0.28,0.29,0.13,0.00,-74.87,89.94,0.00,-19.50,-6.81,0.02,0.07,0.08,157.87,-65.75,234.50,5.44,4.00,1.06,6,5
1772644874.422675,980514,-0.41,0.05,0.27,1.00,-74.12,90.31,3.44,-15.31,-9.31,0.00,-0.02,0.09,157.81,-65.62,234.75,1.00,3.81,-2.00,6,5
1772644874.422967,980553,-0.03,-0.40,-0.04,2.44,-73.75,91.00,5.19,-7.94,-14.19,0.00,-0.05,0.15,157.81,-65.44,234.87,-2.12,4.44,-1.00,6,4
1772644874.423249,980594,0.09,-0.51,-0.24,4.12,-73.44,91.62,0.94,-8.13,-13.63,0.08,0.17,0.15,158.00,-65.25,234.69,-6.06,4.62,-3.44,5,3
1772644874.423529,980634,0.53,-0.38,-0.30,5.69,-73.06,92.06,-3.25,-9.25,-12.00,0.09,-0.01,-0.06,158.06,-65.06,234.56,-3.37,3.62,-4.56,4,3
1772644874.423817,980675,0.31,-0.29,-0.08,7.12,-72.44,92.44,-6.44,-18.31,-10.56,0.13,0.00,-0.12,157.87,-64.87,234.62,0.44,4.25,-6.25,4,2
1772644874.424110,980716,0.31,-0.16,0.07,8.06,-71.62,92.50,-6.56,-20.00,-7.44,0.46,-0.16,0.07,157.37,-64.50,235.19,5.56,8.31,-12.38,3,2
1772644874.424400,980755,-0.05,-0.40,0.31,8.50,-70.81,92.62,-1.37,-21.25,-3.12,0.20,0.01,0.02,156.37,-64.06,236.00,-3.81,-0.62,-17.56,2,2
1772644874.424683,980795,-0.63,-0.41,0.35,8.13,-70.06,92.56,0.62,-15.63,4.94,-0.07,0.09,0.00,155.50,-63.88,236.06,-12.81,-0.88,-9.25,2,2
1772644874.424948,980836,-0.89,-0.23,0.28,7.50,-69.94,92.31,-2.31,4.25,3.94,0.07,0.12,-0.30,155.37,-63.75,235.75,-0.88,-0.81,-4.19,3,2
1772644874.425222,980876,0.75,-0.35,-0.17,8.75,-70.50,92.25,-19.62,16.37,-11.06,0.29,0.48,-0.10,155.12,-63.75,236.06,5.56,-1.44,0.31,5,2
1772644874.425495,980917,1.13,0.31,0.03,12.25,-70.37,92.00,-43.50,-11.13,-25.50,0.03,-0.03,0.00,154.81,-63.81,236.50,9.75,0.81,-0.56,5,2
1772644874.425773,980956,-0.38,1.03,0.56,16.31,-69.37,91.87,-37.69,-19.62,-26.75,0.46,-0.28,0.17,154.44,-63.69,237.19,10.13,2.37,-0.81,6,2
1772644874.426056,980996,-0.61,0.70,0.66,18.25,-68.81,92.06,-3.31,-4.94,-8.81,-0.07,-0.21,0.20,154.31,-63.63,237.37,-5.06,-0.44,-1.19,5,2
1772644874.426324,981037,-0.41,-0.04,0.58,17.44,-68.87,92.25,23.31,5.87,9.38,0.03,-0.02,0.15,154.44,-63.56,237.00,-7.44,1.56,-3.50,6,3
1772644874.426592,981078,0.35,-0.27,0.30,14.94,-69.37,92.44,30.31,5.81,20.12,0.03,-0.01,-0.14,154.25,-63.44,237.12,4.12,2.25,-4.19,6,3
1772644874.426935,981119,-0.01,-0.35,0.26,11.63,-69.69,92.31,26.94,2.87,21.31,0.09,0.12,-0.02,154.19,-63.31,237.25,-6.00,0.81,-2.19,7,3
1772644874.427230,981158,0.23,-0.45,0.22,9.38,-69.75,92.44,17.12,2.00,16.81,0.08,0.01,-0.01,154.06,-63.31,237.06,-3.25,-2.94,-1.87,7,3
1772644874.427504,981197,0.13,-0.34,0.27,7.94,-69.69,92.19,4.56,-0.75,15.13,0.29,-0.04,-0.12,153.94,-63.38,237.06,1.44,-4.56,0.06,7,4
1772644874.427775,981238,-0.03,0.02,0.24,6.50,-69.75,91.56,-3.81,0.81,14.63,0.33,0.01,0.08,153.62,-63.56,237.19,5.87,-4.31,1.44,5,4
1772644874.428044,981280,0.16,0.16,0.22,5.31,-69.94,90.94,-5.06,4.44,13.19,0.18,-0.29,0.05,153.25,-63.69,237.62,9.00,-3.06,1.69,4,4
1772644874.428322,981321,-0.07,0.00,0.31,4.12,-70.12,90.25,-6.37,5.56,13.50,0.06,-0.24,0.16,153.06,-63.75,237.81,-0.88,-2.31,2.12,5,4
1772644874.428601,981360,-0.54,-0.02,0.44,3.06,-70.50,89.56,-9.06,12.13,12.31,0.02,0.02,0.18,153.25,-63.88,237.44,-5.50,-1.69,1.37,4,4
1772644874.428878,981399,-0.73,-0.14,0.54,2.31,-71.31,88.75,-13.50,26.50,11.50,-0.03,0.12,0.12,153.37,-63.94,237.19,-3.87,-1.62,0.25,4,3
1772644874.429153,981442,-0.04,0.05,0.15,1.69,-72.62,87.87,-18.75,37.31,12.81,0.00,0.24,0.00,153.50,-64.06,236.94,-0.37,-2.25,2.69,4,3
1772644874.429414,981484,0.11,0.47,0.05,1.00,-74.12,86.87,-18.06,36.13,9.88,0.12,0.17,0.04,153.56,-64.19,237.00,5.44,-1.37,3.12,3,3
1772644874.429679,981526,0.43,0.57,-0.11,0.56,-75.50,86.12,-10.69,32.88,4.31,0.08,0.17,0.01,153.56,-64.31,237.06,2.06,-2.75,1.87,3,3
1772644874.429942,981565,0.28,0.18,-0.10,0.50,-76.87,85.87,-6.00,26.00,1.12,0.02,0.03,0.00,153.50,-64.44,237.12,3.94,-2.00,1.37,4,3
1772644874.430210,981604,0.16,0.16,-0.09,0.69,-77.62,85.75,-4.87,23.12,-0.75,0.02,0.04,0.09,153.50,-64.50,237.12,0.19,-1.94,1.94,3,3
1772644874.430482,981647,0.22,0.00,-0.13,1.12,-78.50,85.69,-3.12,22.69,-2.56,0.05,0.04,0.11,153.56,-64.56,236.94,-5.12,-0.88,-0.50,2,2
1772644874.430784,981687,0.18,0.06,-0.11,1.94,-79.56,85.81,-2.25,20.50,-2.19,0.08,0.13,0.09,153.69,-64.56,236.69,-5.00,-1.06,-1.56,2,2
1772644874.431057,981728,0.45,0.11,-0.25,2.44,-80.37,85.87,0.56,20.62,-1.25,0.17,0.12,-0.05,153.75,-64.62,236.44,-2.25,-1.50,-1.44,3,3
1772644874.431332,981767,0.42,0.21,-0.23,2.56,-81.06,86.06,3.56,15.81,-0.75,0.12,0.09,-0.03,153.69,-64.62,236.37,-1.44,-1.69,-1.12,3,3
1772644874.431603,981806,0.23,0.08,-0.16,2.37,-81.56,86.44,5.75,8.88,-0.69,0.01,0.00,-0.02,153.62,-64.69,236.25,-2.94,-1.81,-1.37,3,4
1772644874.431882,981848,0.26,0.02,-0.23,2.25,-81.81,86.56,6.62,10.25,0.56,0.17,0.04,0.09,153.56,-64.75,236.12,-0.19,-1.94,-0.69,3,4
1772644874.432148,981888,0.30,0.08,-0.22,1.62,-82.25,86.81,6.31,7.56,1.44,0.02,0.12,0.00,153.50,-64.81,236.12,0.13,-1.44,0.06,4,4
1772644874.432413,981929,0.07,0.09,-0.08,1.25,-82.50,87.06,6.81,5.31,-0.62,0.02,0.03,0.11,153.50,-64.81,236.12,0.56,0.25,-0.88,5,4
1772644874.432686,981968,0.14,-0.01,-0.04,1.31,-82.75,87.31,7.06,7.94,-0.75,0.02,0.00,0.10,153.31,-64.81,236.19,-0.31,-0.06,-2.00,5,4
1772644874.432958,982006,-0.07,0.00,0.05,1.06,-83.06,87.56,6.69,6.81,-0.19,0.04,0.01,0.18,153.25,-64.75,236.19,-2.00,0.94,-2.69,5,4
1772644874.433226,982048,-0.04,-0.08,0.17,0.06,-83.31,87.75,6.19,12.81,-0.37,0.07,0.08,0.30,153.12,-64.69,236.25,-1.87,2.25,-3.25,5,4
1772644874.433502,982089,-0.16,-0.12,0.39,0.13,-83.94,88.06,4.81,16.94,-1.44,-0.03,0.01,0.17,153.00,-64.56,236.31,-1.56,5.56,-4.50,5,4
1772644874.433824,982129,0.25,-0.15,0.11,0.19,-84.75,88.25,4.25,22.75,-1.19,0.23,0.05,-0.22,152.87,-64.25,236.44,-3.94,4.31,-6.87,4,3
1772644874.434106,982169,0.62,-0.07,-0.14,0.19,-85.56,88.44,3.37,20.87,0.44,0.30,0.01,-0.31,152.75,-64.00,236.44,-7.19,0.81,-5.56,4,3
1772644874.434383,982208,0.76,0.04,-0.33,0.06,-86.19,88.50,3.31,11.00,2.31,0.22,0.06,-0.13,152.69,-63.88,236.25,-6.06,-1.87,-5.19,3,3
