host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772045536.212054,2872844,0.22,-0.09,0.13,36.19,65.25,246.56,-0.19,1.19,0.25,-0.09,0.00,0.07,-1.87,71.69,231.44,-1.94,1.19,0.13,4,2
1772045536.213511,2873035,0.13,0.06,0.15,36.94,65.62,246.62,-0.13,-4.50,-2.44,-0.03,-0.01,-0.10,-1.06,71.62,231.37,-0.31,0.37,0.00,4,2
1772045536.214285,2873224,0.16,0.06,0.12,38.00,66.87,246.81,1.50,-12.00,0.13,-0.04,-0.10,0.00,-0.81,71.37,231.56,-7.81,4.37,-0.69,3,2
1772045536.214970,2873415,0.19,-0.20,0.14,42.88,68.87,246.25,-8.06,-18.31,1.56,-0.12,0.03,0.19,0.56,70.81,232.50,-3.31,0.94,2.81,3,2
1772045536.215898,2873606,-0.26,0.14,-0.09,52.13,71.12,248.00,-16.81,-8.31,-3.12,-0.12,0.13,0.10,0.69,70.75,233.00,-1.31,-0.31,-0.31,3,2
1772045536.216829,2873797,-0.03,0.18,-0.13,55.44,72.00,250.00,-5.25,-2.12,-0.13,-0.04,-0.09,0.00,1.62,70.50,232.87,-1.81,0.88,1.12,3,2
1772045536.217411,2873988,-0.04,0.12,-0.11,55.75,72.06,250.37,1.25,3.12,-0.31,-0.10,-0.06,0.06,2.12,70.37,233.00,0.31,-1.00,1.00,5,2
1772045536.217909,2874178,0.05,0.09,0.04,54.00,71.87,250.19,2.44,4.69,0.31,-0.06,-0.03,-0.02,2.00,70.50,233.00,-0.13,-1.19,-0.69,4,2
1772045536.218387,2874369,-0.05,0.03,0.07,52.50,71.25,249.75,2.56,2.31,1.06,-0.06,0.00,-0.01,1.94,70.50,232.94,0.25,-0.56,-0.19,5,2
1772045536.218848,2874560,-0.06,0.01,-0.01,51.50,70.81,249.31,0.75,1.75,0.25,-0.05,0.00,0.08,1.87,70.50,232.87,0.69,0.25,0.00,5,2
1772045536.231814,2874750,0.00,0.01,0.05,50.31,70.50,249.31,1.81,1.62,0.00,-0.07,-0.07,0.01,1.75,70.56,232.56,1.87,-0.44,1.37,5,2
