host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772044173.461389,1510002,0.35,0.84,0.47,65.87,67.75,289.00,-15.81,-15.00,-16.81,0.04,0.06,-0.35,13.25,74.75,189.94,-11.50,-10.38,-4.81,1,5
1772044173.462161,1510191,-0.10,0.15,0.12,72.19,70.56,291.25,2.37,-9.75,-6.19,0.06,0.09,-0.06,11.00,75.25,191.87,0.25,4.62,-1.50,1,5
1772044173.462758,1510381,-0.14,0.38,-0.04,73.37,72.06,289.25,43.69,-8.94,-0.19,0.00,0.01,0.04,8.31,75.00,192.06,5.37,1.50,-5.37,1,5
1772044173.463306,1510573,-0.35,-0.94,0.25,72.69,72.31,280.62,30.25,-11.25,7.75,0.02,0.26,-0.17,2.12,76.00,193.00,5.62,-3.56,-7.50,1,5
1772044173.463826,1510764,-0.10,0.27,-0.06,73.00,70.00,274.87,32.69,1.94,8.31,-0.02,0.06,0.08,0.25,75.75,193.12,-0.81,5.56,3.62,1,5
1772044173.464336,1510955,-0.33,-0.11,-0.12,65.37,68.37,266.81,49.00,6.37,6.44,0.03,-0.08,0.07,3.50,74.81,193.31,-3.56,3.81,2.19,2,6
1772044173.464850,1511144,0.20,-0.29,0.27,54.63,66.81,261.69,15.25,9.13,0.19,0.01,0.12,-0.27,2.06,75.12,192.44,15.88,-3.50,-2.00,2,6
1772044173.465354,1511334,0.08,-0.21,0.50,51.19,64.94,259.62,12.06,17.19,10.13,0.11,-0.22,0.11,-1.62,75.56,191.56,-1.44,9.94,0.75,2,5
1772044173.465861,1511526,-0.25,-0.26,0.07,51.19,63.75,257.81,-5.25,-9.94,1.87,-0.20,0.12,-0.06,0.06,75.06,191.31,9.63,-0.37,4.69,2,3
1772044173.466366,1511718,-0.06,-0.10,-0.16,53.00,64.94,257.19,16.69,-1.50,2.81,0.05,0.03,-0.03,0.13,74.87,189.75,-0.94,2.69,-3.06,3,3
1772044173.466874,1511908,-0.01,-0.41,0.00,52.25,63.88,253.69,5.06,-3.75,0.81,-0.03,-0.20,-0.04,2.00,74.12,191.25,-13.38,5.62,2.62,3,4
1772044173.611246,1512098,-0.18,-0.16,0.07,51.69,65.25,254.50,-3.00,0.06,-14.25,0.00,0.09,0.06,4.87,73.87,192.37,-5.69,-2.44,-2.25,3,3
1772044173.800917,1512287,0.14,-0.29,0.36,51.69,66.62,259.69,-39.50,-1.25,-11.00,-0.05,0.09,-0.07,3.75,74.12,193.06,-2.37,-0.75,-0.75,3,3
1772044173.992955,1512479,-0.04,0.43,0.05,57.88,69.00,264.87,-7.12,-9.38,-9.19,-0.03,-0.01,-0.02,5.31,74.00,193.44,-2.81,3.31,2.94,3,4
1772044174.183884,1512671,0.09,0.11,-0.06,62.06,70.94,266.00,-4.00,-11.81,-2.75,-0.03,-0.03,0.14,6.50,73.56,193.06,4.00,4.00,2.19,3,3
1772044174.375006,1512862,-0.21,0.10,-0.17,67.25,72.00,266.00,2.87,-4.19,-1.56,0.00,0.05,0.01,7.62,73.31,192.69,-2.81,1.37,2.56,3,2
1772044174.564418,1513051,0.16,0.21,-0.24,60.38,71.94,265.25,22.56,21.06,-3.00,-0.04,-0.03,0.24,9.69,72.56,192.31,-1.37,2.69,3.19,4,3
1772044174.753605,1513240,0.05,-0.27,0.11,53.06,70.69,262.56,7.94,5.62,6.25,0.07,0.00,0.07,9.88,72.94,191.94,0.19,-5.25,-2.31,4,4
1772044174.946323,1513433,0.22,0.08,0.34,59.00,68.87,264.75,-47.81,-3.31,4.56,-0.03,0.07,-0.22,8.38,73.50,192.12,-2.69,-5.06,-3.25,4,4
1772044175.138356,1513625,0.18,0.05,-0.01,64.75,70.19,267.37,3.81,-9.56,-6.62,-0.01,0.02,0.08,9.25,73.44,192.37,-1.31,2.00,2.44,4,4
1772044175.330777,1513817,-0.01,0.03,0.02,70.19,71.37,267.19,-3.37,-12.25,1.44,-0.03,0.00,0.01,9.44,73.25,192.31,0.37,-0.75,-0.19,4,4
1772044175.522373,1514009,-0.12,0.00,-0.01,76.50,71.94,267.19,-5.06,-6.69,-4.00,-0.07,0.06,-0.10,9.75,73.25,192.06,1.00,-1.00,0.50,3,3
1772044175.711584,1514198,-0.02,-0.16,0.00,78.50,72.81,268.94,-10.38,-0.50,-1.31,-0.04,-0.08,0.06,9.63,73.31,192.19,-1.75,0.56,-0.81,3,3
1772044175.901558,1514388,0.00,-0.25,0.24,82.00,72.00,273.12,-59.88,7.50,1.62,-0.06,0.13,0.08,9.13,73.69,192.69,-2.56,-2.37,-0.13,3,3
1772044176.094589,1514581,-0.14,0.50,-0.19,87.94,71.44,280.31,2.00,-8.50,5.31,0.01,0.19,0.09,10.00,73.00,193.37,-13.63,4.06,-5.56,3,3
1772044176.287172,1514773,0.20,1.05,0.06,84.81,71.19,280.00,16.75,-2.25,-9.69,-0.05,0.23,-0.07,9.81,72.12,193.94,2.94,7.50,8.13,3,4
1772044176.477779,1514964,-0.23,0.10,0.05,81.94,73.06,272.31,56.44,-17.12,6.44,-0.02,-0.08,-0.27,14.19,69.94,190.62,2.37,-0.13,0.69,2,2
1772044176.667189,1515154,0.08,-0.29,0.09,78.75,72.06,264.56,20.00,-6.12,2.37,-0.04,-0.11,0.02,14.06,70.56,190.37,5.19,-3.00,-0.06,2,2
1772044176.856486,1515343,-0.28,0.04,-0.18,81.69,72.06,262.62,4.81,-1.75,3.37,-0.02,0.08,0.22,12.31,71.12,190.06,1.00,-3.19,-2.44,2,2
