host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772043371.574045,708116,-0.11,-0.11,-0.12,29.56,68.12,258.37,-6.12,-4.87,0.88,0.11,0.09,0.09,39.94,83.00,119.94,-8.44,-0.94,-0.69,6,2
1772043371.575219,708307,-0.07,-0.05,0.07,31.44,68.50,259.25,-4.31,-2.62,0.06,-0.06,-0.14,-0.07,4.69,83.25,119.87,-2.81,-1.37,1.50,5,3
1772043371.575889,708498,-0.03,0.20,-0.04,32.00,69.19,260.44,-5.00,-2.81,1.00,0.05,0.00,-0.03,4.50,83.25,120.19,-0.56,-2.00,-1.12,5,3
1772043371.576518,708687,0.02,0.08,0.02,32.56,68.81,260.25,-0.25,0.81,-4.06,-0.02,-0.02,0.00,4.56,83.31,120.12,1.69,-0.31,0.25,4,3
1772043371.577167,708877,-0.11,0.08,0.01,32.44,68.81,260.37,-0.19,-2.06,0.69,0.01,-0.04,0.16,4.56,83.19,120.19,1.31,1.00,-0.62,4,3
1772043371.577764,709069,-0.03,0.00,0.00,33.50,69.00,260.00,2.56,-2.69,2.44,-0.01,-0.04,0.01,4.37,83.25,120.25,-1.12,0.19,-0.56,3,2
1772043371.578372,709260,0.11,0.00,0.10,33.06,68.69,259.69,3.62,2.87,-0.13,0.00,-0.05,0.10,4.37,83.25,120.25,1.44,0.13,0.25,3,2
1772043371.578905,709451,0.03,0.01,0.10,32.63,68.56,259.31,0.25,0.44,0.44,0.00,0.03,0.05,4.31,83.31,120.37,0.56,1.19,-0.69,3,2
1772043371.579558,709641,0.04,-0.14,0.09,33.00,68.37,258.69,2.62,-0.75,0.88,0.03,-0.07,0.09,4.31,83.19,120.31,-0.44,0.62,0.25,3,2
1772043371.580166,709831,0.02,0.12,0.01,33.25,68.69,258.81,-0.25,-1.81,-0.50,0.01,-0.04,0.01,39.50,83.12,120.12,2.50,0.13,1.12,3,2
1772043371.580671,710022,0.08,0.03,0.04,33.44,68.81,258.56,-0.88,0.31,0.81,-0.01,-0.01,0.10,39.38,83.12,120.06,2.50,0.50,-0.37,4,2
1772043371.746841,710213,0.04,-0.11,0.05,33.50,68.75,258.31,1.00,1.75,-0.62,0.00,0.02,0.08,39.06,83.06,119.87,-0.25,0.56,-0.69,4,2
1772043371.937302,710404,0.02,0.09,0.04,32.88,68.50,258.31,2.81,1.62,1.31,0.00,-0.01,0.13,38.44,83.06,119.87,1.62,1.44,0.94,4,2
1772043372.127278,710593,0.22,-0.13,0.25,33.06,68.44,257.69,0.13,-0.75,1.87,-0.06,0.00,0.12,38.38,83.00,119.81,-2.12,-1.25,-1.00,4,2
1772043372.319015,710785,-0.12,0.12,0.00,38.00,69.37,258.12,-12.13,-11.75,-0.31,0.03,-0.04,-0.01,4.19,83.19,119.94,-0.13,0.31,-0.62,5,2
1772043372.509628,710976,-0.20,0.17,-0.03,38.69,70.25,259.00,1.56,4.69,-1.56,0.01,0.04,0.30,36.94,83.12,120.06,0.37,-1.50,-0.50,5,2
1772043372.700172,711166,-0.25,-0.15,-0.07,38.06,69.94,258.69,0.88,-2.50,-1.06,0.01,-0.01,0.06,4.06,83.19,119.81,0.81,-2.62,1.12,5,2
1772043372.890560,711357,0.11,0.00,0.14,36.75,70.00,259.19,-1.37,1.37,-3.62,0.00,0.03,0.22,4.25,83.31,119.81,2.25,-1.37,0.62,6,2
1772043373.081728,711548,-0.13,0.11,-0.04,39.88,70.75,259.69,-9.25,-6.87,3.50,-0.02,-0.11,-0.07,4.19,83.56,119.62,-1.75,0.00,-1.81,6,2
1772043373.271167,711737,-0.13,-0.12,0.13,39.88,70.62,260.12,-5.94,0.62,-1.12,-0.07,0.02,0.13,3.62,84.19,121.25,-5.94,0.06,-3.75,6,2
1772043373.462572,711929,0.71,-0.03,0.39,43.44,70.94,261.56,-16.81,-19.81,11.13,0.05,0.00,0.00,3.06,84.12,122.06,-7.19,3.31,-4.81,5,2
1772043373.653250,712119,0.06,-0.11,0.09,54.63,71.50,261.31,-4.44,-3.19,4.56,-0.13,-0.04,-0.12,2.94,84.25,122.94,-1.37,-1.25,0.31,5,3
1772043373.844075,712310,-0.11,0.11,0.10,55.50,71.94,262.12,2.44,9.44,-6.00,-0.02,-0.10,0.03,3.06,84.50,123.25,-2.12,0.13,0.31,4,3
1772043374.033807,712500,-0.10,0.02,-0.01,51.75,72.19,263.62,-12.25,-5.00,-3.81,0.00,-0.10,0.08,3.19,84.25,123.31,0.31,1.69,-2.31,5,3
1772043374.224865,712691,0.00,0.15,-0.23,52.44,72.19,265.50,-7.69,7.06,2.37,0.02,-0.03,0.16,2.81,84.19,124.00,-1.06,-0.56,-0.69,4,3
1772043374.415679,712882,0.12,-0.02,0.31,50.75,70.81,266.06,-0.19,12.69,3.69,0.01,-0.03,0.01,2.81,84.25,124.06,0.31,0.56,-0.44,4,3
1772043374.606483,713073,0.06,0.08,0.22,47.50,70.06,266.31,2.87,-1.00,-0.81,0.05,-0.03,0.00,2.87,84.25,123.81,-0.75,-4.87,0.44,4,4
1772043374.796810,713263,0.00,0.07,0.15,47.81,70.37,265.87,0.62,-4.12,2.12,-0.04,-0.05,0.03,2.81,84.56,123.69,2.37,2.00,0.75,3,4
1772043374.986979,713453,0.33,-0.16,0.14,48.19,70.94,265.44,6.62,-0.19,-6.31,0.05,-0.03,0.18,3.00,84.00,123.31,0.88,2.00,-0.56,4,3
1772043375.178333,713644,-0.10,-0.02,-0.01,48.88,71.94,265.87,-5.12,-2.69,1.12,0.01,-0.05,0.11,2.94,84.00,123.19,0.00,-1.25,-1.06,3,3
1772043375.368822,713835,-0.08,0.01,-0.12,51.00,72.25,266.87,-7.44,-2.69,0.00,0.00,0.01,0.13,2.81,84.19,123.06,0.19,-1.62,-0.13,4,3
1772043375.559144,714025,-0.03,0.07,0.00,51.81,72.50,267.69,1.50,0.13,0.81,-0.03,0.00,0.04,2.81,84.19,123.12,-0.44,-0.31,0.19,4,2
1772043375.750103,714216,0.01,0.02,0.03,51.25,72.31,267.44,-0.13,1.06,-0.75,-0.02,-0.04,0.00,2.94,84.19,123.06,1.06,-0.13,1.19,5,2
1772043375.940653,714407,0.14,0.08,0.09,49.81,72.31,267.69,-0.25,3.12,-0.37,0.01,-0.10,-0.03,3.00,84.12,123.06,0.50,-0.75,0.19,4,2
1772043376.131240,714598,0.08,0.10,0.03,49.25,72.25,267.75,-0.88,0.19,-1.50,0.01,0.02,0.08,3.00,84.19,123.12,0.37,-0.31,-0.37,5,2
1772043376.321859,714788,-0.01,-0.10,0.09,49.31,72.00,267.25,3.00,0.56,0.44,-0.03,-0.02,-0.01,3.00,84.12,123.06,0.06,-0.56,0.25,5,2
1772043376.512191,714979,0.01,0.05,0.06,49.50,72.12,267.31,-2.25,-1.37,0.31,-0.01,0.00,0.07,2.94,84.06,123.25,0.81,-0.31,-0.25,6,3
1772043376.703044,715170,0.01,-0.05,0.01,50.50,72.25,267.12,0.25,-0.88,0.62,0.00,-0.05,0.01,2.94,84.12,123.06,7.37,2.31,-0.31,7,3
1772043376.893833,715360,0.02,-0.12,0.13,50.81,72.12,266.62,4.44,-1.31,7.50,0.00,-0.01,0.08,2.81,84.12,122.62,0.81,0.19,-0.75,7,3
1772043377.084885,715551,-0.14,-0.07,-0.01,54.69,71.50,265.25,-2.87,-5.75,4.50,0.00,-0.06,0.03,2.75,84.19,122.56,-1.06,-0.44,0.31,7,3
1772043377.275159,715742,0.19,-0.01,0.14,53.31,71.44,265.44,3.37,6.25,-4.81,0.01,0.00,0.10,2.81,84.06,122.75,0.06,-0.31,0.31,9,5
1772043377.465568,715932,0.03,-0.03,0.09,52.25,71.50,265.87,-3.37,-0.25,-1.06,0.02,-0.09,0.05,2.81,84.12,122.81,0.25,-1.87,0.25,10,5
1772043377.656462,716123,0.00,0.01,0.14,53.81,71.69,266.37,-5.69,-1.94,0.75,-0.04,0.00,0.00,2.94,84.19,123.06,-0.62,0.31,0.62,9,5
1772043377.847397,716313,-0.13,-0.01,-0.04,55.75,71.94,266.81,-2.94,-3.62,1.69,-0.01,-0.09,0.05,3.00,84.19,123.06,-1.00,0.13,0.13,10,5
1772043378.037772,716504,0.01,0.14,0.01,56.06,71.81,267.31,-3.56,1.56,-0.25,-0.02,-0.04,0.12,3.00,84.12,123.19,-0.37,-0.31,-0.50,10,5
1772043378.228156,716694,-0.04,0.09,0.02,56.81,71.75,267.31,-1.00,-2.44,1.81,0.01,-0.05,0.08,2.94,84.19,123.31,0.00,-0.75,-0.25,11,6
1772043378.418479,716885,-0.09,-0.02,0.03,58.56,71.37,267.00,-4.50,0.37,5.56,0.03,-0.04,0.07,2.81,84.19,123.37,-0.62,1.12,-0.13,9,4
1772043378.609560,717076,-0.30,-0.67,0.08,60.00,70.19,267.25,-23.50,5.00,7.44,-0.03,-0.05,0.02,2.94,84.06,123.31,-1.56,0.13,1.62,9,4
1772043378.800119,717267,0.30,0.46,0.21,61.75,67.56,272.25,-26.94,11.88,-2.69,0.03,-0.02,0.13,3.00,83.75,123.31,-1.31,0.94,-0.62,9,5
1772043378.990638,717457,0.08,0.32,-0.02,60.44,69.12,273.81,21.19,-16.87,-2.50,0.05,-0.03,0.13,3.12,83.62,123.25,0.19,-1.94,1.69,8,5
