host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772042902.658598,239158,0.07,0.04,-0.05,39.50,72.12,252.00,5.69,-15.13,4.25,0.09,0.11,0.02,26.50,79.69,106.81,0.19,-2.62,0.88,8,4
1772042902.659393,239348,-0.14,0.01,-0.03,44.88,73.06,249.00,15.69,-10.63,2.94,0.09,-0.08,-0.03,28.75,79.81,106.12,2.37,-2.94,0.94,8,4
1772042902.660156,239537,-0.18,-0.02,-0.02,43.75,75.12,247.56,11.13,-10.50,-15.31,0.02,0.07,-0.03,28.69,80.31,105.81,1.69,-0.88,-1.37,7,4
1772042902.660922,239729,0.01,0.16,0.08,40.81,76.06,248.37,-7.19,3.12,4.75,-0.09,0.12,0.05,28.94,80.81,106.06,1.81,-6.31,-0.75,7,4
1772042902.661490,239920,0.14,0.21,0.12,44.00,73.69,248.81,-10.75,11.88,11.81,0.01,-0.06,-0.01,30.25,81.00,105.87,-1.31,0.25,-1.25,7,5
1772042902.662224,240111,-0.13,-0.04,-0.03,44.25,72.81,248.31,4.37,-2.19,-2.81,-0.01,0.03,0.04,28.31,81.25,106.31,1.12,-1.44,-1.00,7,5
1772042902.662977,240302,-0.10,0.00,0.08,40.69,72.94,248.50,4.19,2.94,-2.00,-0.01,0.07,0.02,27.69,81.25,106.25,1.06,0.56,0.25,5,4
1772042902.663554,240492,-0.07,-0.05,0.03,39.56,72.62,248.00,2.69,1.44,1.87,0.00,0.06,0.00,27.87,81.19,106.31,-2.06,-0.50,-0.56,5,3
1772042902.664042,240686,0.01,0.08,0.05,39.50,72.50,247.94,2.37,-0.69,0.75,0.00,-0.02,0.00,28.06,81.19,106.25,-1.12,0.69,0.56,4,3
1772042902.664533,240878,-0.02,0.05,-0.04,39.69,72.44,247.87,-1.31,0.75,-0.25,-0.01,0.05,0.01,28.62,81.25,106.50,-0.31,0.31,-0.06,4,3
1772042902.665007,241069,-0.08,-0.02,0.04,39.44,72.31,247.87,1.12,0.13,0.81,-0.02,0.03,0.03,28.50,81.19,106.50,-0.31,0.88,0.13,4,3
1772042902.805254,241260,0.02,0.04,0.02,39.31,72.25,247.81,0.37,0.37,0.13,0.00,0.00,0.02,29.00,81.12,106.37,-0.62,-0.25,1.19,4,2
1772042902.996142,241450,0.03,0.05,0.07,39.31,72.25,247.81,-1.37,-0.25,-0.44,-0.02,0.03,0.03,29.81,81.06,106.37,-1.25,0.06,0.37,4,3
1772042903.186454,241641,0.00,0.02,0.02,39.56,72.25,247.87,-1.12,0.19,0.00,-0.01,0.01,0.02,30.06,81.12,106.50,0.69,0.19,-0.06,4,3
1772042903.377087,241831,0.07,-0.15,0.09,40.75,72.25,247.81,-5.12,-3.12,2.81,0.00,0.03,0.10,30.19,81.12,106.50,0.44,-1.19,0.56,4,2
1772042903.566791,242021,-0.23,0.11,-0.08,47.88,72.50,248.56,-12.88,-1.25,2.19,-0.02,0.02,-0.06,30.75,81.25,106.50,4.19,2.87,0.50,4,2
1772042903.758364,242212,0.00,0.12,0.08,46.13,73.50,250.25,-0.19,-0.31,-9.31,-0.01,0.03,0.03,28.50,81.06,106.00,-3.31,-0.44,-0.81,4,2
1772042903.949066,242403,0.10,-0.15,0.03,47.06,73.87,251.62,-19.06,-2.00,2.37,-0.01,-0.02,0.00,29.44,81.37,106.37,-0.62,-1.62,-0.31,4,2
1772042904.139458,242594,0.10,0.28,0.04,50.44,73.31,254.25,-9.31,7.50,-0.19,-0.02,0.11,0.08,29.25,81.56,107.25,0.75,0.44,-0.62,4,2
1772042904.328833,242783,0.15,0.01,0.04,48.69,72.94,254.81,-2.31,0.94,3.50,-0.06,0.02,0.09,29.00,81.56,107.19,-2.37,-1.50,0.50,5,2
1772042904.520674,242975,-0.14,0.01,0.00,49.94,73.31,254.69,-0.37,-1.75,-2.31,0.01,0.03,-0.03,30.25,81.87,107.25,-0.44,-0.56,0.31,4,2
1772042904.711469,243166,0.02,0.30,0.07,49.19,73.50,256.31,-8.81,2.25,-1.00,-0.04,0.07,0.00,30.25,82.06,107.50,-2.94,-0.69,-0.44,4,2
1772042904.901898,243356,0.13,-0.10,0.13,48.44,73.62,256.31,3.44,-4.87,1.19,-0.02,-0.05,0.11,30.00,82.00,107.50,1.19,-0.81,0.13,4,2
1772042905.092692,243547,-0.15,0.01,-0.06,52.19,74.37,255.94,-1.50,-4.62,1.06,0.00,0.03,0.04,30.31,82.12,107.56,-0.88,-0.06,0.44,4,2
1772042905.283073,243737,0.02,0.08,0.08,51.63,74.50,255.81,6.31,2.00,-3.31,-0.01,-0.05,0.02,31.37,82.06,107.50,0.19,-0.13,0.13,3,2
1772042905.473269,243927,-0.02,0.15,0.04,47.25,75.19,255.25,12.56,-2.62,-4.62,0.01,0.00,0.04,30.25,82.12,107.56,-0.62,-2.25,-0.69,3,2
1772042905.664005,244118,0.07,-0.16,0.15,47.88,75.75,253.25,7.12,-12.75,6.12,0.01,0.01,0.12,30.19,82.12,107.75,-1.31,0.81,-0.13,3,2
1772042905.854613,244309,-0.26,0.01,-0.12,61.38,75.94,250.87,-0.37,-11.81,12.56,-0.01,0.00,0.01,31.94,82.12,107.56,-0.69,-0.25,2.25,3,2
1772042906.045572,244500,-0.16,-0.14,0.03,66.44,75.44,249.44,-2.06,0.56,-5.50,0.00,-0.03,0.04,33.25,81.94,107.19,0.56,0.81,0.25,4,3
