host_time_s,t_ms,ax1,ay1,az1,gx1,gy1,gz1,yaw1,pitch1,roll1,ax2,ay2,az2,gx2,gy2,gz2,yaw2,pitch2,roll2,emg1,emg2
1771521953.618317,271555,0.09,-0.02,-0.08,-176.37,-86.12,88.62,1.75,0.44,-3.31,-0.06,-0.01,0.02,145.94,58.00,318.06,-0.44,0.50,-0.06,5,3
1771521953.619103,271746,0.02,0.00,-0.03,-176.62,-86.44,89.00,0.69,-4.62,1.75,0.03,-0.08,0.00,145.81,58.00,318.00,0.69,-0.06,-0.06,5,4
1771521953.619854,271936,0.07,0.13,-0.15,-176.50,-86.44,89.19,6.19,-4.75,1.94,0.00,-0.11,-0.11,145.81,57.69,317.62,-0.19,-2.37,1.50,5,4
1771521953.620527,272127,0.00,-0.28,0.04,-3.94,-85.94,91.44,13.25,-2.50,2.06,-0.02,-0.06,-0.06,145.94,57.19,317.19,-0.37,-1.19,1.44,4,4
1771521953.621066,272318,0.01,0.05,0.00,-4.00,-85.81,92.12,0.00,-2.06,0.62,-0.04,-0.11,-0.11,145.75,56.94,316.87,-0.06,0.19,0.62,4,4
1771521953.621598,272508,0.05,-0.03,0.00,-4.12,-85.62,92.19,-0.62,-1.44,-0.06,-0.01,-0.09,0.01,145.69,57.00,316.87,0.13,1.25,-0.37,4,4
1771521953.622173,272699,0.08,-0.18,-0.07,-3.94,-85.81,92.25,-2.81,-1.37,-2.50,-0.08,-0.15,-0.09,145.62,57.19,316.94,-0.19,1.19,-0.88,4,3
1771521953.622788,272890,-0.01,-0.34,0.05,-2.94,-86.19,91.19,-26.94,-7.56,-10.69,-0.02,-0.03,-0.07,145.75,57.63,317.37,0.62,4.06,-1.25,3,2
1771521953.623341,273080,0.05,0.51,0.02,-0.81,-86.94,86.44,-33.81,2.69,-3.62,0.00,-0.10,0.00,145.19,57.63,316.94,2.37,-0.62,-1.31,2,1
1771521953.623836,273271,0.07,0.00,0.00,-0.44,-87.25,84.44,-1.31,0.62,2.44,0.00,-0.05,-0.01,145.25,57.63,316.69,0.62,0.88,-0.88,2,2
1771521953.638599,273462,0.17,0.13,-0.07,-0.69,-87.37,83.87,0.19,-0.69,-0.19,-0.02,-0.10,-0.01,145.19,57.75,316.81,0.25,-0.88,-0.88,2,1
1771521953.829491,273653,-0.10,0.10,0.00,-1.25,-86.00,84.56,13.44,-6.12,5.69,-0.01,-0.06,-0.10,145.69,57.56,316.69,0.56,-3.25,0.13,4,2
1771521954.019977,273843,-0.27,0.37,0.28,-3.75,-83.69,87.06,47.13,-11.81,15.00,-0.17,-0.11,0.02,146.19,57.25,316.87,-0.75,-0.75,-3.56,3,2
1771521954.210355,274033,-0.03,-0.52,0.01,-4.56,-83.25,92.00,-0.62,2.31,-5.81,0.02,0.00,-0.04,146.87,57.44,317.56,2.37,2.62,-3.94,3,1
1771521954.400001,274223,0.12,-1.02,-0.06,-2.94,-85.00,90.87,-52.94,13.06,-14.94,0.02,0.15,0.00,146.87,58.19,318.00,-0.31,2.94,0.69,3,2
1771521954.589737,274413,-0.10,0.88,-0.19,0.62,-88.56,82.50,-43.75,34.69,-21.25,0.09,-0.09,-0.08,145.44,57.13,315.25,3.81,-5.62,5.12,4,2
1771521954.782014,274605,0.15,0.02,-0.13,177.06,-86.94,81.81,3.69,-0.37,0.50,-0.12,-0.01,-0.08,144.06,56.38,312.44,6.00,-3.81,5.31,4,2
1771521954.972716,274796,-0.11,0.09,0.21,177.81,-87.75,81.19,-2.62,-6.62,1.31,-0.16,-0.13,-0.21,141.94,55.13,309.44,7.69,2.37,0.69,5,4
1771521955.163103,274987,-0.20,0.05,0.10,178.12,-88.12,79.44,-5.37,5.37,3.56,0.01,0.32,-0.26,136.87,54.94,301.81,35.13,7.44,-4.69,5,4
1771521955.353395,275176,0.57,0.15,-0.47,-179.25,-88.87,74.69,-16.25,13.81,6.25,-0.12,-0.56,-0.32,136.37,55.94,303.31,-7.50,-1.31,8.63,5,5
1771521955.543015,275366,-0.26,0.30,0.52,-177.50,-87.44,71.69,11.63,-16.94,15.06,0.16,-0.25,0.04,137.62,53.63,302.56,-7.19,-8.25,-4.94,6,6
1771521955.735601,275559,0.21,0.16,-0.06,-2.25,-87.69,72.56,-1.37,-6.44,-7.25,0.02,0.04,-0.12,139.37,53.88,303.50,-3.19,0.37,-1.19,5,6
1771521955.926065,275749,-0.21,0.16,0.02,-1.56,-87.81,73.06,-2.37,-3.87,-5.94,0.12,0.05,0.04,139.62,54.63,304.62,-1.44,0.62,-3.56,5,6
1771521956.116737,275940,0.44,-0.04,-0.36,0.25,-88.56,74.37,-13.81,-8.63,-20.62,0.11,0.24,-0.02,140.50,54.69,305.94,-5.94,2.50,1.94,5,7
1771521956.306044,276130,0.43,0.07,-0.17,1.87,-87.12,74.69,3.94,5.06,2.44,0.01,-0.01,-0.08,141.06,54.06,305.81,0.62,-5.25,1.19,6,8
1771521956.496032,276319,-0.11,0.16,0.19,0.19,-87.44,74.06,16.87,0.62,30.19,0.02,-0.07,-0.13,141.56,53.69,305.37,0.31,-5.25,0.13,7,9
1771521956.688524,276512,-0.05,0.25,0.12,-5.19,-84.31,71.19,-2.50,0.25,8.00,0.04,0.01,-0.07,142.19,53.25,305.75,0.13,-0.31,1.94,6,9
1771521956.879462,276703,0.02,0.10,0.05,-3.56,-85.69,71.19,-10.56,-3.94,-18.12,0.12,0.07,-0.03,141.69,53.00,305.31,-2.87,-1.62,6.12,5,7
1771521957.070106,276893,0.22,-0.27,-0.08,-1.87,-87.19,72.50,3.19,0.56,-2.00,0.06,-0.03,-0.12,141.31,52.31,304.37,1.19,-1.06,-0.25,6,7
1771521957.259941,277083,0.18,0.20,-0.08,-1.19,-87.37,71.81,-8.44,-0.25,-1.00,0.03,-0.16,-0.17,141.31,52.25,304.87,-6.00,2.81,4.19,6,6
1771521957.449516,277273,-0.05,0.07,0.13,-1.31,-86.69,71.44,1.37,1.12,-3.69,-0.01,-0.05,-0.06,141.25,52.50,305.81,1.25,0.50,0.50,5,5
1771521957.642121,277465,-0.69,0.68,0.56,-0.25,-87.44,72.25,-2.94,6.06,-7.94,0.08,-0.05,0.17,141.62,53.56,307.25,-9.56,18.81,-10.06,5,5
1771521957.832798,277656,0.72,-0.47,-0.45,177.44,-87.19,76.87,11.94,6.50,-5.06,-0.04,-0.08,-0.12,141.75,56.44,311.50,-4.37,5.69,-0.56,7,7
1771521958.023573,277847,-0.62,0.34,0.58,2.12,-87.81,76.87,-5.50,-5.94,-0.06,-0.05,-0.11,-0.08,141.87,57.25,313.50,-6.44,2.31,-0.94,7,6
1771521958.213102,278036,0.15,-0.14,-0.10,1.37,-88.25,76.69,1.62,-21.31,9.25,-0.03,-0.04,0.15,141.81,57.19,314.06,-0.56,-1.06,4.25,6,5
1771521958.402863,278226,-0.48,0.08,0.28,-0.13,-85.50,75.06,1.25,-2.75,3.69,-0.01,-0.11,0.08,141.69,57.06,313.87,-0.81,-1.94,-0.13,5,4
1771521958.595793,278419,0.17,0.04,-0.05,-0.44,-85.69,74.37,-3.69,-0.81,0.56,-0.01,-0.08,-0.03,141.87,56.75,313.50,1.25,-3.31,-0.19,6,4
1771521958.786052,278609,-0.18,0.11,0.16,-0.69,-85.37,73.50,-3.44,4.87,0.75,0.00,-0.01,-0.06,142.37,56.25,312.62,2.56,-5.37,-1.81,6,4
1771521958.976314,278800,0.16,0.23,-0.06,-1.12,-85.69,72.75,2.25,-12.88,6.31,0.05,0.00,0.00,142.69,56.19,312.19,2.56,-2.19,-0.19,4,4
1771521959.166009,278989,0.17,0.12,-0.05,-1.44,-85.25,73.00,1.31,5.62,-3.56,0.04,-0.18,-0.16,142.50,55.88,311.56,-1.37,0.50,0.56,4,4
