host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772652773.894876,1239809,-0.03,0.00,0.00,177.31,-78.75,353.31,-0.13,-2.44,-0.62,0.04,-0.09,-0.11,-8.19,-63.56,323.56,0.31,0.13,-0.13,1,2
1772652773.896460,1239850,0.00,-0.02,0.01,177.25,-78.87,353.31,-0.19,-1.06,0.19,0.06,-0.08,-0.04,-8.19,-63.56,323.56,0.06,-0.31,0.13,1,2
1772652773.898583,1239890,-0.02,0.01,0.03,177.25,-78.87,353.31,-0.69,-0.31,0.56,0.04,-0.09,-0.01,-8.19,-63.56,323.56,0.19,0.31,0.19,1,2
1772652773.899902,1239930,-0.01,0.07,0.00,177.31,-78.87,353.25,-1.62,-1.06,0.00,0.04,-0.04,-0.06,-8.19,-63.56,323.56,-0.06,0.37,0.00,1,2
1772652773.901109,1239970,-0.02,0.17,-0.03,177.37,-78.94,353.19,-0.81,-2.94,-0.37,0.02,-0.05,-0.13,-8.19,-63.56,323.56,0.06,0.50,0.25,2,3
1772652773.902213,1240010,-0.04,0.00,0.01,177.25,-79.06,353.19,1.00,-1.81,-0.44,0.03,-0.06,-0.01,-8.19,-63.56,323.56,-0.25,-0.37,-0.06,2,3
1772652773.903250,1240050,-0.07,-0.03,-0.02,177.19,-79.12,353.25,0.88,-1.37,0.75,0.04,-0.07,-0.04,-8.19,-63.56,323.56,0.13,0.31,-0.25,1,3
1772652773.904185,1240090,0.00,0.00,0.00,177.37,-79.12,353.19,-0.50,-0.31,1.00,0.02,-0.08,-0.12,-8.19,-63.56,323.56,0.06,0.00,0.06,2,2
1772652773.904977,1240130,0.03,0.09,0.00,177.56,-79.12,353.12,-1.81,-0.31,0.44,0.01,-0.06,-0.06,-8.19,-63.56,323.56,-0.19,-0.44,0.31,1,3
1772652773.905759,1240171,-0.01,0.09,0.00,177.62,-79.19,353.06,-1.19,-0.37,-0.44,0.04,0.00,0.00,-8.19,-63.56,323.56,-0.44,-0.88,0.44,1,1
1772652773.906545,1240211,-0.05,0.12,0.00,177.56,-79.19,353.06,0.25,-0.50,-1.25,0.02,-0.02,-0.01,-8.19,-63.56,323.56,-0.50,-0.62,0.37,1,1
1772652773.907332,1240251,0.00,0.01,0.00,177.25,-79.19,353.12,1.62,0.06,-0.94,0.03,-0.07,-0.07,-8.19,-63.50,323.56,0.25,-0.13,-0.19,2,1
1772652773.908110,1240291,0.00,0.01,0.04,177.12,-79.19,353.19,1.25,-0.69,-0.62,0.05,-0.07,-0.08,-8.19,-63.50,323.56,-0.13,-0.44,0.13,2,1
1772652773.908903,1240331,0.00,-0.02,0.00,177.00,-79.19,353.25,0.88,-1.69,-0.81,0.05,-0.06,-0.08,-8.19,-63.50,323.56,-0.19,-0.75,0.25,2,1
1772652773.909706,1240372,-0.01,0.01,0.01,176.75,-79.31,353.31,0.00,-1.62,-0.94,0.04,-0.07,-0.06,-8.19,-63.50,323.56,-0.56,-0.31,0.06,1,2
1772652773.910513,1240412,-0.06,0.02,0.00,176.56,-79.31,353.37,-0.13,-1.31,-0.56,0.05,-0.07,-0.03,-8.19,-63.50,323.56,-0.31,-0.13,0.13,2,2
1772652773.911296,1240452,-0.04,0.00,0.00,176.56,-79.37,353.37,0.25,-0.94,0.13,0.05,-0.07,-0.07,-8.19,-63.50,323.56,-0.50,-0.25,-0.06,2,2
1772652773.912081,1240492,-0.03,0.00,-0.02,176.56,-79.44,353.37,-0.19,-1.00,0.44,0.05,-0.03,-0.03,-8.19,-63.50,323.56,0.00,-0.31,-0.13,2,2
1772652773.912898,1240532,-0.01,0.05,0.00,176.56,-79.44,353.37,-0.31,-0.44,0.13,0.08,-0.09,-0.05,-8.19,-63.50,323.56,-0.06,0.44,-0.19,2,3
1772652773.913712,1240572,-0.01,0.04,0.00,176.56,-79.44,353.37,-0.37,-0.56,0.25,0.04,-0.06,0.00,-8.19,-63.50,323.56,-0.31,0.37,-0.13,2,3
1772652773.914362,1240613,-0.05,0.11,-0.01,176.56,-79.50,353.37,0.00,-0.94,-0.19,0.02,-0.07,-0.11,-8.19,-63.56,323.56,-0.25,0.75,-0.06,2,3
