host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772819606.680985,2444147,0.00,0.12,-0.08,-173.56,-83.56,15.88,-2.87,2.00,-0.56,-0.01,-0.01,0.09,49.94,-76.31,24.06,-0.44,-0.13,0.44,10,1
1772819606.681875,2444187,0.07,0.04,-0.08,-173.56,-83.50,15.81,-0.25,2.31,-0.06,0.00,-0.02,0.09,49.94,-76.31,24.00,-0.44,0.00,-0.06,10,1
1772819606.682260,2444227,-0.01,0.00,-0.04,-173.56,-83.50,15.81,0.81,0.19,0.13,0.02,-0.05,0.08,49.94,-76.31,24.00,-0.31,-0.31,-0.19,10,1
1772819606.682529,2444267,-0.07,-0.07,-0.01,-173.56,-83.50,15.81,-0.13,-0.25,-0.06,-0.03,-0.03,0.12,49.94,-76.25,24.00,-0.81,-0.25,0.06,11,1
1772819606.682761,2444307,-0.11,0.00,-0.02,-173.56,-83.50,15.81,-1.69,0.25,-0.44,0.01,-0.09,0.14,49.94,-76.25,24.00,-0.69,0.00,0.37,10,2
1772819606.682997,2444347,-0.06,0.00,-0.01,-173.56,-83.50,15.69,-1.81,1.94,-0.13,-0.02,-0.04,0.11,50.06,-76.31,23.94,-1.56,1.00,0.50,10,2
1772819606.683224,2444386,0.00,0.03,-0.06,-173.56,-83.50,15.63,-1.31,2.19,0.13,-0.05,-0.09,0.16,50.25,-76.31,23.94,-1.50,1.06,0.19,10,2
1772819606.683448,2444427,-0.04,0.00,-0.09,-173.56,-83.50,15.63,-0.62,2.87,0.13,0.01,-0.11,0.12,50.50,-76.37,23.87,-2.56,1.37,-0.25,9,3
1772819606.683676,2444468,-0.01,0.03,-0.10,-173.56,-83.50,15.56,-0.69,3.62,0.94,0.00,-0.05,0.14,50.75,-76.37,23.81,-2.25,1.75,-0.62,8,3
1772819606.683896,2444508,-0.03,0.05,-0.10,-173.50,-83.44,15.50,-0.69,3.44,1.00,0.03,-0.10,0.16,51.13,-76.44,23.75,-0.44,2.50,0.37,8,3
1772819606.684116,2444548,0.05,0.04,-0.07,-173.44,-83.37,15.44,-0.19,3.37,0.56,0.06,0.04,0.06,51.31,-76.50,23.75,-0.44,2.62,0.75,8,3
1772819606.684338,2444587,0.01,0.08,-0.11,-173.44,-83.37,15.44,-0.44,1.19,-0.13,-0.05,-0.02,0.08,51.56,-76.56,23.75,0.62,1.81,1.25,8,3
1772819606.684563,2444628,0.10,0.02,-0.11,-173.50,-83.37,15.44,0.50,-0.06,-2.19,0.11,0.03,-0.05,51.63,-76.62,23.75,-0.94,1.75,0.25,8,2
1772819606.685039,2444668,0.06,-0.06,-0.01,-173.56,-83.50,15.56,1.19,-2.44,-2.06,0.01,0.03,0.06,51.75,-76.62,23.75,-0.25,0.25,0.00,6,2
1772819606.685341,2444708,0.00,-0.05,0.00,-173.62,-83.56,15.69,1.12,-3.37,-1.50,0.00,-0.02,0.11,51.81,-76.62,23.75,0.25,0.44,0.25,6,2
1772819606.685558,2444749,-0.11,-0.05,0.00,-173.75,-83.69,15.81,0.56,-3.44,-1.56,0.00,0.00,0.20,51.81,-76.62,23.75,0.06,0.31,0.44,5,2
1772819606.685800,2444789,-0.13,-0.05,0.00,-173.81,-83.75,15.94,0.56,-2.87,-1.94,-0.05,0.01,0.22,51.81,-76.62,23.75,-0.19,-0.19,-0.06,4,1
1772819606.686097,2444829,-0.14,-0.07,-0.05,-173.87,-83.81,16.00,0.19,0.06,-1.87,-0.01,-0.02,0.18,51.81,-76.62,23.75,-0.88,0.13,-0.19,5,1
1772819606.686528,2444869,-0.11,-0.10,0.03,-173.94,-83.87,16.06,0.00,1.50,-0.94,0.00,-0.06,0.19,51.88,-76.62,23.75,0.56,-0.31,-0.88,4,1
1772819606.686991,2444909,0.00,-0.08,-0.03,-173.94,-83.87,16.06,-0.44,2.12,0.75,0.00,-0.06,0.05,52.00,-76.56,23.75,0.31,0.06,-1.12,4,1
1772819606.687306,2444949,0.01,-0.02,-0.06,-173.87,-83.81,15.94,-1.62,2.00,2.25,0.00,-0.11,0.13,52.06,-76.56,23.81,0.44,-0.31,-1.19,4,1
1772819606.687535,2444990,0.05,-0.01,-0.07,-173.81,-83.69,15.81,-2.44,1.31,3.25,0.02,-0.03,0.00,52.19,-76.50,23.87,0.13,0.37,-0.44,4,1
1772819606.687896,2445030,0.09,0.07,-0.10,-173.62,-83.56,15.50,-2.87,-1.19,3.25,0.00,-0.04,0.10,52.13,-76.50,23.87,0.88,-0.69,-0.50,3,1
