host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772818039.376390,876776,-0.23,0.08,-0.07,-176.00,-84.62,8.38,0.00,3.31,-0.88,0.00,-0.05,0.13,40.31,-71.37,4.25,-0.06,1.19,-0.19,6,2
1772818039.377756,876817,-0.19,0.06,-0.07,-176.00,-84.56,8.38,0.50,1.81,0.00,0.03,-0.09,0.10,40.38,-71.37,4.25,0.13,0.50,-0.25,7,2
1772818039.378680,876857,-0.26,0.06,-0.12,-176.00,-84.56,8.38,0.31,0.62,0.69,0.01,-0.04,0.09,40.38,-71.37,4.25,0.00,0.62,-0.13,9,2
1772818039.379414,876897,-0.26,0.07,-0.10,-175.94,-84.50,8.31,-0.06,0.50,0.88,0.01,-0.09,0.15,40.44,-71.31,4.31,0.37,0.69,0.25,10,2
1772818039.380128,876937,-0.27,0.09,-0.11,-175.94,-84.44,8.25,-1.00,0.75,0.69,-0.03,-0.03,0.20,40.50,-71.37,4.31,-0.62,1.06,0.25,11,2
1772818039.380869,876978,-0.32,0.09,-0.10,-175.94,-84.44,8.25,-0.69,0.25,-0.75,0.03,-0.03,0.09,40.50,-71.37,4.25,-1.81,1.00,0.37,12,2
1772818039.382447,877018,-0.21,0.05,-0.07,-175.94,-84.44,8.25,-0.94,1.62,-0.75,0.01,-0.05,0.11,40.56,-71.37,4.25,-0.75,0.44,-0.19,13,2
1772818039.384042,877058,-0.27,0.09,-0.10,-175.94,-84.44,8.19,-0.50,1.06,0.56,0.02,-0.07,0.09,40.63,-71.37,4.25,0.19,0.56,-0.37,13,2
1772818039.384380,877098,-0.27,0.09,-0.08,-175.94,-84.37,8.19,-0.31,1.00,1.37,0.00,-0.09,0.09,40.63,-71.37,4.25,0.25,0.37,-0.56,13,2
1772818039.384703,877138,-0.30,0.12,-0.09,-175.87,-84.31,8.13,-1.31,1.37,1.69,0.00,-0.08,0.15,40.63,-71.31,4.25,0.94,0.13,-0.62,13,1
1772818039.384990,877178,-0.28,0.19,-0.11,-175.81,-84.19,8.00,-0.69,1.56,1.62,0.04,-0.16,0.18,40.63,-71.31,4.31,0.44,0.13,-0.56,12,2
1772818039.385202,877218,-0.23,0.12,-0.14,-175.75,-84.12,7.94,0.00,2.12,0.69,0.00,-0.06,0.08,40.63,-71.25,4.31,-0.56,1.06,0.69,12,2
1772818039.385929,877259,-0.22,0.11,-0.14,-175.75,-84.12,7.87,0.19,-1.44,-0.06,0.00,-0.06,0.13,40.63,-71.25,4.31,-0.81,0.50,0.56,12,2
1772818039.386773,877299,-0.22,0.10,-0.16,-175.75,-84.12,7.87,-2.19,1.06,-1.06,0.00,0.00,0.18,40.63,-71.31,4.25,-0.37,0.88,1.06,12,2
1772818039.387319,877338,-0.21,0.16,-0.12,-175.81,-84.12,7.87,-1.31,0.81,-1.62,0.00,-0.01,0.15,40.63,-71.31,4.25,-0.56,1.00,0.88,12,2
1772818039.387819,877379,-0.28,0.10,-0.12,-175.87,-84.12,7.87,1.06,-0.13,-1.19,0.00,-0.05,0.14,40.63,-71.37,4.25,0.13,0.37,0.19,12,2
1772818039.388290,877419,-0.23,0.06,-0.11,-175.87,-84.19,8.00,1.62,-0.37,-0.06,0.01,-0.07,0.12,40.63,-71.37,4.25,0.69,0.31,-0.25,13,3
