host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772818575.072878,1412489,-0.12,0.06,-0.14,-72.19,-83.00,9.63,-0.19,0.94,0.69,-0.10,0.06,-0.03,48.50,-70.62,3.62,-0.62,-0.19,-0.44,5,1
1772818575.073131,1412531,-0.09,0.05,-0.16,-72.50,-82.94,9.56,-0.62,0.75,0.88,-0.08,0.08,-0.01,48.50,-70.62,3.62,-0.31,0.06,-0.31,4,1
1772818575.073371,1412572,-0.08,0.09,-0.17,-72.62,-82.94,9.50,-0.94,0.44,0.62,-0.10,0.11,-0.01,48.50,-70.62,3.62,-0.19,0.06,-0.31,5,1
1772818575.073608,1412614,-0.09,0.13,-0.17,-72.62,-82.94,9.50,-0.50,0.44,0.37,-0.08,0.06,0.00,48.50,-70.62,3.62,-0.13,-0.31,-0.37,4,1
1772818575.073837,1412656,-0.13,0.11,-0.17,-72.62,-82.94,9.50,0.13,0.50,0.31,-0.12,0.08,0.05,48.50,-70.62,3.62,-0.06,0.25,0.00,4,1
1772818575.074072,1412697,-0.10,0.11,-0.18,-73.00,-82.94,9.50,-0.25,1.19,-0.50,-0.09,0.08,-0.04,48.50,-70.62,3.62,0.37,0.31,0.44,5,1
1772818575.074310,1412738,-0.11,0.13,-0.18,-73.19,-82.94,9.50,-0.19,0.69,-0.62,-0.09,0.15,0.00,48.50,-70.62,3.62,0.75,0.00,0.37,6,1
1772818575.074534,1412777,-0.12,0.16,-0.16,-73.69,-83.00,9.50,1.56,0.00,-2.19,-0.10,0.12,-0.02,48.44,-70.69,3.62,-0.50,0.31,0.13,6,1
1772818575.074770,1412817,-0.09,-0.01,-0.14,-73.81,-83.06,9.69,1.87,-0.19,-1.00,-0.05,0.10,-0.07,48.44,-70.69,3.62,0.56,-0.25,-0.44,7,1
1772818575.075002,1412858,-0.12,-0.01,-0.11,-73.94,-83.06,9.75,0.94,0.94,-0.62,-0.07,0.08,0.00,48.44,-70.69,3.62,0.56,-0.13,0.25,8,1
1772818575.075241,1412899,-0.07,-0.03,-0.15,-74.37,-83.12,9.75,-0.81,0.62,-0.31,-0.10,0.15,-0.04,48.44,-70.69,3.62,0.13,-0.31,0.13,8,1
1772818575.075476,1412940,-0.22,0.04,-0.12,-6.56,-83.12,9.75,-0.62,0.44,-1.06,-0.07,0.13,0.06,48.38,-70.62,3.62,-0.44,-0.75,-0.06,8,1
1772818575.075710,1412981,-0.16,0.05,-0.16,-6.50,-83.19,9.81,-0.50,2.37,-1.37,-0.08,0.20,0.03,48.31,-70.62,3.56,-0.94,-0.06,0.25,8,1
1772818575.075944,1413022,-0.05,-0.02,-0.18,-6.44,-83.31,9.81,0.50,1.50,-1.19,-0.09,0.17,-0.05,48.31,-70.62,3.56,-0.44,0.06,-0.13,9,1
1772818575.076176,1413060,0.00,0.01,-0.15,-6.44,-83.31,9.88,0.88,-0.25,0.06,-0.07,0.09,-0.09,48.31,-70.69,3.56,0.44,-0.81,-0.94,10,1
