host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772400932.47705,10688795,0.33,0.02,0.03,-157.56,-75.44,253.69,-0.56,1.5,0.81,0.0,0.06,0.05,-39.5,-78.37,176.25,0.06,-1.37,0.56,1,1
1772400932.477322,10688836,-0.02,-0.06,0.03,-157.44,-75.44,253.69,-0.06,-3.25,-0.75,-0.03,0.1,-0.05,-39.5,-78.37,176.25,-0.19,-0.75,0.13,1,1
1772400932.477604,10688876,0.07,-0.06,0.04,-157.44,-75.56,253.75,-1.81,-2.69,-0.81,0.14,-0.05,-0.29,-39.56,-78.37,176.25,0.31,0.31,-0.31,1,1
1772400932.477857,10688916,0.14,-0.03,0.1,-157.25,-75.62,253.69,-0.88,0.0,-0.44,0.05,0.03,-0.17,-39.63,-78.37,176.25,1.0,-0.5,0.0,1,0
1772400932.478102,10688956,0.27,-0.06,0.07,-157.25,-75.62,253.62,0.06,-0.13,0.44,0.05,0.0,-0.19,-39.75,-78.44,176.31,2.12,-0.37,0.13,1,1
1772400932.478368,10688997,0.09,-0.01,0.12,-157.06,-75.69,253.62,3.12,-1.5,2.06,0.03,0.05,-0.2,-39.94,-78.44,176.37,2.69,-0.69,-0.06,1,1
1772400932.478642,10689037,0.07,-0.02,0.08,-156.87,-75.69,253.75,4.94,-1.56,1.44,0.01,0.1,-0.11,-40.06,-78.44,176.5,3.62,-1.0,0.0,2,1
1772400932.478911,10689077,0.06,-0.07,0.08,-156.81,-75.75,254.0,5.62,-0.88,0.56,0.0,0.09,-0.08,-40.19,-78.37,176.62,4.0,-1.5,-0.06,2,1
1772400932.479167,10689116,0.05,-0.11,0.06,-157.06,-75.75,254.25,5.37,0.81,-0.06,0.01,0.04,-0.1,-40.19,-78.37,176.75,4.06,-1.0,-0.62,2,1
1772400932.479437,10689156,0.18,-0.13,0.04,-157.31,-75.69,254.5,4.37,1.87,0.44,0.08,-0.05,0.06,-40.06,-78.37,176.87,3.56,-1.19,-1.37,2,1
1772400932.479698,10689197,0.12,-0.17,-0.03,-157.25,-75.62,254.56,1.87,2.06,3.56,0.05,-0.28,-0.03,-39.63,-78.37,177.12,2.44,0.88,-3.12,2,2
1772400932.479964,10689238,0.25,-0.11,-0.08,-156.75,-75.44,254.44,-1.12,0.69,6.25,-0.03,-0.28,0.05,-39.13,-78.56,177.31,-0.56,0.31,-2.37,3,2
1772400932.480205,10689278,0.09,-0.06,0.06,-155.75,-75.37,254.06,-2.75,0.25,9.19,0.0,-0.21,0.06,-38.63,-78.56,177.37,-1.37,-0.5,-1.0,3,3
1772400932.48045,10689317,-0.02,-0.06,0.11,-154.25,-75.19,253.44,-4.62,1.0,11.25,-0.01,-0.16,0.22,-38.31,-78.62,177.31,-2.19,0.31,-0.06,3,3
1772400932.480687,10689356,-0.04,-0.07,0.11,-152.56,-74.87,252.62,-8.0,4.0,12.5,0.0,-0.14,0.08,-38.0,-78.56,177.25,-4.87,1.0,-0.5,4,3
1772400932.480929,10689398,0.12,0.02,0.07,-151.0,-74.37,251.62,-12.56,8.0,12.06,-0.04,-0.11,-0.05,-37.81,-78.62,177.06,-5.19,1.56,-0.19,4,4
1772400932.48117,10689438,0.23,0.05,0.04,-149.62,-73.94,250.44,-15.0,7.12,10.44,0.06,-0.06,-0.3,-37.94,-78.69,176.87,-4.5,1.69,0.88,3,4
1772400932.481404,10689479,0.32,0.22,0.1,-148.37,-73.5,249.31,-15.13,4.94,6.75,0.04,0.05,-0.32,-38.31,-78.75,176.75,-1.94,1.37,1.31,4,4
1772400932.481688,10689518,0.38,0.32,0.16,-147.37,-73.25,248.31,-12.44,2.0,3.06,0.09,0.13,-0.35,-39.06,-78.81,176.62,0.56,0.81,1.62,4,5
1772400932.481936,10689557,0.25,0.36,0.15,-146.5,-73.19,247.56,-8.56,-1.0,0.0,0.05,0.18,-0.27,-39.69,-78.81,176.62,1.81,0.19,1.75,4,5
1772400932.482228,10689599,0.04,0.25,0.13,-146.19,-73.25,247.37,-0.13,-2.44,-5.06,0.02,0.14,-0.16,-40.5,-78.81,176.56,1.31,-0.81,1.19,5,5
1772400932.48251,10689639,-0.11,0.04,0.07,-146.69,-73.44,247.69,4.94,-0.37,-6.44,0.0,0.17,-0.09,-40.81,-78.75,176.56,1.37,-0.81,0.62,5,6
1772400932.482753,10689680,-0.08,-0.06,0.08,-147.69,-73.56,248.25,8.31,2.69,-5.94,0.01,0.09,-0.03,-40.94,-78.75,176.56,1.75,-0.62,-0.13,5,6
1772400932.482986,10689719,0.04,-0.13,0.06,-148.87,-73.56,248.87,9.38,3.69,-5.81,0.0,0.0,-0.04,-40.88,-78.75,176.62,1.12,-0.31,-0.81,5,6
