host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772400385.223138,10141551,0.14,0.10,0.05,178.50,-75.19,255.12,-3.19,1.81,-0.13,0.32,-0.04,0.22,-0.94,-72.31,131.06,-8.13,7.44,-1.00,2,2
1772400385.223409,10141591,0.06,0.22,0.12,178.56,-75.12,255.00,-1.50,1.62,0.31,0.01,-0.10,0.15,-0.69,-72.44,131.00,0.00,0.37,-0.44,3,2
1772400385.223678,10141630,0.10,0.11,0.09,178.81,-75.06,254.94,2.31,3.50,2.06,0.00,-0.09,0.22,-0.75,-72.44,131.00,-3.56,4.19,-0.69,3,2
1772400385.223916,10141671,0.14,0.04,0.04,179.19,-74.87,254.94,2.06,3.69,3.81,0.21,-0.08,0.00,-0.56,-72.56,130.94,3.19,1.12,0.69,3,2
1772400385.224170,10141711,0.13,0.04,0.00,179.75,-74.75,254.81,-0.37,3.19,2.56,0.04,0.00,0.02,-0.62,-72.69,130.94,1.12,0.50,0.56,3,0
1772400385.224444,10141751,0.16,0.15,-0.01,179.94,-74.62,254.75,-1.94,3.06,0.31,0.11,0.00,0.02,-0.75,-72.69,130.94,1.19,1.75,0.62,2,0
1772400385.224713,10141791,0.22,0.15,0.00,179.94,-74.56,254.62,-1.87,2.37,-1.75,-0.10,-0.01,0.09,-0.81,-72.75,131.00,-1.44,3.81,-0.19,2,0
1772400385.224983,10141830,0.21,0.18,-0.02,179.81,-74.44,254.62,-0.06,1.19,-2.25,0.08,-0.03,0.02,-0.88,-72.75,131.00,2.62,0.19,-0.06,2,0
1772400385.225242,10141872,0.16,0.01,0.00,179.56,-74.44,254.69,1.75,0.19,-2.25,0.03,0.04,0.08,-0.94,-72.75,131.06,0.50,0.06,0.00,2,0
1772400385.225482,10141912,0.12,0.04,0.05,179.25,-74.44,254.81,1.75,-1.06,-2.44,0.08,0.00,0.03,-0.88,-72.81,131.06,0.25,1.25,-0.88,2,1
1772400385.225728,10141952,0.16,0.01,0.00,178.81,-74.50,255.00,2.50,-2.12,-2.37,0.00,0.00,0.09,-0.81,-72.81,131.12,0.25,0.69,-1.25,2,1
1772400385.226025,10141992,0.09,-0.04,0.05,178.37,-74.62,255.25,3.50,-3.25,-2.06,0.00,0.05,0.11,-0.62,-72.87,131.19,-1.81,0.81,-1.37,2,1
1772400385.226318,10142031,0.02,-0.07,0.11,177.87,-74.75,255.56,3.25,-2.81,-2.50,0.06,0.07,0.18,-0.31,-72.87,131.19,-2.69,0.62,-1.56,1,1
1772400385.226590,10142072,0.10,-0.15,0.10,177.37,-74.81,255.81,2.12,-1.19,-1.62,-0.01,0.05,0.11,-0.06,-72.94,131.19,-0.19,0.13,-1.44,1,1
1772400385.226867,10142113,0.08,-0.16,0.04,177.06,-74.87,255.94,1.44,-0.50,0.37,0.04,-0.12,0.12,0.00,-72.87,131.25,-0.81,2.19,-1.44,2,2
1772400385.227141,10142153,0.06,-0.23,0.03,177.19,-74.87,255.94,-0.81,-0.19,3.56,0.01,-0.16,0.10,0.19,-72.94,131.31,0.75,-0.62,-1.00,2,2
