host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772399723.789444,9480094,2.6,0.32,0.12,-166.44,-69.5,249.62,26.56,58.81,20.5,-0.04,0.16,-0.21,-0.5,-71.37,99.5,0.5,1.31,1.31,4,4
1772399723.789786,9480134,1.03,-0.04,0.19,-166.19,-68.06,250.37,33.44,17.5,22.44,-0.06,0.13,-0.2,-0.69,-71.44,99.5,0.56,1.31,-0.88,4,4
1772399723.790072,9480173,0.71,-0.5,0.12,-166.19,-67.75,251.56,25.25,3.81,7.37,-0.01,0.1,-0.2,-0.62,-71.5,99.62,0.19,0.31,-2.62,4,4
1772399723.790456,9480214,0.62,-0.64,0.03,-166.81,-67.94,252.5,8.56,-10.56,-5.37,0.0,-0.12,-0.18,-0.31,-71.5,99.69,-1.94,0.94,-3.06,4,5
1772399723.790791,9480254,-0.59,-0.39,0.03,-167.56,-68.56,253.06,-3.44,-14.44,-13.56,0.01,-0.15,-0.2,0.06,-71.56,99.75,-4.44,-0.31,-1.19,4,5
1772399723.791135,9480295,-0.32,-0.1,0.07,-168.5,-68.87,253.19,-7.75,-3.75,-12.56,-0.08,-0.04,0.1,0.37,-71.56,99.62,-3.75,-1.25,-0.56,4,5
1772399723.791438,9480335,0.02,-0.02,0.11,-169.19,-69.0,253.19,-5.31,0.44,-7.87,0.01,-0.05,0.01,0.44,-71.5,99.56,-1.81,-0.56,0.31,4,5
1772399723.791709,9480374,-0.05,-0.02,0.04,-169.5,-69.06,253.19,-2.56,0.56,-2.37,-0.01,0.07,-0.1,0.5,-71.5,99.56,-1.44,0.44,-1.25,5,5
1772399723.791973,9480415,0.09,0.05,0.01,-169.5,-68.94,253.06,-0.94,3.06,0.5,-0.09,-0.03,-0.05,0.62,-71.5,99.62,-1.94,2.0,-2.69,5,5
1772399723.792238,9480455,0.19,0.01,0.0,-169.37,-68.81,252.94,0.94,2.56,1.75,-0.11,-0.18,0.0,1.06,-71.5,99.69,4.44,-4.25,-2.06,5,5
1772399723.792494,9480495,0.19,-0.08,-0.05,-169.25,-68.75,252.94,1.06,0.81,2.94,-0.03,-0.19,-0.04,1.37,-71.5,99.81,-0.31,0.75,-2.37,4,5
1772399723.792798,9480534,0.29,-0.11,-0.08,-168.94,-68.69,252.75,-1.56,0.81,3.62,-0.01,-0.24,-0.07,1.75,-71.5,99.87,-1.06,1.69,-1.56,5,4
1772399723.793075,9480575,0.29,0.08,-0.08,-168.44,-68.69,252.37,-5.0,-3.5,3.25,-0.01,-0.2,-0.26,2.12,-71.56,99.94,0.06,0.56,-0.69,5,4
1772399723.793329,9480615,0.07,0.11,0.06,-167.75,-68.75,251.94,-6.19,0.62,5.12,0.0,-0.17,-0.09,2.25,-71.62,100.0,0.81,-0.44,-0.19,4,4
1772399723.793581,9480656,0.51,0.25,0.05,-167.0,-68.69,251.37,-5.12,-2.37,5.31,-0.03,-0.1,-0.05,2.31,-71.62,100.06,1.75,-0.44,-0.19,4,4
1772399723.793835,9480697,0.25,0.28,0.0,-166.25,-68.87,251.0,-3.69,-8.0,2.87,-0.02,-0.06,-0.09,2.25,-71.62,100.12,1.19,-0.31,-0.25,4,4
1772399723.794094,9480738,0.04,0.14,0.07,-165.87,-69.19,250.81,-1.56,-6.69,-0.13,-0.02,0.0,0.11,2.31,-71.62,100.12,-1.19,-0.69,0.25,4,4
1772399723.794331,9480777,0.0,0.07,0.07,-165.87,-69.44,250.94,-0.13,-6.12,-3.31,-0.01,0.03,0.13,2.31,-71.62,100.06,-0.5,-0.13,0.62,4,4
