host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772048373.141585,5709751,0.2,-0.11,0.02,-143.19,-70.31,78.37,-0.31,1.06,-0.06,-0.09,0.03,-0.03,18.56,62.0,74.69,0.31,0.19,0.94,18,17
1772048373.142424,5709943,-0.07,0.02,0.07,-143.06,-70.37,78.12,-2.12,3.06,-0.56,-0.11,-0.07,-0.11,18.75,62.0,74.69,-3.44,1.19,-3.56,19,18
1772048373.142956,5710133,-0.06,-0.07,0.19,-143.37,-69.81,78.06,5.25,1.69,2.25,-0.09,0.03,0.02,18.25,61.75,75.69,-3.0,3.31,-0.19,17,17
1772048373.143732,5710324,0.17,-0.17,-0.16,-144.87,-68.75,77.69,-1.5,12.88,5.25,0.22,0.15,0.1,19.44,61.5,76.5,-15.75,-2.31,4.44,17,17
1772048373.144261,5710514,0.44,0.05,0.15,-140.69,-66.06,69.62,-43.06,-1.62,12.19,0.22,-0.2,0.16,23.19,60.88,77.5,-8.25,5.25,6.31,16,17
1772048373.145073,5710704,-0.02,0.21,0.18,-133.19,-65.75,60.5,-20.81,-0.25,-8.75,-0.23,-0.36,-0.09,24.81,59.75,77.62,3.06,5.31,0.37,16,17
1772048373.145979,5710896,0.2,-0.13,-0.01,-135.44,-67.19,60.44,2.81,-0.25,-9.19,-0.16,0.02,0.13,24.12,59.38,77.62,3.25,-0.75,-0.75,17,17
1772048373.146949,5711087,-0.2,0.13,0.29,-139.0,-69.81,62.13,-13.5,-2.62,-21.81,0.12,0.11,0.06,22.94,59.63,77.62,-0.37,-4.62,-2.75,16,17
1772048373.147653,5711278,-0.04,-0.03,0.26,-138.0,-70.69,61.63,9.69,-2.62,2.75,-0.09,0.03,-0.18,22.94,59.88,77.75,-1.56,-1.0,-0.44,18,17
1772048373.148372,5711469,0.01,-0.17,0.13,-140.19,-70.69,63.63,13.81,4.06,-2.19,0.0,0.06,-0.01,23.06,59.81,77.87,-0.25,1.81,-0.13,18,17
