host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772047792.47159,5129106,0.18,0.05,0.12,-155.69,-70.31,42.44,-1.94,0.62,0.13,-0.12,0.03,-0.04,13.06,60.88,78.94,-0.37,-0.25,1.62,5,1
1772047792.472473,5129298,0.19,0.07,0.05,-156.25,-70.0,42.13,0.88,4.75,-3.31,0.03,0.03,0.01,13.5,60.94,78.44,2.44,-2.75,0.88,5,1
1772047792.473239,5129489,0.07,0.05,0.11,-157.37,-69.94,42.44,-1.87,-2.62,-2.31,-0.05,-0.12,0.0,14.0,61.19,77.87,3.25,-1.5,2.06,5,1
1772047792.473963,5129680,0.25,0.0,0.07,-158.81,-70.06,43.0,1.94,2.06,1.81,-0.06,0.15,-0.1,13.56,61.44,78.0,-0.94,1.31,-2.31,6,2
1772047792.474519,5129870,-0.02,0.18,0.17,-157.37,-70.0,42.44,-3.37,-1.06,1.81,-0.09,0.02,0.01,13.06,61.13,78.25,-1.06,-0.56,-0.81,6,1
1772047792.475439,5130061,0.17,0.01,0.07,-157.25,-69.81,42.25,2.5,-0.56,-1.56,-0.06,0.03,-0.01,13.19,61.13,78.44,-0.06,0.25,-0.5,6,1
1772047792.476064,5130252,0.05,0.0,0.11,-157.44,-70.0,42.69,0.0,-0.13,1.25,-0.06,0.02,0.06,12.94,60.94,78.56,-0.13,1.31,-0.44,7,1
1772047792.476561,5130443,0.22,-0.12,0.05,-157.69,-69.75,42.63,1.06,1.75,0.13,-0.07,0.04,0.01,12.81,60.88,78.56,0.25,0.5,0.13,6,1
1772047792.477069,5130633,0.19,0.02,0.03,-157.75,-69.62,42.5,0.81,0.31,0.13,-0.12,0.06,-0.01,12.75,60.81,78.56,-0.5,0.56,-0.44,6,1
1772047792.47758,5130824,0.15,0.04,0.09,-157.44,-69.69,42.44,-0.69,-1.25,0.25,-0.06,0.02,-0.01,12.69,60.75,78.56,-0.06,0.44,0.5,7,1
1772047792.478212,5131014,0.11,0.0,0.1,-157.25,-69.94,42.5,-0.06,0.06,-0.19,0.01,0.0,0.08,12.69,60.75,78.56,0.31,-0.19,-0.5,6,2
1772047792.629009,5131206,0.1,0.02,0.11,-157.19,-69.94,42.5,-0.44,0.62,0.75,-0.09,0.02,0.03,12.75,60.81,78.62,-0.19,0.31,0.37,6,1
1772047792.819927,5131397,0.24,-0.03,0.04,-157.37,-69.75,42.44,-0.13,0.62,0.06,-0.1,0.08,-0.03,12.75,60.81,78.62,-0.31,-0.75,-0.31,7,1
1772047793.010075,5131587,0.1,0.05,0.12,-157.37,-69.75,42.5,1.69,1.56,0.88,-0.09,0.05,0.0,12.75,60.88,78.62,0.44,1.06,0.81,7,1
1772047793.201264,5131778,0.14,0.07,0.06,-158.19,-68.94,45.25,26.5,1.69,7.37,-0.07,0.13,-0.07,12.63,61.0,78.69,-0.69,1.44,-0.44,7,2
1772047793.392003,5131969,0.36,-0.26,-0.01,-159.94,-68.44,50.81,23.94,3.0,6.44,-0.04,0.0,0.08,12.75,60.88,78.69,-1.12,1.0,0.94,8,2
1772047793.583185,5132160,0.22,-0.34,0.0,-162.69,-68.19,55.0,10.19,-0.31,-0.94,-0.06,0.02,-0.02,12.88,60.88,78.69,-0.62,-0.69,-0.13,8,3
1772047793.773726,5132350,0.05,-0.12,0.0,-164.31,-68.5,56.56,2.0,-0.81,-0.81,-0.11,-0.1,0.08,13.06,60.81,78.62,1.5,1.0,1.0,8,3
1772047793.964185,5132541,0.28,-0.04,0.02,-165.44,-68.31,56.88,-4.31,0.44,1.56,-0.05,0.0,0.06,13.0,60.88,78.62,0.62,1.19,0.94,8,3
1772047794.155417,5132732,0.14,-0.13,-0.01,-164.81,-68.25,56.13,-1.69,3.19,-1.81,0.0,0.02,-0.03,13.06,60.75,78.5,-0.25,-0.31,0.06,7,3
1772047794.346008,5132923,0.11,0.02,0.07,-164.81,-67.94,55.13,-3.37,1.06,-0.88,-0.06,-0.04,0.0,13.13,60.69,78.37,0.37,0.44,-0.19,7,3
1772047794.536816,5133114,0.25,-0.02,-0.01,-165.0,-67.5,54.94,1.06,2.75,-1.81,-0.04,0.03,-0.01,13.13,60.69,78.37,0.88,0.06,0.37,7,3
1772047794.7278,5133304,0.18,-0.08,-0.02,-165.19,-67.31,54.81,-1.62,0.19,-0.37,-0.09,0.0,-0.02,13.31,60.75,78.37,-0.5,-1.25,-0.37,7,3
1772047794.918629,5133495,0.08,0.0,0.08,-165.69,-67.12,53.88,-8.44,3.25,-5.12,-0.04,0.01,-0.01,13.31,60.75,78.37,-0.5,-0.62,-0.88,7,3
1772047795.107812,5133685,0.17,-0.08,0.04,-165.56,-66.69,53.13,-0.56,1.06,0.13,-0.04,-0.09,0.08,13.25,60.81,78.44,1.12,-1.94,0.56,7,2
1772047795.2975,5133875,0.3,0.07,0.04,-166.25,-66.5,53.06,-2.06,-1.44,1.19,-0.08,0.0,0.11,13.13,60.88,78.5,1.44,1.56,0.75,6,2
1772047795.490087,5134067,0.23,0.0,0.04,-165.87,-66.81,52.75,-2.06,0.37,-1.87,-0.11,0.01,0.04,13.25,60.81,78.44,1.0,0.56,1.69,5,1
1772047795.68098,5134258,0.16,-0.09,0.06,-166.31,-67.0,53.13,1.44,-2.44,1.87,-0.07,0.08,0.03,13.31,60.75,78.37,0.19,0.56,0.81,5,1
1772047795.872021,5134449,0.19,-0.07,0.06,-165.87,-67.25,52.94,0.69,-0.19,1.25,-0.09,0.06,0.03,13.25,60.69,78.31,-0.5,0.0,-0.5,6,1
1772047796.0628,5134640,0.13,-0.02,0.07,-165.44,-67.44,52.69,-0.31,0.37,-0.19,-0.09,0.04,0.01,13.25,60.75,78.31,-0.25,0.0,0.19,5,1
1772047796.253728,5134830,0.19,0.0,0.05,-165.5,-67.37,52.75,0.25,0.37,-0.94,-0.09,0.05,-0.07,13.38,60.81,78.37,-0.13,-0.5,-0.62,5,1
1772047796.444694,5135021,0.08,-0.06,0.06,-165.5,-67.56,52.88,0.06,0.31,-0.37,-0.09,0.01,-0.03,13.31,60.88,78.44,-0.25,-0.5,-0.37,5,2
1772047796.635155,5135212,0.12,-0.05,0.03,-165.25,-67.62,52.63,-2.31,-0.56,-0.56,-0.1,0.1,0.02,13.25,60.88,78.44,0.5,0.37,-0.44,5,2
1772047796.825698,5135403,0.15,0.09,0.07,-165.37,-67.75,51.75,-3.94,0.5,-2.81,-0.1,0.07,-0.02,13.38,60.81,78.37,-0.44,0.25,0.19,4,2
1772047797.016569,5135593,0.08,0.0,0.06,-165.75,-67.81,51.75,-1.06,0.25,-0.06,-0.04,-0.01,0.01,13.44,60.69,78.31,0.06,-0.81,-0.56,4,2
1772047797.206976,5135784,0.08,-0.04,0.03,-165.94,-67.69,52.0,-0.19,0.69,0.5,-0.07,0.02,0.02,13.38,60.63,78.31,0.37,0.19,0.25,3,2
1772047797.398132,5135975,0.2,-0.07,0.06,-166.06,-67.5,51.88,-0.06,1.06,-0.69,-0.08,0.04,0.02,13.38,60.56,78.31,0.37,0.25,-0.06,6,2
1772047797.588954,5136166,0.2,-0.04,0.02,-166.44,-67.44,51.69,-1.87,0.25,-1.31,-0.02,-0.01,0.12,13.38,60.56,78.25,0.19,0.25,-0.25,5,2
