host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772047241.426847,4578043,0.25,0.02,0.0,-150.37,-70.75,61.25,-4.56,0.31,-0.31,0.0,0.05,-0.02,11.81,65.19,76.81,1.56,-1.12,0.62,21,21
1772047241.427152,4578233,0.39,0.12,0.16,-150.06,-70.87,60.5,-3.12,-1.31,-0.06,-0.01,0.05,-0.07,12.13,65.25,76.62,-1.31,0.44,0.81,22,21
1772047241.427511,4578423,0.19,-0.13,-0.01,-150.62,-71.0,60.88,1.87,5.81,-2.75,-0.04,-0.05,0.04,12.56,65.12,76.56,-1.0,-0.5,-0.19,24,21
1772047241.427869,4578612,0.23,-0.22,0.07,-153.19,-70.5,61.69,-0.5,-0.19,-1.37,0.0,-0.04,0.03,12.5,65.31,76.5,1.87,-1.06,0.06,23,21
1772047241.428155,4578804,0.11,-0.04,0.2,-152.75,-70.56,61.38,2.37,-1.12,0.62,-0.07,0.04,0.15,12.5,65.37,76.62,0.81,0.69,0.31,24,21
1772047241.428431,4578995,0.42,0.09,0.07,-153.12,-70.19,61.19,0.31,0.19,2.81,-0.07,-0.01,0.08,12.31,65.37,76.69,2.37,-1.31,0.56,23,23
1772047241.428742,4579185,0.37,0.05,0.12,-153.37,-70.0,60.94,2.81,-1.06,2.87,-0.06,0.03,-0.02,12.31,65.44,76.81,-0.37,0.37,-0.44,23,23
1772047241.429028,4579375,0.34,-0.13,0.0,-153.62,-70.06,61.25,-1.56,4.75,-1.19,-0.03,0.05,-0.21,12.25,65.5,76.69,-1.19,-1.69,-1.12,24,24
1772047241.429307,4579565,0.17,-0.09,0.16,-153.31,-70.0,61.19,2.75,-2.87,0.31,-0.09,-0.02,0.23,12.31,65.37,76.87,0.75,1.81,0.37,25,24
1772047241.429611,4579757,0.48,0.07,0.02,-154.44,-69.87,61.5,-0.94,1.31,-0.13,-0.01,0.03,-0.2,12.38,65.37,76.75,-2.56,0.75,-0.62,27,25
1772047241.42992,4579948,0.15,-0.14,0.14,-153.94,-70.25,61.94,0.0,0.75,-1.31,-0.06,-0.01,0.03,12.38,65.06,76.62,1.81,-3.19,-0.56,26,25
1772047241.57592,4580139,0.27,0.0,0.11,-154.44,-70.06,61.94,1.25,-1.87,0.44,-0.01,0.01,0.06,12.38,65.12,76.62,1.25,0.37,0.94,27,25
