host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772046722.277267,4058880,0.17,-0.03,0.18,-165.19,-72.69,88.25,-0.81,-0.62,0.69,-0.08,0.06,0.03,13.50,67.75,88.56,-0.50,-0.69,-0.19,5,3
1772046722.278560,4059071,0.26,-0.04,0.12,-165.06,-72.69,88.06,-0.37,0.00,0.56,-0.04,0.04,0.06,13.50,67.75,88.56,-0.06,-0.37,0.19,4,2
1772046722.279276,4059262,0.20,-0.05,0.15,-164.69,-72.69,87.75,-1.37,-0.31,0.88,-0.06,0.03,0.04,13.50,67.75,88.56,0.19,0.31,0.13,4,2
1772046722.279949,4059453,0.18,0.15,0.20,-164.50,-72.56,87.50,0.62,1.00,0.00,-0.05,0.08,0.09,13.50,67.75,88.56,0.31,1.06,0.19,5,2
1772046722.280595,4059643,0.19,0.07,0.17,-164.37,-71.87,88.25,9.56,5.19,4.25,-0.07,0.03,0.07,13.50,67.69,88.56,0.13,-0.06,-0.13,5,2
1772046722.281103,4059834,0.27,0.00,0.11,-165.00,-70.69,90.12,11.81,4.62,2.81,-0.06,0.04,0.05,13.44,67.62,88.56,0.13,0.56,0.25,6,2
1772046722.281628,4060025,0.27,-0.21,0.07,-166.00,-70.00,92.06,2.81,1.87,1.56,-0.05,0.00,0.08,13.50,67.50,88.50,0.31,1.00,1.00,7,2
1772046722.282264,4060215,0.27,-0.13,0.09,-166.12,-69.81,92.19,0.06,-0.56,1.50,-0.07,0.03,0.08,13.44,67.37,88.50,0.06,0.13,0.13,7,2
1772046722.282870,4060406,0.25,0.00,0.13,-165.69,-69.81,91.94,-0.19,-0.69,0.94,-0.07,0.00,0.09,13.44,67.31,88.50,0.06,0.88,0.56,6,2
1772046722.283416,4060597,0.23,-0.01,0.15,-165.56,-69.81,91.94,-0.13,0.25,0.19,-0.11,0.03,0.06,13.44,67.31,88.50,0.00,-0.56,-0.44,6,2
1772046722.283943,4060788,0.29,0.00,0.08,-165.56,-69.75,91.87,0.06,0.37,-0.37,-0.09,0.04,0.05,13.38,67.44,88.56,0.13,-0.31,-0.37,6,2
1772046722.431917,4060979,0.30,0.00,0.10,-165.50,-69.75,91.75,-0.62,0.81,0.25,-0.07,0.02,0.10,13.44,67.50,88.56,-0.06,-0.31,-0.19,5,2
