host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772482417.603595,8508529,-0.07,-0.08,0.02,-153.25,-77.87,74.69,-2.00,-4.56,3.19,0.07,0.00,-0.11,-6.50,-54.75,311.87,-1.56,0.00,-2.00,6,6
1772482417.603831,8508571,-0.09,-0.10,0.06,-152.19,-77.94,74.44,-3.19,-2.81,5.06,0.09,-0.02,-0.09,-6.31,-54.75,311.94,-2.56,-0.75,-2.12,6,6
1772482417.604151,8508611,0.05,-0.17,0.00,-151.06,-77.94,74.12,-4.81,-2.19,5.19,0.04,0.00,-0.07,-6.12,-54.75,311.94,-3.19,0.13,-1.00,6,6
1772482417.604435,8508652,0.04,-0.02,-0.01,-149.81,-77.94,73.69,-6.37,-3.00,5.44,0.07,0.09,-0.17,-6.00,-54.81,311.87,-3.94,1.00,-0.88,6,5
1772482417.604646,8508691,-0.01,0.09,0.04,-148.50,-77.94,73.19,-5.94,-2.62,5.19,0.06,0.07,-0.09,-5.75,-54.81,311.87,-3.00,-0.56,-1.87,5,6
1772482417.604856,8508730,-0.02,0.09,0.02,-147.19,-77.87,72.75,-4.12,-1.94,5.37,0.06,0.16,-0.08,-5.62,-54.81,311.87,-3.12,-0.25,-1.69,5,6
1772482417.605068,8508771,0.00,0.05,0.01,-146.06,-77.81,72.44,-2.56,-2.12,5.06,0.05,0.10,-0.10,-5.37,-54.81,311.87,-3.00,-0.44,-2.00,5,6
1772482417.605253,8508812,0.14,0.07,0.01,-145.06,-77.81,72.12,-1.12,-3.00,4.62,0.01,0.08,-0.08,-5.19,-54.81,311.87,-1.06,-1.44,-2.19,5,6
1772482417.605430,8508853,0.01,0.08,0.00,-144.00,-77.81,71.94,-0.62,-3.56,3.94,0.03,0.04,-0.07,-5.00,-54.75,311.94,-1.75,-2.31,-2.25,4,6
1772482417.605729,8508892,0.05,0.03,0.03,-143.06,-77.81,71.81,0.06,-4.00,3.69,0.03,0.07,-0.11,-4.87,-54.75,312.00,-0.56,0.19,-1.94,3,6
1772482417.606006,8508931,-0.07,0.12,0.07,-142.06,-77.87,71.69,0.37,-4.37,3.31,0.06,0.11,-0.10,-4.75,-54.75,312.06,1.06,-0.75,-2.37,3,6
1772482417.606414,8508972,0.00,0.16,0.08,-141.19,-77.87,71.69,3.87,-1.81,3.37,0.02,0.10,-0.05,-4.69,-54.75,312.25,2.06,-0.31,-2.94,3,6
1772482417.606603,8509013,-0.03,0.07,0.05,-140.62,-77.87,71.75,4.81,-2.00,3.56,0.00,0.10,-0.03,-4.69,-54.75,312.44,4.31,0.06,-2.69,3,6
1772482417.606775,8509054,0.02,0.09,0.07,-140.06,-77.81,71.81,4.81,-1.56,2.31,0.07,0.13,-0.13,-4.69,-54.75,312.62,5.69,0.37,-2.56,3,6
1772482417.606961,8509093,0.04,0.17,0.04,-139.87,-77.81,72.00,5.25,-1.12,0.19,-0.02,0.13,-0.20,-4.75,-54.75,312.87,6.12,-2.44,-3.87,4,6
1772482417.607157,8509132,0.05,0.06,0.07,-140.06,-77.87,72.31,6.69,-1.50,-1.12,0.01,-0.06,-0.15,-4.81,-54.69,313.19,7.06,-1.87,-4.69,4,6
1772482417.607337,8509173,-0.01,0.03,0.10,-140.12,-78.00,72.69,7.94,-2.06,0.25,0.06,-0.07,-0.14,-4.75,-54.69,313.44,5.06,-1.37,-3.75,3,6
1772482417.607525,8509214,-0.04,-0.01,0.07,-140.19,-78.00,73.06,8.31,-1.37,1.00,0.00,-0.08,-0.11,-4.75,-54.63,313.69,3.50,-0.69,-2.44,3,6
1772482417.607744,8509254,-0.02,-0.03,0.05,-140.12,-78.00,73.37,7.19,-0.69,1.37,0.02,-0.02,-0.11,-4.69,-54.63,313.81,1.94,-2.06,-2.87,3,6
1772482417.607998,8509293,-0.07,-0.02,0.05,-140.12,-78.00,73.56,5.25,-0.19,1.19,0.01,-0.07,-0.02,-4.56,-54.50,314.00,1.62,-4.00,-3.50,3,6
1772482417.608341,8509332,-0.06,0.00,0.00,-140.12,-78.00,73.69,3.12,0.06,1.06,-0.02,-0.21,-0.12,-4.44,-54.44,314.12,0.62,-2.31,-3.12,3,6
1772482417.608576,8509374,0.10,-0.20,-0.04,-140.06,-77.94,73.75,0.44,0.44,1.56,0.01,-0.24,-0.19,-4.12,-54.38,314.19,-3.56,-0.62,-1.00,4,6
1772482417.608793,8509414,0.11,-0.10,-0.08,-139.62,-77.94,73.56,-6.81,-1.25,3.50,0.02,-0.08,-0.04,-3.94,-54.38,314.12,-4.87,-1.94,1.56,3,6
1772482417.609157,8509455,-0.01,0.14,-0.11,-138.69,-77.87,73.00,-9.75,-1.87,4.44,0.06,0.07,0.15,-3.87,-54.19,314.00,-1.25,-4.37,0.31,3,6
1772482417.609448,8509494,0.06,0.33,-0.11,-137.56,-77.81,72.44,-9.38,-1.56,3.94,0.06,-0.04,0.14,-3.81,-54.06,314.06,1.50,-3.37,-2.06,3,5
1772482417.609763,8509533,0.55,0.01,-0.27,-136.31,-77.75,71.87,-10.81,-4.62,3.75,-0.01,-0.40,-0.27,-3.75,-54.00,314.19,1.00,2.06,-1.62,3,5
1772482417.609982,8509575,0.19,0.02,-0.11,-134.25,-77.94,71.25,-13.25,-9.75,2.62,0.01,-0.24,-0.43,-3.62,-54.19,314.19,-5.81,6.75,0.81,3,4
1772482417.610193,8509615,-0.25,0.25,0.10,-132.19,-78.06,70.62,-10.06,-6.37,5.37,-0.01,0.00,0.12,-3.50,-54.19,314.00,-5.12,-1.19,2.37,3,4
1772482417.610402,8509656,-0.22,0.25,0.19,-130.44,-78.06,70.06,-5.81,-2.12,5.37,0.02,0.20,-0.12,-3.44,-54.38,313.75,-7.31,6.87,3.94,4,4
