host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772481318.858959,7409745,0.08,0.14,-0.07,-125.00,-75.75,348.37,-4.00,-2.50,0.31,-0.07,0.12,-0.10,4.37,-48.94,356.44,-1.00,0.75,1.00,3,3
1772481318.859712,7409785,0.12,0.23,0.00,-124.44,-75.75,348.25,-1.87,-3.19,-0.31,-0.04,0.15,-0.12,4.31,-48.94,356.37,0.19,-3.44,0.06,2,3
1772481318.860075,7409825,0.10,0.23,0.11,-124.06,-75.81,348.25,1.25,-3.12,-1.69,-0.07,0.06,-0.09,4.25,-48.75,356.37,0.81,-5.81,-0.13,2,3
1772481318.860314,7409864,-0.02,0.04,0.15,-123.87,-75.94,348.44,5.00,-3.50,-2.31,0.02,0.00,-0.15,4.25,-48.56,356.37,-1.25,-4.94,-0.06,2,3
1772481318.860805,7409904,-0.24,-0.08,0.15,-123.75,-76.06,348.81,6.19,-3.37,-1.56,-0.01,0.02,0.04,4.25,-48.38,356.37,0.31,-3.25,0.75,2,3
1772481318.861340,7409945,-0.14,-0.17,0.08,-123.75,-76.19,349.12,4.62,1.12,-0.69,0.00,0.02,0.00,4.19,-48.31,356.31,1.00,-0.44,1.50,2,3
1772481318.861608,7409985,0.07,-0.29,0.03,-124.37,-76.19,349.31,-0.13,5.62,-1.25,-0.01,0.01,-0.15,4.06,-48.38,356.25,0.37,2.12,2.69,2,3
1772481318.861836,7410025,0.28,-0.22,0.00,-125.56,-76.12,349.25,-3.12,6.00,-2.87,0.01,0.00,-0.16,3.94,-48.44,356.12,-0.88,2.00,2.31,3,4
1772481318.862091,7410065,0.03,-0.14,0.02,-126.00,-76.12,349.19,-4.19,0.69,-2.50,0.06,0.04,-0.08,3.94,-48.56,356.06,-1.00,0.62,0.56,3,4
1772481318.862316,7410105,0.10,0.00,0.04,-126.12,-76.19,349.06,-3.19,3.31,0.62,0.05,0.04,0.00,4.00,-48.56,356.06,-1.00,1.44,-1.81,3,4
1772481318.862560,7410146,0.12,0.00,-0.01,-126.44,-76.00,348.87,0.69,4.06,3.31,0.06,0.01,-0.13,4.12,-48.63,356.12,-0.25,3.00,-3.69,3,4
1772481318.862868,7410186,-0.15,-0.02,-0.10,-126.44,-75.81,348.75,1.81,1.62,5.31,-0.05,-0.08,0.09,4.31,-48.81,356.25,-1.00,5.06,-2.56,3,4
1772481318.863224,7410226,-0.41,0.05,-0.19,-126.12,-75.50,348.44,-1.69,2.87,6.19,-0.26,0.10,0.40,4.44,-49.00,356.31,-0.37,5.81,-0.37,3,4
1772481318.863460,7410266,-0.04,0.16,-0.23,-126.25,-75.25,348.06,-5.00,6.69,3.00,-0.26,0.18,0.23,4.44,-49.19,356.31,-0.69,3.69,1.12,3,5
1772481318.863685,7410306,0.49,0.22,-0.16,-126.56,-75.12,347.81,-4.50,2.87,-0.69,-0.06,0.23,-0.20,4.44,-49.25,356.31,0.31,-3.06,-0.25,2,5
1772481318.863903,7410347,0.46,0.11,-0.18,-126.62,-75.19,347.75,-0.50,-3.37,-2.50,0.01,0.00,-0.03,4.44,-49.00,356.31,-0.06,-5.62,-1.50,2,5
1772481318.864199,7410387,0.22,0.02,-0.20,-126.31,-75.31,347.87,0.88,-8.06,-2.94,-0.11,0.00,0.08,4.50,-48.88,356.31,-0.50,-1.56,-0.75,3,5
1772481318.864446,7410427,0.10,-0.01,-0.08,-125.44,-75.62,348.12,-0.75,-9.31,-3.06,0.09,0.10,-0.27,4.50,-48.88,356.37,0.94,0.69,-1.19,2,5
1772481318.864668,7410467,0.15,0.02,0.10,-124.62,-75.94,348.31,-0.37,-7.25,-3.37,0.21,0.14,-0.17,4.56,-48.88,356.50,1.81,-0.94,-2.62,2,5
1772481318.864871,7410506,0.06,0.00,0.14,-124.19,-76.12,348.50,2.19,-7.94,-3.87,0.07,0.04,0.00,4.62,-48.88,356.62,1.37,2.25,-3.69,2,6
1772481318.865146,7410547,-0.08,-0.15,0.00,-123.56,-76.44,348.81,2.62,-7.06,-2.31,-0.04,0.02,0.02,4.75,-49.00,356.75,0.06,4.69,-2.94,2,5
1772481318.865371,7410588,-0.30,-0.34,-0.12,-122.87,-76.69,349.12,1.12,-6.19,-0.50,-0.13,-0.01,0.17,4.87,-49.19,356.87,-2.25,3.00,-1.81,2,5
1772481318.865626,7410628,-0.25,-0.15,-0.10,-122.12,-76.81,349.06,-3.37,-4.94,3.37,-0.20,0.01,0.19,5.06,-49.25,356.87,-0.37,0.06,-1.69,2,5
1772481318.865863,7410668,-0.07,0.33,0.00,-121.19,-76.69,348.75,-5.06,-0.13,4.81,-0.07,0.04,0.06,5.12,-49.25,356.94,-1.50,-0.19,-0.25,2,5
1772481318.866093,7410708,0.08,0.49,0.01,-120.94,-76.56,348.44,-0.88,1.56,2.87,-0.11,0.08,-0.05,5.19,-49.25,356.87,-2.19,-0.62,0.31,3,5
1772481318.866312,7410748,0.50,0.20,0.13,-120.94,-76.50,348.44,4.44,-0.19,3.06,0.10,0.00,-0.41,5.25,-49.25,356.87,-1.00,-0.19,0.31,2,5
1772481318.866692,7410789,0.12,0.07,0.24,-120.44,-76.44,348.62,4.37,-4.62,1.37,-0.07,0.00,-0.10,5.25,-49.19,356.81,0.56,-2.31,-0.13,2,5
1772481318.867055,7410829,-0.39,0.03,0.27,-120.31,-76.50,348.81,3.50,-0.13,-0.81,-0.24,0.00,0.02,5.25,-49.19,356.81,-0.13,1.87,0.94,2,5
1772481318.867372,7410868,0.07,-0.12,0.03,-120.69,-76.44,348.87,-0.06,2.94,-0.06,-0.21,0.03,-0.17,5.19,-49.31,356.81,-0.13,1.62,1.69,2,5
1772481318.867612,7410908,0.40,-0.10,0.07,-120.81,-76.44,348.75,-4.25,-0.19,-1.94,0.02,0.04,-0.38,5.12,-49.38,356.69,0.88,0.62,1.94,2,4
1772481318.867827,7410949,0.16,0.06,0.20,-120.75,-76.56,348.69,-3.62,-1.44,-3.87,0.08,0.03,-0.12,5.00,-49.38,356.62,0.94,-0.81,1.44,2,4
1772481318.868055,7410989,-0.25,0.09,0.12,-120.81,-76.75,348.75,-1.69,-0.19,-2.87,-0.02,0.06,0.19,4.94,-49.44,356.62,0.19,3.25,1.56,2,4
1772481318.868358,7411029,-0.39,0.22,-0.03,-121.12,-76.75,348.75,0.37,3.37,-1.12,-0.22,0.24,0.34,4.81,-49.56,356.56,1.87,4.37,1.87,2,5
1772481318.868624,7411069,-0.16,0.15,-0.10,-122.06,-76.69,348.87,3.31,4.75,-2.56,-0.14,0.23,0.11,4.62,-49.63,356.50,1.87,-1.56,0.19,3,5
1772481318.868855,7411109,0.21,-0.01,-0.14,-122.81,-76.75,349.06,5.69,2.87,-3.06,0.10,0.05,-0.08,4.56,-49.50,356.56,1.87,-6.37,-1.25,3,5
1772481318.869123,7411150,0.24,-0.20,-0.10,-123.62,-76.75,349.44,7.56,1.19,-0.69,0.19,-0.10,-0.02,4.56,-49.25,356.69,0.75,-3.44,-1.94,3,5
1772481318.869354,7411190,0.08,-0.26,-0.11,-124.37,-76.69,349.75,4.12,3.56,2.44,0.17,-0.02,0.11,4.69,-49.19,356.75,1.00,3.25,-0.62,3,5
1772481318.869639,7411230,0.11,-0.09,-0.12,-125.00,-76.50,349.69,-0.69,6.69,2.69,-0.03,0.16,0.05,4.62,-49.38,356.75,1.12,8.19,1.50,3,5
1772481318.869920,7411270,0.01,0.14,-0.19,-125.56,-76.37,349.56,-3.12,5.50,-0.94,-0.10,0.20,0.12,4.50,-49.75,356.69,1.44,5.50,1.19,3,5
1772481318.870210,7411310,-0.12,0.19,-0.14,-126.19,-76.25,349.37,-1.56,3.81,-0.81,-0.27,0.10,0.02,4.44,-49.88,356.69,0.75,2.12,-0.13,3,5
1772481318.870450,7411351,0.04,0.10,-0.07,-126.62,-76.19,349.31,0.88,1.75,0.00,-0.22,0.00,0.00,4.37,-49.88,356.75,0.13,-2.69,-0.50,3,6
1772481318.870778,7411391,0.19,0.00,0.12,-126.50,-76.19,349.37,-0.56,-3.87,0.94,0.03,0.08,-0.31,4.44,-49.81,356.69,-2.12,-2.50,0.94,2,6
1772481318.871012,7411431,0.35,-0.11,0.24,-126.06,-76.25,349.37,0.62,-2.44,-1.06,0.12,-0.03,-0.48,4.44,-49.75,356.62,-1.12,-1.75,0.19,3,6
1772481318.871222,7411471,0.11,-0.17,0.20,-125.87,-76.37,349.50,-0.13,-2.31,-0.13,0.10,-0.01,-0.15,4.44,-49.75,356.62,0.94,-0.94,0.25,2,6
1772481318.871430,7411510,-0.19,0.16,0.13,-125.44,-76.44,349.44,-2.37,-2.06,0.62,-0.03,0.08,0.12,4.44,-49.75,356.62,1.06,3.62,0.69,2,5
1772481318.871674,7411551,-0.20,0.17,0.00,-125.19,-76.44,349.37,-0.62,0.31,-0.75,-0.17,0.12,0.12,4.37,-49.88,356.62,0.00,1.87,0.00,1,5
1772481318.871931,7411592,-0.10,0.05,-0.03,-125.31,-76.50,349.44,0.69,0.06,-0.81,-0.09,0.07,0.04,4.37,-49.88,356.62,0.00,-2.25,-0.62,1,5
1772481318.872153,7411632,0.09,-0.01,0.04,-125.44,-76.50,349.50,2.00,-0.44,-0.56,0.09,0.01,-0.02,4.37,-49.75,356.62,0.44,-4.06,-1.25,1,5
1772481318.872366,7411671,0.15,-0.09,-0.09,-125.56,-76.50,349.62,2.06,0.81,0.50,0.13,-0.03,-0.03,4.44,-49.63,356.69,-0.06,-1.81,-0.94,2,5
1772481318.872676,7411711,0.02,-0.01,-0.12,-125.62,-76.44,349.62,0.50,1.62,1.62,-0.06,-0.02,0.08,4.44,-49.63,356.69,-0.13,1.69,-0.62,2,5
1772481318.895453,7411752,0.05,-0.01,-0.15,-125.69,-76.37,349.50,-1.81,0.75,1.69,-0.08,-0.01,0.00,4.50,-49.69,356.75,-0.56,3.25,0.56,2,5
1772481318.935778,7411792,0.26,0.02,-0.06,-125.44,-76.31,349.31,-3.94,-1.19,0.44,-0.08,0.12,-0.17,4.44,-49.81,356.69,-0.50,1.69,1.56,2,4
1772481318.975933,7411833,0.16,0.19,0.04,-125.00,-76.37,349.12,-4.25,-3.56,-2.06,0.00,0.21,-0.08,4.37,-49.88,356.62,-0.19,-1.12,1.12,2,4
1772481319.015753,7411873,0.31,0.00,0.18,-124.62,-76.50,349.19,-0.50,-3.75,-2.75,0.12,0.02,-0.23,4.31,-49.88,356.56,0.69,0.50,-0.75,2,3
1772481319.056403,7411913,0.09,-0.05,0.11,-124.12,-76.69,349.31,1.69,-5.56,-1.37,0.01,-0.04,-0.09,4.25,-49.94,356.62,0.69,0.75,-0.56,2,3
1772481319.096683,7411953,-0.33,-0.15,0.00,-123.37,-76.87,349.50,0.62,-5.62,-0.88,-0.16,0.02,0.23,4.25,-49.94,356.62,-0.06,2.19,0.25,3,3
1772481319.136763,7411993,-0.20,-0.04,-0.09,-122.75,-77.00,349.44,-2.87,-2.87,-0.50,-0.22,0.11,0.10,4.25,-50.06,356.56,0.56,2.94,1.31,3,3
1772481319.176774,7412033,-0.04,0.16,-0.03,-122.44,-77.06,349.31,-4.50,-1.62,-1.50,0.03,0.16,-0.02,4.19,-50.13,356.56,1.00,-2.75,0.13,3,3
1772481319.215936,7412073,0.08,0.12,-0.04,-122.19,-77.12,349.25,-1.94,-1.06,-1.06,0.01,0.05,0.07,4.12,-50.00,356.56,0.13,-3.75,-1.19,2,2
1772481319.256121,7412113,0.22,-0.19,-0.15,-122.12,-77.19,349.25,-0.94,-1.94,-1.81,-0.07,-0.06,0.04,4.25,-49.88,356.62,-1.44,-2.25,-1.62,2,2
1772481319.297702,7412154,0.28,-0.18,-0.18,-121.75,-77.25,349.25,-5.44,-4.19,-0.69,-0.07,-0.04,-0.16,4.37,-49.81,356.62,-2.12,-2.06,-0.50,2,2
1772481319.337304,7412194,-0.04,0.00,0.00,-120.44,-77.44,348.94,-7.19,-6.37,0.50,-0.03,0.00,0.01,4.44,-49.75,356.56,-2.87,-2.00,0.50,2,2
1772481319.377447,7412234,0.05,0.13,0.16,-119.06,-77.50,348.69,-6.50,-6.12,2.12,0.10,0.10,-0.13,4.56,-49.69,356.56,-0.25,0.94,0.25,2,1
1772481319.416263,7412273,0.11,0.22,0.25,-118.00,-77.50,348.37,-5.12,-1.75,0.00,0.16,0.16,-0.21,4.56,-49.81,356.56,0.75,2.62,0.37,3,2
1772481319.456404,7412313,-0.10,0.15,0.24,-117.62,-77.56,348.25,-2.56,-0.06,-1.75,0.12,0.10,-0.03,4.50,-49.88,356.56,1.94,1.50,-0.62,3,2
1772481319.497815,7412355,-0.44,0.30,0.10,-117.75,-77.56,348.25,0.69,3.19,-2.75,-0.07,0.06,0.23,4.37,-49.94,356.62,3.25,2.19,-0.37,3,2
1772481319.538250,7412395,-0.28,0.22,-0.10,-119.25,-77.56,348.44,4.25,7.44,-3.25,-0.18,0.08,0.23,4.31,-50.00,356.69,1.75,0.44,-0.81,3,2
1772481319.578384,7412435,0.01,-0.02,-0.21,-120.81,-77.50,348.75,5.37,6.25,-2.75,-0.14,-0.04,0.01,4.31,-49.94,356.75,1.06,-1.56,-1.87,3,2
1772481319.617304,7412474,0.06,0.02,-0.05,-121.81,-77.44,348.94,5.37,4.50,0.69,-0.04,-0.06,0.06,4.31,-49.88,356.81,0.37,-4.94,-0.94,3,2
1772481319.656962,7412514,0.02,0.02,0.08,-122.44,-77.31,349.06,7.00,7.50,3.12,0.05,-0.06,-0.18,4.31,-49.69,356.87,-0.25,-3.44,0.13,3,2
1772481319.698299,7412556,0.00,0.22,0.16,-123.50,-77.00,349.12,7.25,10.44,3.75,0.04,0.08,0.13,4.31,-49.50,356.81,0.13,-3.25,0.13,3,2
1772481319.738959,7412596,-0.24,0.30,0.08,-125.19,-76.56,349.25,10.00,13.38,2.25,0.03,0.12,-0.02,4.31,-49.44,356.87,3.50,-2.31,-3.56,3,2
1772481319.779142,7412636,0.33,-0.01,-0.11,-127.37,-76.12,349.56,11.81,16.00,0.06,-0.12,-0.11,-0.38,4.25,-49.31,357.06,2.69,-2.87,0.75,2,2
1772481319.818110,7412675,0.51,-0.40,-0.12,-129.56,-75.94,350.00,8.19,9.56,-3.50,-0.23,-0.13,-0.27,4.06,-49.25,356.94,-1.75,0.06,6.56,1,2
