host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772481897.978068,7988854,0.38,0.28,-0.28,-138.25,-81.62,71.56,-34.44,15.31,7.94,0.05,0.33,-0.29,-4.75,-50.88,350.06,-3.44,-4.69,4.62,5,10
1772481897.978341,7988895,0.57,0.87,-0.29,-136.87,-81.06,70.06,-10.00,0.25,11.00,-0.31,0.25,0.24,-4.69,-50.56,349.87,-4.31,-9.56,2.19,5,10
1772481897.978594,7988936,-0.09,-0.31,-0.28,-134.44,-80.81,69.44,0.81,-1.50,14.56,-0.19,0.17,-0.17,-4.50,-50.44,349.81,-3.06,-0.06,-0.94,4,11
1772481897.978844,7988977,0.24,-0.09,-0.20,-131.31,-80.37,68.81,-3.50,-4.62,16.87,-0.02,0.22,-0.32,-4.44,-50.44,349.75,-2.00,-1.87,1.31,4,11
1772481897.979097,7989016,0.14,0.04,-0.11,-127.87,-80.12,68.06,-6.44,-9.06,10.81,0.11,-0.01,-0.17,-4.44,-50.25,349.75,-0.56,-5.44,0.19,3,10
1772481897.979346,7989055,0.24,0.19,-0.15,-124.81,-80.00,67.44,-6.69,-4.94,9.06,0.13,0.10,-0.46,-4.50,-50.06,349.75,1.56,-5.19,1.06,3,11
1772481897.979616,7989096,0.24,0.29,-0.19,-122.62,-79.87,66.87,-6.62,-6.31,3.06,0.10,0.15,-0.21,-4.56,-49.88,349.81,2.94,-8.00,-2.87,4,11
1772481897.979904,7989136,0.00,0.01,-0.18,-121.50,-80.00,66.75,-2.44,-4.81,-4.69,-0.11,0.00,0.11,-4.37,-49.63,349.87,-2.94,-3.69,-2.44,4,9
1772481897.980175,7989177,0.11,-0.09,-0.23,-120.69,-80.19,66.81,-0.06,-6.37,3.19,0.06,-0.12,0.00,-4.06,-49.63,349.94,-4.25,0.88,-3.44,3,6
1772481897.980433,7989216,-0.22,0.07,-0.11,-119.00,-80.19,66.62,-1.50,-4.56,5.25,0.00,-0.07,-0.14,-3.81,-49.69,349.94,-4.19,0.81,-0.44,3,5
1772481897.980688,7989255,0.10,-0.12,0.00,-117.69,-80.06,66.37,-4.06,-2.81,5.25,-0.02,0.00,-0.11,-3.75,-49.69,349.87,-3.12,1.31,-0.44,2,4
1772481897.980932,7989296,0.00,0.24,0.18,-116.31,-80.00,65.94,-7.19,-3.87,-0.19,0.06,-0.03,-0.26,-3.56,-49.75,349.81,-4.19,1.62,0.81,2,3
