host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772723139.587002,2028468,0.32,-0.19,-0.07,-28.94,-73.62,233.56,-7.31,3.56,-8.25,0.14,-0.04,-0.14,151.37,-53.44,150.94,-10.13,-1.87,1.12,2,6
1772723139.587879,2028507,0.23,-0.26,-0.08,-27.87,-73.81,233.62,-10.31,-0.31,-4.87,0.14,-0.17,-0.03,151.75,-53.56,150.25,-5.94,-1.94,4.75,2,5
1772723139.588754,2028546,0.40,-0.24,-0.11,-26.94,-73.81,233.37,-16.19,-5.50,4.37,0.37,-0.11,-0.27,152.12,-53.69,149.87,3.62,-2.44,12.69,2,7
1772723139.589506,2028588,0.28,0.30,0.07,-26.56,-73.44,232.62,-17.50,-10.31,6.56,-0.06,-0.22,0.00,152.44,-54.00,149.87,11.06,-3.81,14.06,2,10
1772723139.590360,2028629,-0.35,0.60,0.31,-26.00,-73.06,232.06,-7.94,-4.00,2.06,-0.19,-0.20,0.26,152.50,-54.31,150.00,6.44,-2.81,7.50,2,11
1772723139.591425,2028669,-0.31,0.36,0.10,-26.12,-73.00,231.81,0.31,3.44,3.94,-0.25,-0.09,0.16,152.56,-54.50,150.00,2.37,-2.19,5.50,2,10
1772723139.592036,2028708,-0.11,0.17,-0.13,-27.12,-73.06,231.62,2.06,5.31,5.06,-0.29,-0.07,0.14,152.69,-54.69,149.87,0.75,-1.56,5.50,2,9
1772723139.592851,2028748,0.00,0.04,-0.30,-28.12,-73.19,231.44,-0.31,6.12,5.31,-0.15,0.02,0.16,152.87,-54.88,149.69,0.13,0.62,5.44,2,9
1772723139.593516,2028789,0.19,0.01,-0.37,-29.00,-73.31,231.12,-5.56,4.81,4.75,-0.11,-0.01,0.08,153.12,-55.00,149.44,-0.56,1.19,6.56,2,9
1772723139.594084,2028829,0.18,0.10,-0.37,-29.56,-73.44,230.75,-8.88,1.69,1.62,-0.14,-0.05,0.03,153.50,-55.06,149.12,-2.56,2.56,4.50,1,9
1772723139.595008,2028869,0.04,-0.10,-0.28,-29.50,-73.50,230.44,-9.44,-0.31,0.00,-0.07,0.01,-0.02,153.87,-55.06,148.87,-3.25,1.69,2.69,1,9
1772723139.595663,2028909,-0.01,-0.26,-0.25,-29.25,-73.50,230.19,-10.13,-1.06,2.81,-0.08,0.00,0.01,154.12,-55.06,148.62,-0.19,0.69,3.31,1,11
1772723139.596205,2028948,0.07,-0.18,-0.15,-29.12,-73.44,229.75,-11.00,-3.12,6.00,0.00,-0.05,0.07,154.31,-55.13,148.50,2.12,0.88,5.25,2,8
1772723139.596724,2028990,0.17,0.00,0.02,-29.25,-73.19,229.19,-10.56,-3.94,7.56,0.02,0.06,-0.08,154.56,-55.19,148.44,2.25,0.31,6.37,2,7
1772723139.597298,2029030,0.10,0.44,0.15,-29.44,-72.94,228.62,-7.81,-4.25,6.44,0.07,0.06,-0.15,154.75,-55.25,148.37,0.06,-0.13,2.62,1,6
1772723139.598022,2029070,0.00,0.37,0.12,-29.50,-72.69,228.25,-2.37,-3.12,1.00,-0.02,0.04,-0.18,154.87,-55.25,148.25,-2.44,-1.87,-1.62,1,7
1772723139.598606,2029109,-0.01,0.10,0.03,-29.37,-72.56,228.25,1.62,-2.31,-1.87,-0.05,-0.05,-0.05,154.81,-55.31,148.12,-2.75,-1.94,-3.37,1,7
1772723139.599068,2029149,0.07,0.02,0.00,-29.12,-72.50,228.37,1.44,-3.19,-0.56,0.00,-0.04,-0.05,154.69,-55.31,148.00,-0.19,-1.94,0.13,1,7
1772723139.599501,2029191,0.17,0.05,0.03,-29.00,-72.37,228.44,1.25,-3.19,1.19,0.01,-0.12,0.01,154.69,-55.38,148.00,0.31,-1.81,1.50,1,7
1772723139.599934,2029231,0.03,0.07,0.06,-29.00,-72.25,228.37,-0.37,-3.19,2.37,0.00,-0.02,0.00,154.75,-55.44,147.94,-0.81,-1.31,1.56,1,7
1772723139.600379,2029271,-0.04,0.09,0.01,-29.06,-72.12,228.25,-2.12,-1.12,0.88,-0.08,-0.10,-0.02,154.81,-55.56,147.75,-1.00,-1.62,1.44,2,7
1772723139.600818,2029310,0.00,0.09,0.02,-29.00,-72.12,228.19,-3.37,0.56,0.62,-0.10,-0.12,0.00,154.81,-55.63,147.69,-1.00,-1.94,0.00,2,5
1772723139.601264,2029350,-0.01,0.17,-0.03,-29.00,-72.06,228.00,-3.06,0.25,3.06,-0.13,-0.10,0.04,154.75,-55.69,147.62,-0.62,-1.62,-0.88,1,6
1772723139.601699,2029391,0.12,0.26,-0.01,-29.44,-72.00,227.75,-0.88,-0.19,3.06,0.02,-0.08,0.07,154.69,-55.69,147.62,0.44,-0.37,-2.12,1,4
1772723139.602130,2029432,0.05,0.16,-0.06,-29.81,-71.87,227.62,-0.25,0.31,3.25,-0.08,0.00,0.02,154.50,-55.63,147.75,0.44,0.13,-1.75,1,4
1772723139.602571,2029472,0.08,0.24,-0.07,-30.19,-71.81,227.44,-1.25,0.31,2.12,-0.08,-0.04,0.05,154.44,-55.63,147.81,0.31,1.06,-1.06,1,3
1772723139.603266,2029511,0.05,0.20,-0.07,-30.50,-71.81,227.37,-0.75,1.25,0.31,-0.03,-0.12,0.01,154.37,-55.56,147.94,0.19,1.12,-1.94,1,5
1772723139.603796,2029551,-0.02,0.15,-0.06,-30.62,-71.81,227.31,-0.25,-0.06,-0.19,-0.07,-0.13,-0.03,154.31,-55.50,148.06,-0.25,0.94,-2.56,2,4
1772723139.604631,2029592,0.12,0.07,0.00,-30.75,-71.81,227.25,0.19,-0.56,0.00,0.03,-0.05,0.08,154.19,-55.38,148.19,-0.13,1.56,-2.69,2,4
1772723139.605051,2029632,0.09,0.05,0.00,-30.75,-71.81,227.25,-0.69,-0.25,0.37,-0.04,-0.05,-0.03,154.06,-55.31,148.31,-0.56,2.25,-2.56,1,4
1772723139.605456,2029673,0.01,0.08,0.01,-30.69,-71.81,227.25,-1.87,0.62,0.25,0.01,-0.06,-0.05,154.06,-55.13,148.44,-1.37,4.12,-2.25,2,5
1772723139.605903,2029712,0.00,0.14,-0.02,-30.62,-71.81,227.12,-2.69,1.25,-1.06,-0.05,-0.07,-0.04,154.06,-55.00,148.50,-1.06,3.25,-2.06,2,5
1772723139.606304,2029751,-0.01,0.12,-0.04,-30.56,-71.87,227.12,-0.88,0.81,-1.31,-0.02,-0.10,0.00,154.06,-54.88,148.62,0.06,1.81,-2.25,1,4
1772723139.606673,2029793,0.06,0.07,-0.02,-30.50,-71.94,227.19,1.44,0.25,-0.06,0.06,-0.09,0.07,153.94,-54.75,148.75,0.56,1.69,-2.56,1,5
1772723139.607040,2029833,0.10,0.00,-0.03,-30.62,-71.94,227.19,1.81,-0.31,1.25,0.06,-0.05,0.00,153.87,-54.69,148.87,1.12,0.19,-0.81,1,4
1772723139.607413,2029873,0.02,0.07,-0.04,-30.81,-71.87,227.19,0.75,-0.81,0.37,0.05,-0.06,-0.04,153.81,-54.69,148.94,-0.06,-0.75,1.44,1,6
