host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772726285.045489,5173999,-0.03,0.17,0.06,-74.19,-80.62,244.81,-3.81,2.75,-0.75,0.01,-0.06,0.06,158.62,-59.00,114.81,-4.37,-1.62,-3.44,1,2
1772726285.046107,5174038,-0.13,0.12,0.08,-74.94,-80.69,244.62,-4.06,6.25,-0.37,0.02,-0.05,0.07,158.56,-59.06,114.62,-5.31,-1.31,-3.87,1,2
1772726285.047517,5174077,-0.06,0.08,0.10,-76.44,-80.75,244.44,-4.81,8.19,-0.56,0.03,-0.02,0.05,158.50,-59.00,114.44,-5.62,-0.81,-3.31,1,2
1772726285.048381,5174119,-0.03,0.07,0.10,-78.37,-80.81,244.12,-5.87,10.63,-0.19,0.08,0.00,0.01,158.56,-59.00,114.19,-4.81,-0.13,-2.75,1,2
1772726285.049204,5174160,-0.03,0.14,0.04,-80.75,-80.87,243.94,-5.00,12.19,-0.37,0.09,-0.03,-0.01,158.56,-58.94,114.00,-3.56,-0.44,-2.31,1,2
1772726285.049861,5174200,0.07,0.06,-0.04,-83.50,-80.94,243.69,-3.75,12.50,-0.50,0.14,-0.01,-0.01,158.56,-58.94,113.87,-2.31,-0.44,-1.62,1,2
1772726285.050528,5174239,0.13,0.10,-0.19,-86.31,-81.00,243.44,-3.12,10.06,-0.13,0.04,0.00,-0.04,158.50,-58.88,113.87,-1.50,-0.31,-1.25,1,2
1772726285.051085,5174279,0.11,0.12,-0.25,-88.50,-80.94,243.31,-2.25,7.12,-0.37,0.00,0.00,0.02,158.50,-58.88,113.81,-1.00,-0.37,-0.81,1,2
1772726285.051775,5174320,0.10,0.19,-0.22,-90.00,-80.94,243.31,-0.62,3.12,-1.06,-0.02,0.10,0.06,158.50,-58.88,113.75,-2.00,-0.31,-0.62,1,2
1772726285.053091,5174361,0.06,0.18,-0.18,-90.94,-81.00,243.31,1.87,1.87,-2.69,0.00,0.15,0.14,158.62,-58.88,113.62,-0.75,0.75,-0.25,2,2
1772726285.053824,5174401,-0.13,0.08,-0.09,-91.69,-81.06,243.50,5.00,2.12,-2.06,-0.09,0.04,0.08,158.62,-58.81,113.62,-0.13,2.25,-0.06,2,2
1772726285.054469,5174440,-0.12,0.01,-0.04,-92.69,-81.06,243.75,7.06,3.50,-0.75,0.09,0.01,-0.02,158.69,-58.69,113.69,-0.13,3.06,0.25,1,2
1772726285.055167,5174479,-0.04,-0.11,0.01,-93.81,-81.12,244.00,5.44,3.50,-0.69,0.11,-0.01,-0.07,158.81,-58.63,113.69,-0.37,1.37,0.81,1,2
