host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772724611.229806,3500148,0.08,0.07,-0.03,-40.00,-70.56,247.56,-0.69,3.00,-0.31,0.00,0.00,-0.01,153.94,-50.19,350.31,-0.50,-0.44,0.62,2,2
1772724611.230174,3500189,0.06,0.05,-0.04,-40.25,-70.62,247.50,-0.44,3.37,-0.37,-0.03,0.00,0.05,154.00,-50.19,350.31,-0.19,-0.31,0.62,3,2
1772724611.230652,3500229,0.09,0.00,-0.05,-40.50,-70.75,247.50,-0.13,3.50,-0.31,-0.01,-0.02,0.03,154.00,-50.19,350.25,0.06,-0.37,0.44,3,2
1772724611.231059,3500269,0.06,-0.02,-0.11,-40.75,-70.81,247.44,-0.75,3.00,0.19,-0.06,-0.02,0.00,154.00,-50.25,350.25,-0.19,-0.62,0.19,3,2
1772724611.231407,3500309,0.08,-0.03,-0.10,-40.94,-70.94,247.37,-1.12,2.62,1.19,-0.04,0.01,0.01,153.94,-50.25,350.25,-0.13,-0.50,-0.19,3,2
1772724611.231745,3500349,0.11,-0.02,-0.12,-41.19,-70.94,247.31,-1.87,1.37,1.50,-0.03,0.00,0.04,153.94,-50.25,350.25,-0.06,-0.69,-0.19,3,1
1772724611.232082,3500390,0.10,0.02,-0.12,-41.38,-70.94,247.12,-2.25,0.25,2.31,-0.05,0.01,0.04,153.94,-50.25,350.25,-0.19,-0.56,-0.37,3,1
1772724611.232419,3500430,0.14,0.04,-0.09,-41.50,-70.87,247.00,-2.56,-0.69,2.69,0.02,0.06,0.00,153.94,-50.25,350.25,-0.06,-0.19,-0.37,2,1
1772724611.232752,3500470,0.21,0.12,-0.09,-41.63,-70.75,246.81,-2.44,-1.19,2.12,0.02,0.04,-0.04,153.94,-50.25,350.25,-0.25,0.37,0.13,3,1
1772724611.233084,3500510,0.10,0.14,-0.01,-41.63,-70.69,246.69,-1.25,-2.06,0.06,0.00,0.03,-0.01,153.94,-50.25,350.25,0.06,-0.37,0.25,3,1
1772724611.233450,3500549,0.08,0.16,0.01,-41.44,-70.56,246.69,0.44,-2.75,-0.50,-0.01,0.04,0.03,153.94,-50.25,350.25,0.19,-0.56,0.31,3,1
1772724611.233846,3500590,0.02,0.08,0.06,-41.31,-70.56,246.75,2.37,-1.00,-1.75,-0.03,0.00,0.03,153.94,-50.25,350.25,0.06,-0.37,-0.06,3,1
1772724611.234204,3500630,0.05,0.03,0.04,-41.19,-70.56,246.87,2.31,0.56,-1.56,-0.05,-0.04,0.06,153.94,-50.31,350.25,-0.13,-1.00,-0.69,3,1
1772724611.234603,3500671,-0.01,0.01,0.04,-41.19,-70.62,247.00,1.50,1.31,-0.44,-0.06,-0.04,0.06,153.87,-50.31,350.19,0.31,-1.19,0.06,2,1
1772724611.234963,3500710,-0.04,0.04,0.07,-41.44,-70.69,247.00,0.56,3.69,-0.13,-0.08,-0.03,0.13,153.87,-50.38,350.19,-0.31,-1.06,0.25,2,1
1772724611.235518,3500750,-0.05,0.03,0.02,-41.75,-70.81,247.00,-0.31,5.50,0.50,-0.15,0.01,0.08,153.87,-50.38,350.19,-0.50,-1.06,0.44,2,2
1772724611.235890,3500791,0.06,0.06,-0.08,-42.25,-71.00,246.94,-0.31,7.81,0.00,-0.06,0.04,0.06,153.87,-50.38,350.06,-1.06,-0.19,0.19,3,2
1772724611.236436,3500831,0.23,0.08,-0.19,-42.81,-71.19,246.87,-0.25,7.06,-0.44,0.02,0.06,-0.04,153.94,-50.38,350.00,-0.75,0.13,0.50,3,2
