host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772053250.065545,1925218,-0.04,-0.55,-0.24,-99.56,-75.69,49.44,-6.50,3.37,1.81,-0.17,0.05,-0.03,-132.69,41.25,8.88,-5.25,-1.06,1.62,8,6
1772053250.066470,1925409,-0.01,0.32,0.12,-95.31,-74.06,45.69,-10.38,-3.94,7.37,-0.11,0.20,0.07,-132.25,41.06,10.81,-6.50,-6.31,4.31,8,7
1772053250.067343,1925598,-0.22,0.14,0.03,-91.94,-73.44,44.56,5.19,1.75,-3.87,-0.02,-0.04,-0.15,-132.75,40.81,11.69,-1.31,-4.75,3.00,9,6
1772053250.068057,1925790,0.12,-0.35,-0.10,-94.19,-74.44,46.44,3.37,-4.69,-4.31,-0.14,0.08,-0.08,-132.94,40.69,11.94,-0.88,1.81,-0.25,9,7
1772053250.068770,1925981,-0.26,0.11,0.20,-90.94,-74.37,46.94,1.37,-4.37,3.31,-0.01,0.12,-0.06,-132.50,40.94,11.88,-1.44,2.31,1.87,8,7
1772053250.069418,1926172,0.13,0.34,0.12,-90.37,-73.75,46.06,-1.19,-1.94,1.44,-0.12,0.02,0.08,-132.69,41.19,11.88,1.62,-2.75,2.94,8,7
1772053250.070009,1926362,-0.10,-0.02,-0.05,-90.12,-73.75,45.94,-4.44,1.06,-2.87,-0.02,0.06,0.00,-133.50,41.44,12.19,1.44,-1.37,6.62,7,6
1772053250.070700,1926552,-0.02,0.00,0.05,-89.87,-74.56,45.81,-0.50,2.19,-4.06,-0.04,0.00,0.04,-134.50,42.31,10.88,0.75,0.25,5.75,7,6
1772053250.071452,1926743,0.05,-0.02,-0.15,-92.50,-75.00,47.00,7.75,1.12,-2.69,0.14,-0.07,0.07,-134.81,42.63,10.38,-1.81,1.50,1.37,7,5
1772053250.072096,1926934,0.04,0.02,0.13,-95.06,-74.62,48.38,10.06,1.69,6.12,-0.11,0.05,0.06,-134.69,42.69,10.50,4.50,-1.37,-2.12,7,5
1772053250.072760,1927125,0.37,-0.15,-0.04,-100.37,-74.19,49.88,9.06,3.81,1.87,-0.28,0.28,0.22,-134.69,42.25,10.63,-13.06,-3.81,5.56,7,4
1772053250.194187,1927315,-0.13,0.24,0.12,-100.31,-73.00,50.19,8.06,6.37,5.44,0.08,-0.02,0.00,-134.06,42.63,12.50,2.12,-3.37,5.06,7,4
