host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772052565.896672,1241073,-0.24,-0.25,0.48,-71.87,-76.75,37.88,-6.50,-9.44,-2.62,-0.01,0.00,0.11,-131.94,38.31,280.81,3.75,3.62,4.69,4,1
1772052565.897163,1241263,0.08,0.52,-0.03,-74.19,-76.75,37.19,12.13,14.75,-7.00,-0.18,-0.04,0.19,-132.25,38.81,279.75,7.94,15.94,-8.56,5,1
1772052565.897624,1241454,0.54,-1.78,-0.23,-83.94,-79.31,41.63,0.25,8.19,1.75,0.57,-0.38,0.32,-130.50,40.75,271.56,27.50,25.81,-0.31,5,1
1772052565.898068,1241645,0.54,0.90,-0.29,-88.62,-71.06,26.75,-32.63,25.25,39.94,-0.08,-0.26,-0.30,-130.25,43.00,263.37,14.19,17.50,-4.44,5,2
1772052565.898457,1241836,0.36,0.18,-0.11,-92.00,-68.56,19.50,-8.94,-6.12,-13.88,-0.08,-0.23,-0.33,-130.06,43.44,259.62,10.25,7.12,-6.00,6,2
1772052565.898848,1242026,-0.06,-0.29,-0.09,-89.81,-71.12,21.94,1.87,3.25,-10.25,-0.22,-0.09,-0.19,-131.37,42.88,258.87,2.56,-3.56,-0.88,6,2
1772052565.899235,1242216,-0.03,-0.26,0.05,-90.12,-73.06,24.37,2.94,-4.62,-6.12,-0.08,-0.01,-0.06,-132.06,42.31,259.31,0.25,-2.19,2.12,6,2
1772052565.899611,1242408,-0.05,-0.05,0.05,-88.37,-73.69,25.44,1.94,1.31,-0.75,-0.14,-0.01,0.02,-132.62,42.31,259.37,0.25,-1.19,2.12,5,2
1772052565.899997,1242599,0.00,-0.03,0.01,-88.69,-73.75,26.06,1.81,-1.75,-0.56,-0.05,-0.03,0.02,-133.00,42.38,259.37,-0.13,-1.06,2.19,5,2
1772052565.900374,1242789,0.03,0.00,0.01,-88.44,-73.81,26.50,2.44,-0.69,-0.94,-0.01,-0.02,0.04,-133.31,42.38,259.56,-0.06,-1.56,1.25,6,2
