host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772052025.338463,700443,0.07,0.09,-0.01,-96.31,-76.37,57.06,2.62,0.81,2.69,0.09,-0.11,0.02,-137.87,45.75,239.87,2.81,1.25,-1.25,4,9
1772052025.339271,700634,0.01,-0.23,0.07,-98.37,-76.31,57.88,2.62,1.50,-1.19,0.01,-0.10,0.07,-138.00,45.56,239.56,-0.69,0.13,0.13,4,9
1772052025.340069,700824,-0.03,0.11,-0.01,-99.44,-75.94,57.81,5.12,2.69,3.06,0.18,-0.15,0.11,-137.75,45.75,239.75,-0.88,0.25,2.12,4,9
1772052025.341041,701013,0.01,0.01,0.05,-102.75,-75.25,58.44,7.69,4.06,2.00,0.00,-0.06,0.02,-137.94,45.88,240.06,-2.81,-1.94,2.56,3,11
1772052025.341653,701205,0.19,-0.13,-0.17,-106.94,-75.00,59.25,3.56,2.00,0.19,0.18,-0.06,0.15,-137.56,46.13,240.69,-0.75,1.44,2.19,3,9
1772052025.342259,701396,-0.03,-0.04,-0.08,-108.37,-75.00,59.63,-2.50,5.19,-1.94,0.08,-0.02,0.04,-138.12,46.31,239.69,0.88,-0.44,0.37,3,9
1772052025.342785,701587,0.02,0.17,0.00,-109.44,-74.94,59.44,1.56,-3.00,0.88,0.02,-0.03,0.11,-138.25,46.25,239.94,-1.06,-1.12,0.62,3,6
1772052025.343317,701777,-0.19,-0.13,-0.07,-108.25,-75.31,59.75,-3.62,1.50,-6.00,0.03,-0.10,-0.14,-139.19,46.06,239.37,2.25,-2.12,-1.31,4,6
1772052025.343847,701966,-0.05,-0.08,-0.02,-108.25,-75.75,59.94,1.00,-3.81,-0.19,0.05,-0.05,0.04,-139.12,46.06,239.37,-0.13,3.44,-1.31,4,6
1772052025.344499,702158,0.06,0.02,-0.04,-105.56,-75.81,60.00,-1.31,-3.69,0.19,0.08,-0.08,0.08,-138.87,46.13,239.19,3.06,-0.44,-2.06,5,7
1772052025.345132,702349,0.02,-0.02,-0.03,-104.62,-76.19,59.81,-0.50,-2.31,-1.62,0.05,-0.10,0.07,-138.94,45.88,239.25,0.69,0.25,-1.56,5,7
1772052025.452940,702540,-0.01,-0.07,-0.02,-103.44,-76.37,60.00,-0.88,-1.31,0.75,0.07,-0.07,0.05,-138.75,45.75,239.56,-0.06,0.50,-0.75,5,6
1772052025.642572,702730,0.00,0.10,-0.07,-100.44,-76.44,59.69,-4.31,-6.75,-1.06,0.10,-0.14,0.03,-138.62,45.69,239.62,0.00,0.19,-1.69,5,6
1772052025.832397,702920,0.02,-0.02,0.02,-96.62,-76.69,59.88,-0.94,-1.87,0.81,0.04,-0.09,0.06,-138.50,45.63,239.69,2.75,-0.69,-1.62,5,6
1772052026.024230,703111,-0.13,-0.27,-0.14,-93.75,-76.94,59.81,-3.00,-7.56,-1.69,0.01,-0.10,0.02,-138.75,45.25,239.56,-0.06,0.25,-1.12,5,5
1772052026.215149,703303,-0.32,0.27,0.28,-85.37,-76.62,58.75,0.00,-5.50,0.06,0.10,-0.13,0.04,-138.50,45.44,239.62,-0.69,1.06,-0.62,5,5
1772052026.405602,703493,0.09,0.07,0.09,-89.50,-76.81,60.13,16.12,6.69,0.75,-0.01,-0.02,0.04,-138.31,45.50,239.62,0.81,2.44,0.19,4,5
1772052026.595853,703683,-0.11,0.02,-0.03,-96.62,-76.81,61.75,-2.25,10.38,-0.62,0.09,-0.13,0.06,-138.69,45.69,239.19,1.12,-0.94,1.06,4,5
1772052026.786389,703874,0.16,0.04,-0.22,-105.87,-76.19,61.25,1.62,6.56,-0.13,0.07,-0.11,0.00,-139.00,45.63,239.31,0.37,-0.81,0.25,3,4
1772052026.977304,704065,-0.15,0.02,0.00,-107.75,-76.31,61.56,2.00,0.37,0.00,0.08,-0.17,0.02,-139.06,45.69,239.31,1.56,-1.12,0.13,4,3
1772052027.168576,704256,-0.05,0.16,0.02,-112.00,-76.12,62.06,9.38,7.87,-0.31,0.04,-0.09,-0.02,-139.44,45.31,239.75,2.00,-1.12,-0.37,4,4
1772052027.359235,704447,-0.19,-0.02,0.09,-120.37,-75.94,65.06,19.50,10.56,-1.62,0.11,-0.15,-0.04,-139.81,45.44,239.19,-3.56,1.81,3.62,4,4
1772052027.549121,704637,0.13,-0.05,-0.08,-132.50,-74.69,68.75,15.50,12.75,-3.00,0.00,-0.04,0.29,-139.44,45.63,241.00,-3.81,-1.37,3.31,4,4
1772052027.738767,704826,0.01,0.30,0.03,-143.87,-75.19,72.75,7.25,1.19,-23.94,0.21,-0.21,0.24,-140.31,46.19,239.87,-1.06,-3.44,4.19,5,3
1772052027.930528,705018,-0.01,-0.44,-0.24,-155.19,-75.44,76.12,-2.81,3.87,4.87,0.06,-0.25,-0.02,-141.56,46.25,239.44,0.50,-3.37,1.44,6,3
1772052028.121824,705209,0.17,0.08,-0.06,-150.25,-74.50,73.31,-3.19,-6.81,7.62,0.01,-0.19,-0.07,-141.44,46.75,238.62,-1.81,8.56,-2.06,6,3
1772052028.312505,705400,-0.18,-0.14,-0.08,-145.25,-76.31,74.44,9.44,-8.56,-0.50,0.18,-0.05,0.15,-139.69,47.44,237.62,0.37,5.56,-5.37,6,3
1772052028.502605,705590,0.00,-0.22,0.03,-135.81,-75.69,72.12,-23.12,-2.94,19.37,0.00,-0.02,0.03,-138.69,47.50,237.81,1.69,-1.69,-3.12,6,3
1772052028.692374,705780,0.20,0.82,0.13,-120.31,-73.44,62.63,-17.75,-5.06,11.63,0.04,-0.09,0.00,-138.75,47.56,237.37,1.56,2.31,-2.00,6,2
1772052028.884005,705972,-0.04,0.21,0.01,-115.44,-73.31,61.06,0.56,-0.62,-4.56,0.09,-0.06,0.10,-138.62,47.50,237.25,0.94,0.00,-2.19,5,2
1772052029.075421,706163,0.13,0.06,-0.08,-115.31,-73.87,61.63,-3.44,-5.25,-3.44,0.01,-0.07,-0.03,-138.56,47.31,237.31,0.88,-0.19,-2.00,5,1
1772052029.265950,706353,-0.12,0.11,0.05,-108.69,-75.69,62.31,-3.75,-17.94,-7.00,0.06,-0.13,-0.01,-138.37,47.19,237.44,-0.50,0.81,-1.75,5,1
1772052029.455698,706543,0.03,0.00,0.12,-100.81,-77.19,63.81,2.94,-7.75,-4.06,0.03,-0.10,0.06,-138.06,47.00,237.69,1.31,0.00,-1.37,5,3
1772052029.646701,706734,-0.10,0.05,0.07,-97.69,-77.75,64.69,2.19,1.25,-1.00,0.05,-0.08,0.01,-138.12,46.94,237.62,-0.06,0.00,-0.37,4,3
1772052029.837463,706925,0.04,-0.05,0.00,-99.37,-77.81,65.00,-0.44,2.06,0.62,0.03,-0.07,0.06,-138.12,46.94,237.56,0.25,0.50,-0.25,5,4
1772052030.028530,707116,0.03,0.11,-0.03,-99.25,-77.50,64.25,-2.44,0.37,1.50,0.05,-0.06,0.06,-138.12,47.06,237.44,-0.25,-0.06,0.06,5,6
1772052030.218861,707307,0.08,0.02,0.01,-97.81,-77.31,63.63,-2.75,-2.62,0.44,0.00,-0.06,0.04,-138.12,47.06,237.50,0.25,0.50,0.50,5,8
1772052030.410072,707497,-0.07,0.20,0.06,-92.94,-77.50,62.88,-4.69,-2.69,-1.06,0.06,-0.10,0.02,-138.12,47.06,237.44,-0.13,-0.25,0.00,5,9
1772052030.600498,707688,-0.09,0.10,0.08,-93.62,-77.62,63.31,8.69,4.81,-0.75,0.02,-0.06,0.08,-138.12,47.06,237.44,-0.50,-0.19,-0.19,6,9
1772052030.791092,707879,0.00,0.01,-0.09,-98.25,-77.44,64.00,-1.87,3.37,0.31,0.09,-0.19,0.03,-138.19,47.13,237.37,0.25,-0.50,0.37,6,10
1772052030.982053,708070,-0.06,-0.02,-0.03,-100.56,-77.31,63.88,1.69,1.94,-0.19,0.06,-0.09,0.05,-138.12,47.00,237.50,-0.81,-0.44,-1.37,6,10
1772052031.172652,708260,-0.03,0.11,0.00,-101.94,-77.25,63.81,-0.69,0.56,0.69,0.12,-0.14,0.05,-137.87,46.88,237.75,0.44,-0.06,-1.12,6,10
1772052031.363443,708451,-0.03,0.03,-0.04,-102.50,-77.19,63.75,0.31,1.25,-0.13,0.09,-0.14,0.02,-137.81,46.75,237.94,-0.13,-1.12,-0.37,5,8
1772052031.553740,708642,0.01,0.04,0.03,-103.00,-77.19,63.75,1.25,0.19,0.44,0.08,-0.16,0.07,-137.87,46.69,237.94,1.12,-0.31,-0.37,5,9
1772052031.744500,708832,0.00,0.10,-0.02,-104.25,-77.12,63.63,2.44,-0.19,2.06,0.12,-0.15,0.04,-137.94,46.75,237.81,0.75,-0.25,-0.44,4,8
1772052031.935041,709023,0.09,0.09,-0.06,-105.31,-77.06,63.69,0.06,1.69,1.62,0.05,-0.12,0.05,-138.00,46.81,237.75,-0.25,0.00,-0.19,4,7
1772052032.125945,709214,-0.03,0.08,-0.04,-105.50,-77.12,63.88,1.37,-0.06,-0.75,0.10,-0.15,0.01,-138.06,46.88,237.56,0.00,-0.44,-0.31,4,4
1772052032.316346,709404,0.00,0.01,-0.03,-106.06,-77.19,64.12,1.19,0.81,-0.69,0.00,-0.07,0.03,-138.12,46.94,237.44,0.13,-0.31,-0.50,4,4
1772052032.506339,709594,-0.06,0.01,0.00,-106.50,-77.25,64.44,0.37,1.00,-0.37,0.11,-0.13,-0.02,-138.25,47.00,237.19,1.44,0.13,-0.25,4,4
1772052032.697045,709785,-0.04,0.05,0.01,-108.25,-77.12,64.56,2.75,1.12,0.44,0.08,-0.19,0.04,-138.25,47.00,237.31,0.19,0.19,0.00,5,4
1772052032.888399,709976,0.00,0.02,-0.05,-111.19,-77.06,64.94,1.87,2.19,-1.06,0.07,-0.13,0.06,-138.31,46.94,237.44,0.75,-0.44,0.94,5,4
1772052033.079177,710167,-0.03,0.06,-0.04,-113.56,-76.94,65.00,1.37,3.37,-0.06,0.12,-0.17,0.01,-138.62,47.00,237.31,0.00,-2.06,1.06,6,4
1772052033.269325,710357,0.13,0.08,-0.11,-116.94,-76.94,65.50,3.12,3.75,-3.19,0.01,-0.12,0.00,-139.06,46.63,237.69,-1.81,0.56,1.50,6,4
1772052033.458926,710547,-0.08,-0.04,-0.01,-120.31,-77.00,67.19,5.75,9.31,-1.94,0.04,-0.06,0.00,-139.25,46.69,237.56,-2.62,-1.94,0.62,8,5
1772052033.650075,710738,0.08,0.14,-0.08,-125.69,-76.25,68.62,15.94,2.19,0.31,0.10,-0.08,0.02,-139.06,46.81,238.12,-3.06,0.06,1.12,8,5
1772052033.841667,710929,-0.01,-0.20,-0.09,-128.12,-76.12,70.62,-4.62,3.44,3.25,0.14,-0.11,0.02,-138.75,47.25,237.81,1.25,1.31,-0.62,7,5
1772052034.032331,711120,0.02,0.04,-0.01,-126.75,-75.50,68.56,-6.56,-0.13,0.44,0.11,-0.14,0.00,-138.75,47.38,237.37,0.13,-0.37,-0.37,7,5
1772052034.222634,711310,0.05,0.08,-0.08,-126.44,-75.37,67.69,-0.62,2.44,-0.75,0.12,-0.11,0.09,-138.87,47.31,237.62,-1.37,-2.81,-0.88,7,5
