host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772051404.973788,80212,-0.17,0.09,0.21,-85.94,-77.87,54.44,0.25,1.12,-2.75,-0.08,-0.12,-0.01,-133.94,45.44,192.75,3.94,0.06,-5.00,3,8
1772051404.974899,80403,0.06,0.16,0.23,-86.50,-77.87,54.19,-4.44,-1.87,1.00,0.09,-0.09,0.20,-134.00,45.06,193.31,-4.94,-5.00,-0.13,3,10
1772051404.975740,80595,0.36,-0.24,-0.08,-87.69,-77.62,53.19,-4.06,2.00,-1.50,-0.19,-0.11,-0.03,-134.31,44.94,192.94,8.94,1.12,-2.06,3,9
1772051404.976476,80786,-0.07,0.08,0.08,-85.44,-78.00,52.56,-0.31,-3.44,-2.37,0.00,-0.01,0.07,-135.75,44.81,192.44,-3.75,-2.37,5.94,3,9
1772051404.977031,80976,-0.08,0.02,0.04,-84.37,-78.37,54.44,8.63,1.62,1.37,0.10,-0.10,0.10,-136.19,45.06,192.19,2.50,-2.00,1.81,3,11
1772051404.977623,81166,-0.05,-0.05,-0.11,-88.00,-78.37,55.56,2.06,2.50,-1.75,0.08,-0.14,0.02,-137.00,45.25,191.19,-0.56,0.00,1.19,3,10
1772051404.978196,81358,-0.05,0.04,0.00,-90.62,-78.37,55.63,0.69,0.31,-0.19,0.02,-0.08,0.06,-137.00,45.25,191.75,2.00,-0.25,-0.44,3,9
1772051404.978718,81548,-0.02,-0.11,-0.07,-91.56,-78.75,56.06,2.06,1.19,-0.81,0.02,-0.10,0.06,-137.06,45.06,191.81,0.13,0.37,-1.62,3,9
1772051404.979233,81739,-0.02,0.12,0.00,-91.44,-78.69,56.00,-2.31,-2.75,0.37,0.01,-0.05,0.07,-136.87,44.88,192.06,0.25,0.25,-0.88,3,8
1772051404.979755,81930,-0.01,-0.02,-0.01,-89.69,-78.75,56.06,0.13,0.69,-1.19,-0.01,-0.06,0.04,-136.87,44.75,192.25,-0.19,-0.06,-0.69,3,7
1772051405.048050,82120,-0.01,0.00,-0.02,-89.62,-78.75,56.13,-0.25,0.06,0.06,0.03,-0.09,0.05,-136.81,44.75,192.25,-0.06,-0.37,-0.44,2,6
1772051405.238580,82311,0.01,0.01,0.00,-89.81,-78.75,56.13,0.50,-0.25,0.56,0.00,-0.06,0.07,-136.81,44.75,192.25,0.37,0.00,-0.31,2,5
1772051405.429085,82502,-0.02,0.10,0.00,-90.94,-78.75,56.31,5.06,3.44,0.31,0.02,-0.07,0.08,-136.81,44.75,192.31,0.00,0.37,-0.31,2,5
1772051405.619888,82693,-0.07,0.26,0.16,-99.56,-77.37,58.19,37.19,11.44,13.19,-0.01,-0.05,0.00,-136.81,44.88,192.06,0.81,1.62,1.69,2,6
1772051405.810644,82883,0.04,-0.22,-0.21,-109.56,-75.50,63.00,18.94,2.00,-1.81,0.22,-0.07,0.11,-137.12,45.38,191.62,-3.31,-3.19,5.25,3,5
1772051406.000394,83073,0.01,-0.01,-0.12,-117.87,-76.19,65.94,6.44,9.38,-16.19,-0.05,-0.02,0.04,-137.19,45.44,192.00,1.19,-0.62,-1.75,2,6
1772051406.191465,83264,-0.01,-0.18,-0.13,-130.00,-77.62,69.06,5.87,4.44,-7.31,0.03,-0.10,0.00,-137.12,45.13,193.37,-4.56,-1.50,-0.94,3,6
1772051406.382321,83455,0.12,-0.22,-0.13,-134.69,-77.81,70.87,1.06,1.62,1.94,0.02,0.01,0.08,-136.62,45.06,193.87,1.25,0.62,1.50,2,7
1772051406.573122,83646,-0.02,0.10,0.03,-128.50,-77.75,69.94,-2.25,-3.31,2.94,-0.02,-0.06,0.10,-137.00,45.44,193.00,0.25,4.81,3.44,3,7
1772051406.763944,83836,-0.14,0.08,0.00,-124.37,-77.44,68.94,0.25,2.06,1.75,-0.06,-0.13,0.00,-136.94,45.63,193.00,2.25,-0.50,-2.81,3,7
1772051406.953653,84026,0.11,0.00,-0.02,-125.75,-77.19,68.44,-2.37,-1.06,1.81,0.04,-0.07,0.06,-136.81,45.56,192.81,-0.19,2.19,-0.13,3,8
1772051407.144542,84217,-0.06,0.15,-0.14,-122.75,-76.75,67.12,-4.69,-1.25,3.19,0.03,-0.09,0.05,-136.56,45.94,192.37,0.31,1.50,1.06,3,7
1772051407.336054,84408,0.02,0.05,0.00,-119.87,-76.56,66.44,-2.25,1.87,0.88,-0.07,-0.09,0.07,-136.44,45.81,192.50,-0.19,-0.06,0.06,2,7
1772051407.526866,84599,-0.09,0.00,0.00,-118.87,-76.31,65.87,0.00,3.31,-0.25,-0.05,-0.08,0.08,-136.25,45.56,193.12,-1.81,-2.00,-1.56,2,5
1772051407.717676,84790,-0.03,0.05,-0.04,-120.19,-76.12,65.50,-0.06,1.25,-0.56,-0.01,-0.08,0.06,-136.25,45.31,193.44,-0.31,-1.00,-1.19,2,5
1772051407.907386,84980,0.02,-0.03,-0.07,-120.25,-75.87,65.06,-1.69,-0.19,0.94,0.02,-0.12,0.03,-136.31,45.19,193.56,0.44,0.31,0.00,2,5
