host_time_s,t_ms,ax1,ay1,az1,gx1,gy1,gz1,yaw1,pitch1,roll1,ax2,ay2,az2,gx2,gy2,gz2,yaw2,pitch2,roll2,emg1,emg2
1771525464.250360,340051,0.24,-0.04,0.00,-113.06,-80.12,64.62,-0.06,-0.88,0.00,-0.05,0.01,0.07,108.19,75.87,30.94,0.31,-0.13,-0.25,8,9
1771525464.251591,340241,0.26,-0.01,-0.05,-113.00,-80.12,64.44,-1.06,0.62,0.19,-0.06,-0.02,0.10,108.19,75.87,30.94,-0.50,-0.06,-0.25,8,8
1771525464.252260,340432,0.24,0.00,-0.07,-113.12,-80.12,64.37,-0.94,0.56,0.19,-0.02,-0.01,0.10,108.31,75.81,30.94,0.13,0.37,-0.44,7,7
1771525464.252893,340622,0.23,-0.02,-0.05,-113.00,-80.12,64.37,-1.25,0.00,-0.06,-0.04,0.00,0.12,108.44,75.81,30.94,0.69,0.37,-0.19,6,7
1771525464.253489,340813,0.27,-0.01,-0.06,-113.00,-80.19,64.37,0.69,-0.81,-0.06,-0.04,0.00,0.15,108.44,75.81,30.94,-0.19,0.19,0.25,7,6
1771525464.254095,341002,0.24,-0.07,-0.03,-113.06,-80.25,64.50,0.13,-0.13,0.44,-0.03,-0.02,0.14,108.44,75.81,30.94,-0.19,-0.13,-0.19,7,7
1771525464.254700,341194,0.28,-0.01,-0.07,-113.31,-80.19,64.37,-0.19,0.44,0.00,-0.06,0.03,0.09,108.44,75.81,30.94,-0.06,-0.13,-0.06,8,8
1771525464.255921,341385,0.26,0.00,-0.10,-113.31,-80.19,64.31,-0.62,0.25,0.19,-0.03,0.04,0.14,108.62,75.81,30.94,0.13,0.00,-0.06,8,8
1771525464.256610,341575,0.26,0.02,-0.08,-113.12,-80.19,64.31,-0.81,-0.31,0.19,-0.05,0.00,0.13,108.81,75.81,30.87,0.69,0.25,0.25,9,8
1771525464.257251,341766,0.27,0.00,-0.06,-113.25,-80.19,64.31,0.62,0.19,0.44,-0.05,-0.01,0.15,108.94,75.81,30.87,-0.25,-0.13,0.13,9,9
1771525464.317710,341955,0.47,-0.14,-0.16,-116.56,-80.25,64.62,-1.25,-0.44,-0.81,-0.06,0.00,0.15,109.06,75.75,30.87,-0.13,0.31,0.13,10,10
1771525464.508894,342147,0.24,0.00,-0.02,-111.62,-80.37,64.25,1.44,-2.31,0.44,-0.03,-0.04,0.16,109.06,75.75,30.87,-0.31,0.50,0.00,9,9
1771525464.700183,342338,0.21,0.00,-0.05,-110.94,-80.44,64.37,0.25,-0.44,-0.62,-0.10,-0.02,0.13,109.19,75.75,30.87,0.25,0.50,-0.37,10,10
1771525464.891174,342529,0.23,0.00,-0.07,-111.75,-80.37,64.31,-0.25,1.00,0.13,-0.05,0.00,0.13,109.00,75.81,30.94,-0.13,-0.19,-0.25,9,9
1771525465.081723,342719,0.25,0.01,-0.09,-112.87,-80.31,64.25,-0.94,0.50,-0.37,-0.04,0.00,0.17,109.00,75.81,30.94,-0.19,0.56,-0.25,10,10
1771525465.271802,342909,0.24,-0.02,-0.12,-113.37,-80.31,64.19,-0.94,1.12,0.25,-0.02,0.03,0.17,109.00,75.81,30.94,0.06,-0.25,-0.25,10,9
1771525465.463162,343101,0.37,-0.04,-0.12,-116.69,-80.19,64.31,1.94,4.56,-1.75,-0.04,0.01,0.16,109.06,75.81,30.94,-0.13,-0.19,-0.13,9,9
