host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1771525239.666291,115425,0.29,0.01,-0.02,-121.62,-81.50,62.75,0.75,-1.19,-0.75,-0.07,-0.02,0.02,109.81,78.94,28.06,-0.19,-0.06,0.00,1,4
1771525239.667863,115615,0.25,0.02,-0.02,-120.75,-81.56,62.81,-0.37,0.00,-0.13,-0.08,-0.03,0.04,109.81,78.94,28.06,-0.13,-0.25,0.06,1,5
1771525239.669048,115805,0.23,-0.01,-0.05,-120.62,-81.56,62.81,-0.50,-0.62,-0.06,-0.10,-0.01,0.06,110.19,78.94,28.06,0.31,-0.81,-0.25,1,5
1771525239.669863,115996,0.24,0.04,0.00,-120.50,-81.56,62.75,-0.62,0.62,0.31,-0.09,-0.02,0.08,110.19,78.94,28.06,0.37,-0.69,0.13,1,5
1771525239.670610,116187,0.27,0.03,-0.08,-120.87,-81.56,62.75,-0.19,0.19,-0.62,-0.07,-0.03,0.04,110.12,78.94,28.06,0.00,0.37,-0.19,1,5
1771525239.671182,116377,0.24,0.03,-0.04,-120.69,-81.56,62.75,-1.00,-0.62,0.19,-0.08,-0.03,0.07,110.12,78.94,28.06,0.06,-0.19,-0.19,1,5
1771525239.671822,116568,0.26,0.00,-0.05,-120.69,-81.56,62.75,0.06,-0.06,0.37,-0.08,-0.01,0.03,110.31,78.87,28.06,0.19,-0.81,0.19,1,5
1771525239.672461,116758,0.24,0.04,-0.02,-120.31,-81.62,62.75,-0.81,0.31,0.13,-0.09,-0.04,0.08,110.37,78.87,28.06,0.00,0.50,0.06,1,5
1771525239.673041,116949,0.26,0.01,-0.05,-120.75,-81.62,62.75,0.37,0.19,-0.19,-0.05,-0.04,0.09,110.31,78.87,28.06,-0.19,-0.19,0.19,1,4
1771525239.673730,117140,0.25,-0.01,-0.02,-120.87,-81.62,62.81,-0.75,-0.44,0.31,-0.09,-0.04,0.06,110.31,78.87,28.06,0.13,0.06,-0.19,1,5
1771525239.698928,117331,0.28,0.04,-0.04,-120.81,-81.62,62.75,0.25,0.19,-0.06,-0.09,-0.01,0.10,110.31,78.87,28.06,-0.19,0.00,-0.13,1,4
1771525239.889938,117522,0.26,0.04,-0.06,-120.75,-81.62,62.75,0.31,-0.56,-0.13,-0.09,-0.01,0.09,110.75,78.87,28.00,-0.19,0.31,-0.19,1,4
1771525240.078939,117711,0.25,0.08,-0.01,-120.56,-81.62,62.69,0.25,0.00,0.31,-0.05,-0.03,0.08,110.69,78.87,28.06,-0.31,0.37,-0.25,1,3
1771525240.270702,117903,0.26,0.04,-0.06,-120.69,-81.69,62.75,0.00,0.31,-0.50,-0.08,-0.01,0.07,110.75,78.87,28.00,0.19,0.19,-0.19,0,3
1771525240.461782,118094,0.24,0.08,-0.05,-120.62,-81.69,62.75,-0.69,-0.25,0.50,-0.07,-0.03,0.08,110.75,78.87,28.00,0.13,-0.13,-0.06,0,3
1771525240.652385,118284,0.26,0.03,-0.06,-120.62,-81.69,62.75,-0.13,0.25,0.44,-0.12,-0.05,0.00,111.00,78.87,28.00,0.13,-2.62,0.56,0,3
1771525240.843434,118475,0.21,0.06,-0.05,-120.00,-81.75,62.75,-0.13,-0.19,0.13,-0.07,-0.02,0.11,111.06,78.87,28.00,-0.06,0.75,-0.19,0,3
1771525241.032874,118665,0.26,0.07,-0.06,-120.12,-81.75,62.75,0.37,-0.69,-0.31,-0.06,-0.03,0.14,111.00,78.87,28.00,-0.13,0.37,-0.13,1,3
1771525241.224362,118856,0.24,0.01,-0.01,-120.19,-81.75,62.81,-0.62,0.25,0.06,-0.05,-0.04,0.11,111.00,78.87,28.00,0.19,-0.13,-0.13,2,3
1771525241.415477,119047,0.25,0.05,-0.06,-120.25,-81.75,62.75,0.13,0.37,-0.37,-0.07,-0.02,0.11,111.06,78.87,28.00,-0.44,-0.19,0.13,2,3
1771525241.606265,119238,0.25,0.07,-0.01,-119.81,-81.75,62.69,-0.44,-0.37,0.44,-0.07,-0.03,0.06,111.62,78.81,28.00,-0.06,-0.19,-0.13,2,3
1771525241.796816,119429,0.29,0.05,-0.06,-119.94,-81.81,62.75,0.50,0.44,-0.56,-0.05,-0.02,0.10,111.56,78.81,28.00,-0.31,0.44,0.31,2,3
1771525241.986213,119618,0.26,0.01,-0.07,-119.87,-81.81,62.75,0.50,-0.62,0.25,-0.06,-0.02,0.10,111.56,78.81,28.00,-0.06,-0.13,-0.13,2,3
1771525242.177882,119810,0.29,0.07,-0.08,-119.87,-81.81,62.75,-0.06,0.13,0.00,-0.06,-0.03,0.09,111.56,78.81,28.00,-0.06,-0.06,-0.25,2,3
1771525242.368835,120001,0.29,0.09,-0.09,-119.75,-81.81,62.69,-0.13,0.06,-0.44,-0.11,0.00,0.06,111.87,78.81,28.00,0.13,-0.50,-0.13,3,4
1771525242.559648,120192,0.28,0.10,-0.09,-119.62,-81.81,62.63,-0.50,-0.25,0.31,-0.07,-0.04,0.12,111.81,78.81,28.00,0.31,0.00,0.13,2,4
1771525242.750455,120382,0.28,0.08,-0.09,-119.75,-81.81,62.69,-0.06,0.25,-0.69,-0.06,-0.03,0.11,111.87,78.81,28.00,0.00,0.19,-0.19,2,4
1771525242.939834,120572,0.26,0.12,-0.07,-119.69,-81.87,62.69,-0.69,0.25,0.44,-0.05,-0.03,0.12,111.87,78.81,28.00,-0.19,-0.19,-0.06,2,4
1771525243.131496,120763,0.24,0.06,-0.06,-119.81,-81.81,62.69,0.44,0.00,-0.19,-0.07,-0.04,0.11,112.06,78.75,28.00,-0.37,0.56,-0.31,1,4
1771525243.322535,120954,0.23,0.05,-0.02,-119.37,-81.81,62.63,0.50,-1.19,0.19,-0.06,-0.02,0.11,112.37,78.75,28.00,-0.06,-0.13,0.00,1,4
1771525243.513216,121145,0.26,0.03,-0.08,-119.50,-81.75,62.56,0.62,0.19,-0.81,-0.09,-0.05,0.11,112.25,78.75,28.00,-0.13,-0.19,0.62,2,4
1771525243.703832,121336,0.27,0.00,-0.05,-119.81,-81.75,62.63,0.50,-0.44,0.06,-0.04,-0.04,0.14,112.31,78.75,28.00,0.19,0.25,-0.13,2,5
1771525243.893400,121525,0.26,0.07,-0.07,-119.75,-81.69,62.50,-0.25,0.25,0.19,-0.06,-0.07,0.11,112.37,78.75,27.94,0.31,-0.06,-0.31,2,6
1771525244.084823,121717,0.23,0.08,-0.08,-119.87,-81.62,62.44,-0.44,0.50,0.37,-0.03,-0.01,0.12,112.56,78.75,27.94,0.13,1.56,-0.75,2,6
1771525244.276029,121908,0.25,0.13,-0.01,-119.81,-81.56,62.38,-0.31,-0.37,0.19,-0.04,-0.02,0.19,112.31,78.75,28.00,-0.25,1.12,-0.19,2,5
1771525244.466625,122099,0.28,0.03,-0.05,-120.44,-81.62,62.56,0.62,0.00,-0.75,-0.09,-0.04,0.13,112.31,78.75,28.00,-0.44,-0.44,0.37,1,6
1771525244.657336,122289,0.25,0.00,-0.04,-120.81,-81.69,62.69,-0.50,-0.06,0.19,-0.05,-0.03,0.15,112.31,78.75,28.00,0.00,-0.13,-0.13,3,6
1771525244.846680,122479,0.30,0.04,-0.07,-120.75,-81.69,62.63,-0.13,-0.13,0.13,-0.06,-0.05,0.15,112.31,78.75,28.00,-0.25,0.62,-0.25,3,6
1771525245.038405,122670,0.23,0.06,0.01,-120.56,-81.69,62.63,-0.13,-0.06,0.19,-0.04,-0.01,0.13,112.62,78.75,27.94,0.19,-0.44,0.19,3,7
1771525245.229277,122861,0.26,0.06,-0.07,-120.94,-81.69,62.56,0.37,0.81,-0.94,-0.07,-0.05,0.11,112.69,78.75,27.94,-0.31,0.00,0.31,2,6
1771525245.420284,123052,0.26,0.02,-0.06,-121.25,-81.81,62.69,0.00,-0.56,-0.06,-0.07,-0.03,0.15,112.69,78.75,27.94,0.00,0.13,-0.31,2,7
1771525245.610757,123243,0.29,0.09,-0.05,-120.87,-81.69,62.50,0.13,0.06,0.50,-0.09,-0.02,0.13,112.69,78.75,27.94,0.19,0.31,-0.19,2,6
1771525245.800378,123432,0.27,0.13,-0.11,-121.12,-81.69,62.50,-0.94,0.62,0.50,-0.08,-0.02,0.16,112.94,78.69,27.94,0.00,0.50,-0.62,1,6
1771525245.991831,123624,0.20,0.15,-0.09,-121.06,-81.69,62.44,-0.37,-0.13,0.37,-0.04,-0.02,0.18,113.06,78.69,27.94,0.25,0.44,0.06,2,6
1771525246.183048,123815,0.32,0.08,-0.05,-121.19,-81.69,62.50,0.31,0.00,-0.25,-0.07,-0.03,0.12,113.12,78.69,27.94,-0.37,-0.62,0.31,2,6
1771525246.373909,124006,0.28,0.06,-0.05,-121.25,-81.75,62.56,-0.37,0.00,0.19,-0.07,-0.02,0.16,113.19,78.69,27.94,-0.13,-0.25,-0.13,2,6
1771525246.564525,124197,0.26,0.12,-0.05,-121.25,-81.75,62.56,0.13,-0.56,-0.13,-0.07,-0.01,0.13,113.19,78.69,27.94,-0.06,0.19,0.00,1,5
1771525246.754032,124386,0.27,0.07,-0.05,-121.00,-81.75,62.56,0.13,-0.75,-0.25,-0.08,-0.03,0.15,113.50,78.69,27.94,-0.06,0.25,-0.13,1,5
1771525246.945339,124578,0.28,0.12,-0.06,-120.69,-81.75,62.56,0.25,0.00,0.31,-0.06,-0.04,0.15,113.37,78.69,27.94,0.00,0.00,-0.06,1,5
1771525247.136652,124769,0.28,0.09,-0.09,-120.81,-81.81,62.63,0.19,-0.13,-0.44,-0.07,-0.05,0.12,113.44,78.69,27.94,-0.06,0.31,-0.37,1,5
1771525247.327460,124959,0.25,0.12,-0.05,-120.62,-81.81,62.56,-1.19,0.25,0.50,-0.04,-0.04,0.19,113.44,78.69,27.94,-0.06,-0.13,-0.31,1,5
1771525247.517979,125150,0.29,0.04,-0.10,-120.75,-81.81,62.56,-0.13,0.06,-0.19,0.02,-0.04,0.18,113.37,78.69,27.94,-0.37,-0.37,0.13,1,5
