host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772656501.028235,2162194,0.32,-0.31,0.35,-85.56,-82.31,62.88,1.62,49.44,13.13,0.02,0.00,-0.10,45.25,-77.25,12.56,2.06,1.12,1.56,9,9
1772656501.029266,2162235,0.83,-0.45,-0.06,-98.06,-81.81,61.94,-2.94,35.19,9.75,0.03,0.01,-0.18,45.25,-77.37,12.56,1.12,3.12,1.37,10,9
1772656501.030068,2162275,0.24,-0.50,-0.04,-104.81,-81.19,61.25,-8.88,20.62,11.00,0.00,-0.10,-0.03,45.44,-77.50,12.50,0.44,1.81,1.44,10,9
1772656501.030859,2162314,-0.45,-0.37,0.12,-108.25,-80.50,60.19,-10.00,20.81,15.56,0.11,-0.31,0.28,45.44,-77.62,12.44,-2.12,3.31,4.69,11,9
1772656501.031672,2162353,0.21,-0.18,-0.20,-111.62,-79.44,58.88,-9.69,26.31,22.31,-0.25,-0.57,0.27,45.19,-77.87,12.00,-10.44,-0.81,6.62,10,9
1772656501.032502,2162395,0.36,0.24,-0.37,-113.94,-78.25,57.38,-10.13,21.69,22.25,-0.06,0.03,-0.17,44.00,-77.50,11.44,-11.94,-20.37,-4.56,10,11
1772656501.033316,2162436,0.52,0.51,-0.43,-115.12,-77.25,56.06,-10.31,13.63,13.13,0.03,0.66,-0.71,42.94,-76.75,11.69,6.00,-16.12,-12.63,10,10
1772656501.034141,2162476,0.15,0.24,-0.26,-115.81,-76.81,55.31,-7.19,5.94,-1.25,-0.20,0.57,0.02,43.19,-76.12,12.13,-3.12,-9.25,-11.69,10,10
1772656501.034933,2162515,0.14,-0.16,-0.14,-116.69,-76.81,55.06,-4.00,4.50,-5.19,0.29,0.02,-0.09,43.69,-75.62,12.56,6.87,-4.37,-10.81,9,9
1772656501.035700,2162555,0.23,-0.42,-0.05,-117.44,-76.87,55.06,-3.87,3.69,-2.87,0.12,-0.09,0.04,44.44,-75.50,13.13,8.19,7.37,-5.31,9,9
1772656501.036452,2162596,0.31,-0.23,0.00,-117.62,-76.75,54.75,-5.37,2.44,7.37,-0.10,-0.33,0.00,45.63,-75.75,13.38,3.00,9.88,0.50,8,9
1772656501.037314,2162637,0.28,0.11,-0.13,-116.94,-76.44,54.13,-5.50,-0.44,10.19,-0.02,-0.18,-0.23,46.25,-75.94,13.63,6.25,6.25,-1.69,8,9
1772656501.038140,2162677,0.17,0.51,-0.03,-115.87,-76.12,53.69,-3.31,-3.94,7.75,-0.01,-0.31,-0.25,46.94,-75.94,14.13,11.88,2.25,-4.50,8,9
1772656501.038924,2162716,-0.03,0.50,0.00,-114.56,-76.00,53.44,-1.37,-8.31,2.75,-0.04,-0.26,0.19,47.25,-75.69,14.75,7.56,-3.75,-7.87,9,8
1772656501.039582,2162755,-0.20,0.22,0.07,-113.06,-76.19,53.56,2.12,-10.94,-3.44,0.03,-0.23,0.19,47.19,-75.44,15.00,5.12,-7.44,-6.50,9,8
1772656501.040220,2162796,-0.09,-0.01,0.02,-112.12,-76.44,53.94,2.62,-6.00,-4.06,0.04,-0.21,0.08,46.75,-75.00,15.38,3.75,-4.87,-3.87,9,7
1772656501.040855,2162837,0.19,-0.06,-0.03,-111.56,-76.62,54.19,-0.62,-4.00,0.75,0.16,-0.39,0.04,46.56,-74.81,15.56,1.56,-2.37,1.44,9,7
1772656501.041483,2162877,0.20,0.10,-0.12,-110.81,-76.56,54.00,-3.69,-4.19,2.06,0.00,-0.25,0.05,46.19,-74.81,15.50,-0.19,-1.37,4.37,9,7
1772656501.042111,2162916,0.09,0.23,0.03,-109.81,-76.56,53.75,-4.50,-5.31,1.12,0.08,-0.58,0.20,45.56,-74.75,15.31,-4.81,-5.31,6.62,9,7
1772656501.042742,2162956,-0.02,0.40,0.20,-108.62,-76.56,53.50,-5.69,-4.69,0.62,0.09,-0.24,0.00,45.00,-74.69,15.00,-7.31,-3.31,9.44,9,7
1772656501.043396,2162997,-0.33,0.34,0.16,-107.87,-76.62,53.31,-4.87,-1.69,-5.00,-0.16,0.21,0.29,43.94,-74.87,14.19,-12.25,-4.00,8.19,9,7
1772656501.044037,2163038,-0.36,0.02,0.02,-108.31,-76.94,53.50,-2.87,3.87,-12.38,-0.23,0.33,0.21,43.25,-74.94,13.44,-13.63,-4.19,6.69,9,7
1772656501.044710,2163079,-0.14,-0.25,-0.04,-109.81,-77.31,53.81,-3.12,6.81,-14.25,0.00,0.59,-0.03,42.56,-75.00,12.81,-8.00,-0.69,4.25,10,7
1772656501.045382,2163118,0.15,-0.50,-0.19,-111.87,-77.75,54.19,-1.06,8.75,-14.81,-0.04,0.00,0.17,42.63,-75.25,12.25,-14.44,1.69,4.25,9,8
