host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772655933.034932,1594155,0.00,-0.15,-0.05,-23.56,-71.25,71.31,1.25,-2.69,-1.00,-0.03,-0.05,0.09,94.37,-79.87,1.00,-1.87,0.44,0.31,3,7
1772655933.035749,1594195,0.06,-0.10,-0.10,-23.31,-71.19,71.44,-0.69,-2.87,-1.62,-0.04,0.00,-0.06,94.75,-79.87,0.88,-1.69,1.06,0.81,3,7
1772655933.036616,1594236,0.00,-0.04,0.00,-22.87,-71.12,71.44,-3.56,-3.75,-2.19,-0.02,-0.02,0.03,95.00,-79.87,0.88,-0.13,1.25,0.69,3,7
1772655933.037290,1594275,0.01,-0.06,0.04,-22.31,-71.00,71.44,-4.50,-3.62,-2.25,0.01,-0.01,0.13,95.00,-79.87,0.88,0.94,0.31,-0.44,3,7
1772655933.037902,1594315,0.03,-0.10,-0.06,-21.75,-70.94,71.37,-5.00,-2.44,-2.06,0.03,-0.03,0.04,95.12,-79.87,0.88,0.37,1.69,0.56,4,7
1772655933.038440,1594356,0.09,-0.17,-0.09,-21.25,-70.87,71.31,-6.75,-2.19,-1.56,0.00,-0.03,0.02,95.62,-79.94,0.88,0.44,2.12,0.75,4,7
1772655933.038989,1594396,0.07,-0.16,-0.07,-20.69,-70.81,71.19,-9.19,-2.69,-1.44,0.00,0.02,-0.05,95.94,-79.94,0.88,-0.44,0.31,0.56,4,5
1772655933.039551,1594436,0.04,0.02,0.03,-19.94,-70.75,71.00,-10.13,-3.50,-3.25,-0.03,0.00,0.08,95.94,-79.94,0.88,-1.44,-0.06,-0.06,4,4
1772655933.040106,1594475,0.06,0.00,0.00,-19.06,-70.69,70.87,-8.50,-3.50,-3.75,0.00,0.00,0.01,96.00,-79.94,0.81,-2.94,0.94,-0.94,4,4
1772655933.040651,1594515,0.04,-0.05,0.03,-18.37,-70.56,70.81,-5.94,-3.50,-2.06,0.03,0.05,-0.05,96.25,-79.87,0.69,-3.37,0.25,-0.44,4,3
1772655933.041205,1594556,0.11,-0.02,-0.01,-18.00,-70.44,70.69,-3.12,-3.81,0.81,0.00,0.06,-0.04,96.44,-79.87,0.56,-1.69,0.13,-0.19,4,3
1772655933.041763,1594597,0.16,-0.05,-0.01,-17.87,-70.31,70.62,-2.44,-5.62,1.62,-0.02,0.01,-0.08,96.50,-79.87,0.56,0.13,0.50,-0.06,4,3
1772655933.042303,1594637,0.02,-0.05,0.11,-17.75,-70.06,70.50,-2.44,-5.81,1.37,0.00,0.02,-0.06,96.44,-79.87,0.62,1.00,-0.31,-0.31,4,3
1772655933.042855,1594676,-0.05,-0.02,0.18,-17.56,-69.81,70.37,-2.50,-4.37,0.94,0.02,-0.02,-0.01,96.44,-79.87,0.62,0.94,-0.19,0.00,5,3
1772655933.043399,1594716,0.03,-0.02,0.13,-17.44,-69.69,70.31,-3.00,-1.87,0.62,0.00,-0.03,-0.04,96.44,-79.87,0.62,0.06,0.25,0.37,5,4
1772655933.043947,1594757,0.04,-0.03,0.12,-17.25,-69.69,70.19,-3.44,-0.62,-0.56,0.03,-0.03,-0.03,96.44,-79.87,0.62,-1.00,0.37,0.56,5,4
1772655933.044476,1594798,0.05,-0.03,0.02,-17.06,-69.62,70.12,-3.37,0.13,-0.62,0.00,0.00,-0.07,96.50,-79.87,0.56,-1.44,0.37,0.44,4,4
