host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772654874.244416,535316,0.14,0.39,-0.13,-5.25,-83.31,64.12,-3.19,2.06,6.87,0.02,-0.25,0.06,98.12,-78.69,340.87,-2.06,3.00,-2.50,6,4
1772654874.245258,535357,0.11,0.34,-0.11,-55.00,-83.06,63.81,2.62,-0.44,5.06,-0.08,-0.21,0.18,98.25,-78.44,340.94,-3.12,-1.44,-5.37,4,1
1772654874.246065,535398,0.04,0.08,-0.12,-56.06,-82.81,63.69,3.94,-2.06,6.06,-0.03,-0.09,-0.07,97.69,-78.31,341.06,-1.25,-1.81,-2.44,4,1
1772654874.246860,535439,0.15,0.80,-0.08,-57.00,-82.56,63.63,9.13,-2.69,3.44,-0.07,-0.17,0.23,97.31,-78.31,340.94,-5.94,-3.62,2.44,4,1
1772654874.247641,535478,0.54,0.82,-0.21,-56.88,-82.37,64.06,24.31,-8.63,1.19,0.05,0.20,-0.21,97.37,-78.37,340.62,-3.50,-0.37,1.75,4,1
1772654874.248423,535518,0.68,0.76,-0.27,-55.31,-82.06,65.12,34.38,-16.44,2.12,-0.02,0.08,-0.15,97.50,-78.44,340.62,2.12,1.81,-0.06,4,2
1772654874.249547,535559,0.79,0.27,-0.32,-53.50,-81.37,66.50,48.50,-31.12,2.00,0.00,0.03,-0.08,97.81,-78.37,340.81,5.00,2.19,-1.37,4,2
1772654874.250804,535599,-0.27,-0.36,0.20,-49.06,-80.50,68.25,45.19,-34.44,2.56,0.00,-0.07,0.09,97.75,-78.31,341.12,7.00,0.62,-1.69,4,2
1772654874.251527,535639,-0.81,-0.59,0.60,-46.19,-79.62,69.69,31.94,-20.19,1.69,-0.13,-0.18,0.31,97.56,-78.25,341.50,7.62,1.31,-1.19,4,3
1772654874.252200,535679,-0.52,-0.56,0.58,-45.06,-79.25,70.62,16.44,-4.81,-4.00,0.00,-0.13,0.01,97.62,-78.19,341.87,8.13,3.31,-0.25,6,4
1772654874.252840,535718,-0.19,-0.55,0.35,-44.38,-79.37,71.25,6.06,0.44,-7.06,0.01,-0.12,0.02,97.69,-78.19,342.06,2.94,0.88,2.37,5,4
1772654874.253496,535759,-0.06,-0.27,0.21,-43.50,-79.69,71.50,-5.00,5.37,-9.63,0.05,-0.09,-0.18,97.69,-78.31,341.94,-0.31,-1.69,4.00,5,4
1772654874.254132,535800,-0.31,-0.31,0.24,-42.25,-80.12,71.75,-4.87,8.06,-7.44,0.04,0.02,0.02,97.37,-78.50,341.75,-1.44,-2.87,3.87,5,4
1772654874.254786,535840,-0.49,-0.67,0.50,-43.19,-80.56,71.62,-12.25,21.44,0.25,-0.06,0.15,0.00,97.12,-78.62,341.56,0.25,-1.62,4.00,5,4
1772654874.255440,535880,-0.01,-0.47,0.25,-46.94,-81.25,71.00,-21.87,28.94,-2.25,-0.11,0.07,-0.10,97.12,-78.81,341.50,4.44,1.06,4.25,6,4
1772654874.256093,535918,0.48,-0.13,-0.01,-50.81,-82.06,70.12,-27.25,26.06,-5.06,0.02,0.17,-0.28,97.00,-78.94,341.56,8.13,-0.94,3.87,6,4
1772654874.256743,535960,0.48,-0.02,-0.14,-53.63,-82.81,69.44,-22.50,18.00,-7.19,0.13,0.11,-0.25,96.75,-79.19,341.75,9.06,-1.94,4.69,7,3
1772654874.257399,536001,0.31,-0.13,-0.09,-5.44,-83.31,68.87,-17.69,10.31,-1.94,0.07,0.00,-0.08,96.50,-79.31,341.94,6.62,-0.81,2.19,7,4
1772654874.258079,536041,0.06,-0.24,0.01,-5.37,-83.56,68.25,-14.81,7.00,0.88,-0.03,0.03,-0.01,96.00,-79.37,342.06,4.00,-2.37,0.37,7,2
1772654874.258739,536080,-0.25,-0.42,0.06,-5.44,-83.62,67.62,-17.37,7.81,4.00,-0.10,-0.02,0.23,95.56,-79.37,342.12,2.50,-1.69,0.44,4,1
1772654874.259392,536119,-0.04,-0.34,0.03,-5.56,-83.69,66.75,-19.81,10.63,4.75,-0.02,0.01,-0.04,95.00,-79.44,342.19,2.87,-3.56,1.50,5,2
1772654874.260009,536161,0.10,-0.16,0.03,-5.62,-83.75,65.75,-22.56,12.44,5.44,0.07,0.01,0.01,94.25,-79.50,342.31,6.06,0.37,1.25,5,2
1772654874.260637,536201,0.13,0.06,0.02,-5.81,-83.69,64.69,-20.31,8.38,5.25,0.01,-0.01,-0.06,94.37,-79.50,342.50,1.94,1.44,-1.69,5,2
1772654874.261288,536242,0.06,0.04,0.03,-6.00,-83.62,63.75,-15.88,5.56,6.12,-0.03,0.02,0.05,94.31,-79.37,342.62,1.37,0.44,-1.81,4,2
1772654874.261981,536281,0.01,0.02,0.01,-6.25,-83.44,62.94,-12.88,5.56,6.75,-0.07,-0.09,0.07,94.31,-79.31,342.75,0.13,-0.31,-2.12,4,2
