host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772655374.450258,1035535,-0.53,-0.16,0.37,-40.00,-79.37,81.12,5.87,11.75,-1.69,-0.31,-0.18,-0.06,104.25,-79.37,357.12,-3.50,3.69,0.94,5,2
1772655374.451106,1035576,-0.66,-0.47,0.47,-41.38,-79.87,81.25,-7.19,19.25,-5.19,-0.16,-0.08,0.19,104.44,-79.31,356.94,-4.12,-2.56,-2.31,5,2
1772655374.451931,1035617,-0.05,-0.41,0.28,-43.38,-80.69,81.00,-16.31,26.12,-7.00,0.06,-0.08,0.29,103.87,-79.25,356.87,-3.44,-0.06,-0.81,3,2
1772655374.452729,1035657,0.50,0.00,-0.03,-46.06,-81.62,80.62,-17.00,26.06,-7.50,0.26,-0.14,0.02,104.31,-79.25,356.75,-2.37,3.69,1.50,3,2
1772655374.453561,1035697,0.96,0.14,-0.29,-49.19,-82.44,80.25,-12.31,17.87,-3.06,0.29,-0.03,-0.17,105.44,-79.31,356.62,-1.50,5.31,3.50,3,2
1772655374.454363,1035736,0.94,0.17,-0.43,-51.44,-82.75,79.81,-9.06,6.06,1.06,-0.09,-0.10,-0.18,106.56,-79.37,356.50,-3.06,5.12,5.12,3,2
1772655374.455177,1035777,0.31,0.24,-0.27,-50.50,-82.56,79.50,-4.06,-13.81,2.19,-0.38,-0.03,-0.16,107.56,-79.50,356.12,-3.94,-1.69,1.69,3,2
1772655374.455997,1035818,-0.14,0.23,-0.02,-46.88,-82.06,79.44,0.44,-18.87,-1.06,-0.13,0.18,0.19,106.69,-79.50,356.06,-1.56,-4.94,-3.56,2,2
1772655374.456795,1035858,0.01,-0.06,0.24,-43.44,-81.69,79.62,2.25,-12.56,-1.12,0.21,0.01,0.29,105.81,-79.44,356.12,1.69,-1.94,-1.69,2,6
1772655374.457552,1035897,0.34,0.00,0.10,-41.69,-81.37,79.75,2.62,-7.19,1.69,0.26,-0.04,0.04,106.06,-79.37,356.31,5.25,4.06,0.69,2,7
